SEAS,YR,ANOM
DJF,1991,0.41
JFM,1991,0.26
FMA,1991,0.22
MAM,1991,0.26
AMJ,1991,0.45
MJJ,1991,0.64
JJA,1991,0.73
JAS,1991,0.64
ASO,1991,0.62
SON,1991,0.79
OND,1991,1.21
NDJ,1991,1.53
DJF,1992,1.71
JFM,1992,1.63
FMA,1992,1.48
MAM,1992,1.29
AMJ,1992,1.06
MJJ,1992,0.73
JJA,1992,0.37
JAS,1992,0.09
ASO,1992,-0.13
SON,1992,-0.25
OND,1992,-0.28
NDJ,1992,-0.13
DJF,1993,0.09
JFM,1993,0.3
FMA,1993,0.5
MAM,1993,0.67
AMJ,1993,0.7
MJJ,1993,0.57
JJA,1993,0.32
JAS,1993,0.25
ASO,1993,0.15
SON,1993,0.1
OND,1993,0.04
NDJ,1993,0.06
DJF,1994,0.06
JFM,1994,0.07
FMA,1994,0.17
MAM,1994,0.31
AMJ,1994,0.42
MJJ,1994,0.41
JJA,1994,0.44
JAS,1994,0.43
ASO,1994,0.55
SON,1994,0.74
OND,1994,1.01
NDJ,1994,1.09
DJF,1995,0.96
JFM,1995,0.72
FMA,1995,0.53
MAM,1995,0.3
AMJ,1995,0.14
MJJ,1995,-0.03
JJA,1995,-0.24
JAS,1995,-0.54
ASO,1995,-0.81
SON,1995,-0.97
OND,1995,-1
NDJ,1995,-0.98
DJF,1996,-0.9
JFM,1996,-0.75
FMA,1996,-0.59
MAM,1996,-0.39
AMJ,1996,-0.31
MJJ,1996,-0.3
JJA,1996,-0.27
JAS,1996,-0.32
ASO,1996,-0.35
SON,1996,-0.4
OND,1996,-0.45
NDJ,1996,-0.49
DJF,1997,-0.5
JFM,1997,-0.36
FMA,1997,-0.1
MAM,1997,0.28
AMJ,1997,0.75
MJJ,1997,1.22
JJA,1997,1.6
JAS,1997,1.9
ASO,1997,2.14
SON,1997,2.33
OND,1997,2.4
NDJ,1997,2.39
DJF,1998,2.24
JFM,1998,1.93
FMA,1998,1.44
MAM,1998,0.99
AMJ,1998,0.45
MJJ,1998,-0.13
JJA,1998,-0.78
JAS,1998,-1.12
ASO,1998,-1.31
SON,1998,-1.35
OND,1998,-1.48
NDJ,1998,-1.57
DJF,1999,-1.55
JFM,1999,-1.3
FMA,1999,-1.07
MAM,1999,-0.98
AMJ,1999,-1.02
MJJ,1999,-1.04
JJA,1999,-1.1
JAS,1999,-1.11
ASO,1999,-1.16
SON,1999,-1.26
OND,1999,-1.46
NDJ,1999,-1.65
DJF,2000,-1.66
JFM,2000,-1.41
FMA,2000,-1.07
MAM,2000,-0.81
AMJ,2000,-0.71
MJJ,2000,-0.64
JJA,2000,-0.55
JAS,2000,-0.51
ASO,2000,-0.55
SON,2000,-0.63
OND,2000,-0.75
NDJ,2000,-0.74
DJF,2001,-0.68
JFM,2001,-0.52
FMA,2001,-0.44
MAM,2001,-0.34
AMJ,2001,-0.25
MJJ,2001,-0.12
JJA,2001,-0.08
JAS,2001,-0.13
ASO,2001,-0.19
SON,2001,-0.29
OND,2001,-0.35
NDJ,2001,-0.31
DJF,2002,-0.15
JFM,2002,0.03
FMA,2002,0.09
MAM,2002,0.2
AMJ,2002,0.43
MJJ,2002,0.65
JJA,2002,0.79
JAS,2002,0.86
ASO,2002,1.01
SON,2002,1.21
OND,2002,1.31
NDJ,2002,1.14
DJF,2003,0.92
JFM,2003,0.63
FMA,2003,0.38
MAM,2003,-0.04
AMJ,2003,-0.26
MJJ,2003,-0.16
JJA,2003,0.08
JAS,2003,0.21
ASO,2003,0.26
SON,2003,0.29
OND,2003,0.35
NDJ,2003,0.35
DJF,2004,0.37
JFM,2004,0.31
FMA,2004,0.23
MAM,2004,0.17
AMJ,2004,0.17
MJJ,2004,0.28
JJA,2004,0.47
JAS,2004,0.64
ASO,2004,0.7
SON,2004,0.67
OND,2004,0.66
NDJ,2004,0.69
DJF,2005,0.64
JFM,2005,0.58
FMA,2005,0.45
MAM,2005,0.43
AMJ,2005,0.29
MJJ,2005,0.11
JJA,2005,-0.06
JAS,2005,-0.14
ASO,2005,-0.11
SON,2005,-0.29
OND,2005,-0.57
NDJ,2005,-0.84
DJF,2006,-0.85
JFM,2006,-0.77
FMA,2006,-0.57
MAM,2006,-0.37
AMJ,2006,-0.14
MJJ,2006,-0.03
JJA,2006,0.1
JAS,2006,0.3
ASO,2006,0.54
SON,2006,0.77
OND,2006,0.94
NDJ,2006,0.94
DJF,2007,0.66
JFM,2007,0.22
FMA,2007,-0.12
MAM,2007,-0.32
AMJ,2007,-0.38
MJJ,2007,-0.47
JJA,2007,-0.56
JAS,2007,-0.81
ASO,2007,-1.07
SON,2007,-1.34
OND,2007,-1.5
NDJ,2007,-1.6
DJF,2008,-1.64
JFM,2008,-1.52
FMA,2008,-1.29
MAM,2008,-1.01
AMJ,2008,-0.84
MJJ,2008,-0.61
JJA,2008,-0.37
JAS,2008,-0.23
ASO,2008,-0.24
SON,2008,-0.35
OND,2008,-0.55
NDJ,2008,-0.73
DJF,2009,-0.85
JFM,2009,-0.79
FMA,2009,-0.61
MAM,2009,-0.33
AMJ,2009,0.01
MJJ,2009,0.28
JJA,2009,0.45
JAS,2009,0.58
ASO,2009,0.71
SON,2009,1.01
OND,2009,1.36
NDJ,2009,1.56
DJF,2010,1.5
JFM,2010,1.22
FMA,2010,0.84
MAM,2010,0.35
AMJ,2010,-0.17
MJJ,2010,-0.66
JJA,2010,-1.05
JAS,2010,-1.35
ASO,2010,-1.56
SON,2010,-1.64
OND,2010,-1.64
NDJ,2010,-1.59
DJF,2011,-1.42
JFM,2011,-1.19
FMA,2011,-0.93
MAM,2011,-0.73
AMJ,2011,-0.55
MJJ,2011,-0.44
JJA,2011,-0.48
JAS,2011,-0.62
ASO,2011,-0.83
SON,2011,-1.01
OND,2011,-1.09
NDJ,2011,-1.04
DJF,2012,-0.86
JFM,2012,-0.72
FMA,2012,-0.59
MAM,2012,-0.47
AMJ,2012,-0.26
MJJ,2012,-0.01
JJA,2012,0.25
JAS,2012,0.37
ASO,2012,0.37
SON,2012,0.27
OND,2012,0.05
NDJ,2012,-0.21
DJF,2013,-0.43
JFM,2013,-0.43
FMA,2013,-0.34
MAM,2013,-0.3
AMJ,2013,-0.36
MJJ,2013,-0.41
JJA,2013,-0.4
JAS,2013,-0.32
ASO,2013,-0.26
SON,2013,-0.18
OND,2013,-0.17
NDJ,2013,-0.27
DJF,2014,-0.42
JFM,2014,-0.46
FMA,2014,-0.27
MAM,2014,0.04
AMJ,2014,0.21
MJJ,2014,0.16
JJA,2014,0.05
JAS,2014,0.07
ASO,2014,0.23
SON,2014,0.49
OND,2014,0.64
NDJ,2014,0.66
DJF,2015,0.55
JFM,2015,0.47
FMA,2015,0.53
MAM,2015,0.7
AMJ,2015,0.93
MJJ,2015,1.18
JJA,2015,1.52
JAS,2015,1.86
ASO,2015,2.16
SON,2015,2.42
OND,2015,2.57
NDJ,2015,2.64
DJF,2016,2.48
JFM,2016,2.14
FMA,2016,1.58
MAM,2016,0.94
AMJ,2016,0.39
MJJ,2016,-0.07
JJA,2016,-0.36
JAS,2016,-0.54
ASO,2016,-0.63
SON,2016,-0.69
OND,2016,-0.67
NDJ,2016,-0.56
DJF,2017,-0.34
JFM,2017,-0.16
FMA,2017,0.05
MAM,2017,0.2
AMJ,2017,0.3
MJJ,2017,0.31
JJA,2017,0.14
JAS,2017,-0.11
ASO,2017,-0.38
SON,2017,-0.65
OND,2017,-0.84
NDJ,2017,-0.97
DJF,2018,-0.92
JFM,2018,-0.85
FMA,2018,-0.7
MAM,2018,-0.5
AMJ,2018,-0.22
MJJ,2018,-0.01
JJA,2018,0.09
JAS,2018,0.23
ASO,2018,0.49
SON,2018,0.76
OND,2018,0.9
NDJ,2018,0.81
DJF,2019,0.75
JFM,2019,0.72
FMA,2019,0.71
MAM,2019,0.66
AMJ,2019,0.54
MJJ,2019,0.45
JJA,2019,0.28
JAS,2019,0.14
ASO,2019,0.19
SON,2019,0.35
OND,2019,0.51
NDJ,2019,0.55
DJF,2020,0.5
JFM,2020,0.48
FMA,2020,0.4
MAM,2020,0.19
AMJ,2020,-0.08
MJJ,2020,-0.3
JJA,2020,-0.41
JAS,2020,-0.57
ASO,2020,-0.89
SON,2020,-1.17
OND,2020,-1.27
NDJ,2020,-1.19
DJF,2021,-1.05
JFM,2021,-0.93
FMA,2021,-0.84
MAM,2021,-0.66
AMJ,2021,-0.48
MJJ,2021,-0.38
JJA,2021,-0.4
JAS,2021,-0.49
ASO,2021,-0.67
SON,2021,-0.81
OND,2021,-0.98
NDJ,2021,-0.98
DJF,2022,-0.97
JFM,2022,-0.93
FMA,2022,-0.99
MAM,2022,-1.06
AMJ,2022,-0.99
MJJ,2022,-0.85
JJA,2022,-0.81
JAS,2022,-0.91
ASO,2022,-1.01
SON,2022,-0.99
OND,2022,-0.92
NDJ,2022,-0.83
DJF,2023,-0.68
JFM,2023,-0.43
FMA,2023,-0.15
MAM,2023,0.16
AMJ,2023,0.48
MJJ,2023,0.77
JJA,2023,1.07
JAS,2023,1.32
ASO,2023,1.56
SON,2023,1.78
OND,2023,1.92
NDJ,2023,1.95
DJF,2024,1.79
JFM,2024,1.49
FMA,2024,1.14
MAM,2024,0.75
