L,START,TARGET,SZN,MEAN_SST_CanCM4i_IC3,VAR_SST_CanCM4i_IC3
1.5,1,2,JFM,26.418053333333358,1.4255613280919355
1.5,2,3,FMA,27.109423333333357,0.7859967942643691
1.5,3,4,MAM,27.752250000000018,0.3618250467241373
1.5,4,5,AMJ,27.894950000000026,0.24020037293103313
1.5,5,6,MJJ,27.49431000000002,0.4516451098965579
1.5,6,7,JJA,26.813136666666683,0.8314762858505775
1.5,7,8,JAS,26.33473000000002,1.0830696621724205
1.5,8,9,ASO,26.031880000000022,1.1294331292413733
1.5,9,10,SON,26.153280000000017,1.391047945793089
1.5,10,11,OND,26.25182000000002,1.7037737644137905
1.5,11,12,NDJ,26.20542333333335,1.9150169252988447
1.5,12,1,DJF,26.108210000000025,1.943810445068971
2.5,1,3,FMA,26.554160000000024,1.2972550459310448
2.5,2,4,MAM,27.45721000000003,0.5251986912758558
2.5,3,5,AMJ,27.922640000000023,0.27653320524137615
2.5,4,6,MJJ,27.61837000000002,0.36586560217241204
2.5,5,7,JJA,26.818110000000026,0.9160700216207002
2.5,6,8,JAS,26.07144000000003,1.3099117507586298
2.5,7,9,ASO,25.853850000000023,1.5308489494827606
2.5,8,10,SON,25.838850000000026,1.4998585556896544
2.5,9,11,OND,26.06313666666669,1.791186343091956
2.5,10,12,NDJ,26.075583333333352,2.034616046264367
2.5,11,1,DJF,25.920153333333356,2.0794028798160844
2.5,12,2,JFM,25.84901333333336,2.0442610425747065
3.5,1,4,MAM,26.893260000000023,1.0490812742069062
3.5,2,5,AMJ,27.622213333333356,0.351063112229884
3.5,3,6,MJJ,27.70191000000003,0.38293505817241386
3.5,4,7,JJA,26.989650000000026,0.7206242494827503
3.5,5,8,JAS,26.142080000000025,1.3568197182069002
3.5,6,9,ASO,25.682186666666688,1.600710855678173
3.5,7,10,SON,25.86351000000002,1.8272438933448314
3.5,8,11,OND,25.991740000000025,1.7766968197241355
3.5,9,12,NDJ,26.13209666666669,1.9929354727471156
3.5,10,1,DJF,25.973690000000026,2.1831432257586156
3.5,11,2,JFM,25.79710000000002,2.0930994517241444
3.5,12,3,FMA,26.01236666666669,1.8573680760919635
4.5,1,5,AMJ,27.148300000000024,0.7604600172413762
4.5,2,6,MJJ,27.408590000000018,0.4001731354137967
4.5,3,7,JJA,27.11125333333336,0.7139251501609172
4.5,4,8,JAS,26.327360000000024,1.1021628466206919
4.5,5,9,ASO,25.773863333333352,1.6282820279195234
4.5,6,10,SON,25.73348666666669,1.7842200825747032
4.5,7,11,OND,26.097256666666688,2.0938614259884996
4.5,8,12,NDJ,26.155683333333354,1.9334186607471007
4.5,9,1,DJF,26.183363333333357,2.0722035886092107
4.5,10,2,JFM,25.951513333333356,2.156967186712626
4.5,11,3,FMA,26.030740000000023,1.8932592321379362
4.5,12,4,MAM,26.43789666666669,1.4758020044712594
5.5,1,6,MJJ,27.000826666666686,0.7090873847816084
5.5,2,7,JJA,26.81140666666669,0.6695937965057487
5.5,3,8,JAS,26.473666666666684,1.077957764367816
5.5,4,9,ASO,25.946653333333362,1.377738680505738
5.5,5,10,SON,25.823780000000024,1.7861599740689467
5.5,6,11,OND,25.962906666666687,2.0564846371954024
5.5,7,12,NDJ,26.269300000000026,2.2362697724137917
5.5,8,1,DJF,26.233043333333356,1.9229681825402256
