L,MON,LDC_SST_COLA_CESM1,LDC_SST_COLA_CESM1_ONETWO,LDC_SST_COLA_CESM1_THREE,LDC_SST_COLA_CESM1_FOUR
1.5,0000 1 Jan 1991,26.95038,23.52185,25.97825,28.44335
2.5,0000 1 Jan 1991,27.10436,23.7868,26.24104,28.43621
3.5,0000 1 Jan 1991,27.40635,23.12536,26.32821,28.60575
4.5,0000 1 Jan 1991,27.62723,22.03709,26.1547,28.82835
5.5,0000 1 Jan 1991,27.39207,20.95897,25.55862,28.86893
6.5,0000 1 Jan 1991,26.60575,20.1018,24.59903,28.53913
7.5,0000 1 Jan 1991,25.6056,19.48311,23.61062,27.91323
8.5,0000 1 Jan 1991,24.86095,19.29407,22.99167,27.32775
9.5,0000 1 Jan 1991,24.63688,19.60968,22.84349,27.08619
10.5,0000 1 Jan 1991,24.74008,20.32232,23.08642,27.1401
1.5,0000 1 Feb 1991,27.30573,23.70424,26.51723,28.55606
2.5,0000 1 Feb 1991,27.62722,23.09887,26.57056,28.73976
3.5,0000 1 Feb 1991,27.76256,22.01112,26.29247,28.94528
4.5,0000 1 Feb 1991,27.4415,20.92429,25.56672,28.94028
5.5,0000 1 Feb 1991,26.64356,19.98456,24.53807,28.60802
6.5,0000 1 Feb 1991,25.66726,19.41719,23.60486,28.01667
7.5,0000 1 Feb 1991,24.95622,19.26961,23.09385,27.45786
8.5,0000 1 Feb 1991,24.74991,19.60922,23.04026,27.18727
9.5,0000 1 Feb 1991,24.84542,20.2928,23.28681,27.19287
10.5,0000 1 Feb 1991,25.04895,21.33207,23.73671,27.29231
1.5,0000 1 Mar 1991,27.81908,23.81667,27.106,28.82153
2.5,0000 1 Mar 1991,28.06075,22.57461,26.83814,29.09411
3.5,0000 1 Mar 1991,27.83431,21.45424,26.11618,29.15918
4.5,0000 1 Mar 1991,27.15485,20.53398,25.11176,28.96898
5.5,0000 1 Mar 1991,26.31644,19.88651,24.23632,28.5346
6.5,0000 1 Mar 1991,25.66557,19.65153,23.76402,28.03066
7.5,0000 1 Mar 1991,25.46935,19.92702,23.72289,27.74048
8.5,0000 1 Mar 1991,25.5502,20.58703,23.93364,27.71039
9.5,0000 1 Mar 1991,25.73493,21.6221,24.32236,27.82154
10.5,0000 1 Mar 1991,25.93426,22.88627,24.85917,27.89621
1.5,0000 1 Apr 1991,27.78931,22.50811,26.47032,28.94498
2.5,0000 1 Apr 1991,27.57668,21.43047,25.81179,29.00091
3.5,0000 1 Apr 1991,26.93727,20.54565,24.85871,28.84538
4.5,0000 1 Apr 1991,26.15843,19.85095,24.03514,28.47543
5.5,0000 1 Apr 1991,25.5729,19.5835,23.61045,28.0319
6.5,0000 1 Apr 1991,25.3601,19.84485,23.57325,27.7411
7.5,0000 1 Apr 1991,25.44572,20.49842,23.80907,27.70227
8.5,0000 1 Apr 1991,25.63914,21.56028,24.23753,27.80078
9.5,0000 1 Apr 1991,25.87098,22.89794,24.80662,27.89591
10.5,0000 1 Apr 1991,26.21404,24.18925,25.47123,27.97609
1.5,0000 1 May 1991,27.55079,21.40121,25.9083,28.91611
2.5,0000 1 May 1991,26.78378,20.35062,24.69818,28.74557
3.5,0000 1 May 1991,25.88009,19.63029,23.68632,28.37243
4.5,0000 1 May 1991,25.23699,19.33529,23.16881,27.94111
5.5,0000 1 May 1991,25.03563,19.58406,23.13466,27.64684
6.5,0000 1 May 1991,25.11477,20.23696,23.41384,27.56074
7.5,0000 1 May 1991,25.29846,21.27302,23.88321,27.58479
8.5,0000 1 May 1991,25.46387,22.55902,24.46235,27.56051
9.5,0000 1 May 1991,25.77203,23.80353,25.11753,27.54638
10.5,0000 1 May 1991,26.28981,24.58949,25.83191,27.65803
1.5,0000 1 Jun 1991,27.21079,21.00662,25.28426,28.99107
2.5,0000 1 Jun 1991,26.428,20.13314,24.22109,28.74697
3.5,0000 1 Jun 1991,25.87451,19.83752,23.70887,28.51969
4.5,0000 1 Jun 1991,25.82225,20.09346,23.79462,28.40939
5.5,0000 1 Jun 1991,26.03473,20.78364,24.19822,28.41091
6.5,0000 1 Jun 1991,26.28848,21.84883,24.70533,28.42397
7.5,0000 1 Jun 1991,26.48896,23.10701,25.26514,28.36214
8.5,0000 1 Jun 1991,26.76131,24.2438,25.85163,28.29935
9.5,0000 1 Jun 1991,27.15322,24.95119,26.49671,28.28871
10.5,0000 1 Jun 1991,27.6373,25.00181,27.0683,28.43183
1.5,0000 1 Jul 1991,26.87342,20.37187,24.87556,28.88626
2.5,0000 1 Jul 1991,26.28693,20.06022,24.13085,28.74901
3.5,0000 1 Jul 1991,26.15287,20.25525,24.10057,28.69695
4.5,0000 1 Jul 1991,26.36526,20.87654,24.47778,28.71044
5.5,0000 1 Jul 1991,26.61353,21.84267,24.96101,28.68356
6.5,0000 1 Jul 1991,26.83892,23.07279,25.50433,28.6202
7.5,0000 1 Jul 1991,27.09915,24.24926,26.10649,28.56067
8.5,0000 1 Jul 1991,27.48111,25.03577,26.77444,28.57364
9.5,0000 1 Jul 1991,27.91524,25.11944,27.32618,28.68844
10.5,0000 1 Jul 1991,28.24951,24.65889,27.52188,28.81726
1.5,0000 1 Aug 1991,26.1712,19.80763,24.1424,28.49665
2.5,0000 1 Aug 1991,25.78202,19.97646,23.76384,28.3413
3.5,0000 1 Aug 1991,25.9043,20.5372,23.96494,28.42894
4.5,0000 1 Aug 1991,26.20774,21.45247,24.45837,28.54461
5.5,0000 1 Aug 1991,26.48147,22.64705,25.06084,28.57337
6.5,0000 1 Aug 1991,26.80618,23.91582,25.75624,28.55371
7.5,0000 1 Aug 1991,27.29277,24.81346,26.54271,28.58428
8.5,0000 1 Aug 1991,27.87809,25.11224,27.26565,28.734
9.5,0000 1 Aug 1991,28.32245,24.88701,27.65696,28.8679
10.5,0000 1 Aug 1991,28.51611,24.32021,27.64653,28.9536
1.5,0000 1 Sep 1991,26.57197,20.36352,24.558,28.8009
2.5,0000 1 Sep 1991,26.62377,20.90422,24.63755,28.83809
3.5,0000 1 Sep 1991,26.8613,21.82007,25.04463,28.91029
4.5,0000 1 Sep 1991,27.13642,23.05461,25.64902,28.89725
5.5,0000 1 Sep 1991,27.45761,24.29439,26.3449,28.83939
6.5,0000 1 Sep 1991,27.89125,25.21777,27.11259,28.82249
7.5,0000 1 Sep 1991,28.38817,25.61303,27.80614,28.92662
8.5,0000 1 Sep 1991,28.7568,25.5102,28.21848,29.01458
9.5,0000 1 Sep 1991,28.89894,25.10484,28.28469,29.03243
10.5,0000 1 Sep 1991,28.83372,24.5268,28.06121,28.96437
1.5,0000 1 Oct 1991,26.97394,21.00586,25.12834,28.87852
2.5,0000 1 Oct 1991,26.78737,21.69707,25.14106,28.74337
3.5,0000 1 Oct 1991,26.67929,22.43014,25.2946,28.58678
4.5,0000 1 Oct 1991,26.79505,23.24889,25.70017,28.46265
5.5,0000 1 Oct 1991,27.15818,23.80512,26.30965,28.43664
6.5,0000 1 Oct 1991,27.66797,24.04061,26.90706,28.57251
7.5,0000 1 Oct 1991,28.07452,23.82203,27.1979,28.75039
8.5,0000 1 Oct 1991,28.15736,23.35538,27.05319,28.86036
9.5,0000 1 Oct 1991,27.89141,22.71432,26.57722,28.80332
10.5,0000 1 Oct 1991,27.43819,22.14208,26.06782,28.61539
1.5,0000 1 Nov 1991,27.14199,22.10797,25.68895,28.8781
2.5,0000 1 Nov 1991,26.90666,22.68238,25.63905,28.67689
3.5,0000 1 Nov 1991,26.87849,23.24534,25.84461,28.52934
4.5,0000 1 Nov 1991,27.20737,23.63818,26.35656,28.51832
5.5,0000 1 Nov 1991,27.72961,23.7097,26.92422,28.64761
6.5,0000 1 Nov 1991,28.12999,23.42481,27.14768,28.80719
7.5,0000 1 Nov 1991,28.15681,22.93329,26.88706,28.86884
8.5,0000 1 Nov 1991,27.76008,22.2505,26.28447,28.75857
9.5,0000 1 Nov 1991,27.13599,21.63449,25.64201,28.48412
10.5,0000 1 Nov 1991,26.66209,21.32344,25.21735,28.24079
1.5,0000 1 Dec 1991,27.75048,22.77809,26.20188,29.05176
2.5,0000 1 Dec 1991,27.62211,23.51205,26.37786,28.89787
3.5,0000 1 Dec 1991,27.68624,23.76262,26.654,28.82299
4.5,0000 1 Dec 1991,27.99618,23.41429,26.94601,28.8639
5.5,0000 1 Dec 1991,28.28264,22.69447,27.00531,28.95217
