M,L,MON,LDC_SST_COLA_CESM1
1,1.5,0000 1 Jan 1991,26.97234
2,1.5,0000 1 Jan 1991,26.93743
3,1.5,0000 1 Jan 1991,27.00888
4,1.5,0000 1 Jan 1991,26.98772
5,1.5,0000 1 Jan 1991,26.94567
6,1.5,0000 1 Jan 1991,26.78897
7,1.5,0000 1 Jan 1991,26.99031
8,1.5,0000 1 Jan 1991,26.8268
9,1.5,0000 1 Jan 1991,26.98702
10,1.5,0000 1 Jan 1991,27.05867
1,2.5,0000 1 Jan 1991,27.1094
2,2.5,0000 1 Jan 1991,27.11056
3,2.5,0000 1 Jan 1991,27.18277
4,2.5,0000 1 Jan 1991,27.21495
5,2.5,0000 1 Jan 1991,27.14577
6,2.5,0000 1 Jan 1991,26.88256
7,2.5,0000 1 Jan 1991,27.11528
8,2.5,0000 1 Jan 1991,26.93015
9,2.5,0000 1 Jan 1991,27.17534
10,2.5,0000 1 Jan 1991,27.17684
1,3.5,0000 1 Jan 1991,27.31629
2,3.5,0000 1 Jan 1991,27.51103
3,3.5,0000 1 Jan 1991,27.51215
4,3.5,0000 1 Jan 1991,27.58437
5,3.5,0000 1 Jan 1991,27.51439
6,3.5,0000 1 Jan 1991,27.15125
7,3.5,0000 1 Jan 1991,27.39019
8,3.5,0000 1 Jan 1991,27.25896
9,3.5,0000 1 Jan 1991,27.54081
10,3.5,0000 1 Jan 1991,27.28407
1,4.5,0000 1 Jan 1991,27.38019
2,4.5,0000 1 Jan 1991,27.78876
3,4.5,0000 1 Jan 1991,27.8194
4,4.5,0000 1 Jan 1991,27.75971
5,4.5,0000 1 Jan 1991,27.87908
6,4.5,0000 1 Jan 1991,27.36968
7,4.5,0000 1 Jan 1991,27.59386
8,4.5,0000 1 Jan 1991,27.53989
9,4.5,0000 1 Jan 1991,27.86268
10,4.5,0000 1 Jan 1991,27.279
1,5.5,0000 1 Jan 1991,26.97478
2,5.5,0000 1 Jan 1991,27.57878
3,5.5,0000 1 Jan 1991,27.64136
4,5.5,0000 1 Jan 1991,27.52479
5,5.5,0000 1 Jan 1991,27.68029
6,5.5,0000 1 Jan 1991,27.16428
7,5.5,0000 1 Jan 1991,27.46514
8,5.5,0000 1 Jan 1991,27.24777
9,5.5,0000 1 Jan 1991,27.85277
10,5.5,0000 1 Jan 1991,26.79072
1,6.5,0000 1 Jan 1991,26.12556
2,6.5,0000 1 Jan 1991,26.78869
3,6.5,0000 1 Jan 1991,26.78719
4,6.5,0000 1 Jan 1991,26.73836
5,6.5,0000 1 Jan 1991,26.85662
6,6.5,0000 1 Jan 1991,26.52936
7,6.5,0000 1 Jan 1991,26.85118
8,6.5,0000 1 Jan 1991,26.22128
9,6.5,0000 1 Jan 1991,27.2081
10,6.5,0000 1 Jan 1991,25.95118
1,7.5,0000 1 Jan 1991,25.12659
2,7.5,0000 1 Jan 1991,25.88691
3,7.5,0000 1 Jan 1991,25.64324
4,7.5,0000 1 Jan 1991,25.6897
5,7.5,0000 1 Jan 1991,25.77368
6,7.5,0000 1 Jan 1991,25.70955
7,7.5,0000 1 Jan 1991,26.11381
8,7.5,0000 1 Jan 1991,24.99301
9,7.5,0000 1 Jan 1991,26.25877
10,7.5,0000 1 Jan 1991,24.8607
1,8.5,0000 1 Jan 1991,24.43188
