L,MON,LDC_SST_CanCM4i_IC3
1.5,0000 1 Jan 1991,299.9705
2.5,0000 1 Jan 1991,300.1543
3.5,0000 1 Jan 1991,300.4888
4.5,0000 1 Jan 1991,300.7269
5.5,0000 1 Jan 1991,300.5877
6.5,0000 1 Jan 1991,300.0755
7.5,0000 1 Jan 1991,299.4632
8.5,0000 1 Jan 1991,299.1072
9.5,0000 1 Jan 1991,299.1309
10.5,0000 1 Jan 1991,299.3369
1.5,0000 1 Feb 1991,300.6215
2.5,0000 1 Feb 1991,300.9511
3.5,0000 1 Feb 1991,301.1122
4.5,0000 1 Feb 1991,300.9036
5.5,0000 1 Feb 1991,300.2934
6.5,0000 1 Feb 1991,299.6082
7.5,0000 1 Feb 1991,299.1888
8.5,0000 1 Feb 1991,299.2035
9.5,0000 1 Feb 1991,299.4392
10.5,0000 1 Feb 1991,299.6169
1.5,0000 1 Mar 1991,301.1636
2.5,0000 1 Mar 1991,301.4204
3.5,0000 1 Mar 1991,301.3233
4.5,0000 1 Mar 1991,300.9349
5.5,0000 1 Mar 1991,300.5058
6.5,0000 1 Mar 1991,300.3123
7.5,0000 1 Mar 1991,300.4516
8.5,0000 1 Mar 1991,300.7577
9.5,0000 1 Mar 1991,300.9253
10.5,0000 1 Mar 1991,300.8804
1.5,0000 1 Apr 1991,301.2623
2.5,0000 1 Apr 1991,301.2239
3.5,0000 1 Apr 1991,300.8979
4.5,0000 1 Apr 1991,300.4832
5.5,0000 1 Apr 1991,300.2917
6.5,0000 1 Apr 1991,300.4707
7.5,0000 1 Apr 1991,300.8202
8.5,0000 1 Apr 1991,301.0438
9.5,0000 1 Apr 1991,301.0606
10.5,0000 1 Apr 1991,300.9856
1.5,0000 1 May 1991,301.2538
2.5,0000 1 May 1991,300.893
3.5,0000 1 May 1991,300.4754
4.5,0000 1 May 1991,300.2813
5.5,0000 1 May 1991,300.4354
6.5,0000 1 May 1991,300.7956
7.5,0000 1 May 1991,301.042
8.5,0000 1 May 1991,301.0963
9.5,0000 1 May 1991,301.0539
10.5,0000 1 May 1991,301.0936
1.5,0000 1 Jun 1991,301.1636
2.5,0000 1 Jun 1991,300.8062
3.5,0000 1 Jun 1991,300.6648
4.5,0000 1 Jun 1991,300.881
5.5,0000 1 Jun 1991,301.2679
6.5,0000 1 Jun 1991,301.4998
7.5,0000 1 Jun 1991,301.5415
8.5,0000 1 Jun 1991,301.4845
9.5,0000 1 Jun 1991,301.4999
10.5,0000 1 Jun 1991,301.5156
1.5,0000 1 Jul 1991,300.6207
2.5,0000 1 Jul 1991,300.407
3.5,0000 1 Jul 1991,300.6106
4.5,0000 1 Jul 1991,300.9949
5.5,0000 1 Jul 1991,301.2249
6.5,0000 1 Jul 1991,301.2758
7.5,0000 1 Jul 1991,301.2741
8.5,0000 1 Jul 1991,301.3601
9.5,0000 1 Jul 1991,301.4599
10.5,0000 1 Jul 1991,301.3129
1.5,0000 1 Aug 1991,300.2352
2.5,0000 1 Aug 1991,300.2441
3.5,0000 1 Aug 1991,300.5985
4.5,0000 1 Aug 1991,300.8832
5.5,0000 1 Aug 1991,300.9864
6.5,0000 1 Aug 1991,301.0485
7.5,0000 1 Aug 1991,301.21
8.5,0000 1 Aug 1991,301.3896
9.5,0000 1 Aug 1991,301.2864
10.5,0000 1 Aug 1991,300.7665
1.5,0000 1 Sep 1991,300.2682
2.5,0000 1 Sep 1991,300.4084
3.5,0000 1 Sep 1991,300.6002
4.5,0000 1 Sep 1991,300.7024
5.5,0000 1 Sep 1991,300.783
6.5,0000 1 Sep 1991,300.9643
7.5,0000 1 Sep 1991,301.159
8.5,0000 1 Sep 1991,301.1416
9.5,0000 1 Sep 1991,300.7709
10.5,0000 1 Sep 1991,300.0301
1.5,0000 1 Oct 1991,300.6508
2.5,0000 1 Oct 1991,300.6794
3.5,0000 1 Oct 1991,300.7356
4.5,0000 1 Oct 1991,300.8978
5.5,0000 1 Oct 1991,301.1749
6.5,0000 1 Oct 1991,301.4595
7.5,0000 1 Oct 1991,301.511
8.5,0000 1 Oct 1991,301.1789
9.5,0000 1 Oct 1991,300.4363
10.5,0000 1 Oct 1991,299.6124
1.5,0000 1 Nov 1991,300.7316
2.5,0000 1 Nov 1991,300.6441
3.5,0000 1 Nov 1991,300.6934
4.5,0000 1 Nov 1991,300.9095
5.5,0000 1 Nov 1991,301.1835
6.5,0000 1 Nov 1991,301.2572
7.5,0000 1 Nov 1991,300.9083
8.5,0000 1 Nov 1991,300.1429
9.5,0000 1 Nov 1991,299.2897
10.5,0000 1 Nov 1991,298.742
1.5,0000 1 Dec 1991,301.0655
2.5,0000 1 Dec 1991,300.9839
3.5,0000 1 Dec 1991,301.1451
4.5,0000 1 Dec 1991,301.4175
5.5,0000 1 Dec 1991,301.5179
6.5,0000 1 Dec 1991,301.1892
7.5,0000 1 Dec 1991,300.4499
8.5,0000 1 Dec 1991,299.6375
9.5,0000 1 Dec 1991,299.1571
10.5,0000 1 Dec 1991,299.0919
1.5,0000 1 Jan 1992,301.5517
2.5,0000 1 Jan 1992,301.6392
3.5,0000 1 Jan 1992,301.7584
4.5,0000 1 Jan 1992,301.6491
5.5,0000 1 Jan 1992,301.1622
6.5,0000 1 Jan 1992,300.2896
7.5,0000 1 Jan 1992,299.4263
8.5,0000 1 Jan 1992,298.8991
9.5,0000 1 Jan 1992,298.8335
10.5,0000 1 Jan 1992,298.9641
1.5,0000 1 Feb 1992,301.6535
2.5,0000 1 Feb 1992,301.6398
3.5,0000 1 Feb 1992,301.4176
4.5,0000 1 Feb 1992,300.8961
5.5,0000 1 Feb 1992,300.0423
6.5,0000 1 Feb 1992,299.233
7.5,0000 1 Feb 1992,298.7993
8.5,0000 1 Feb 1992,298.8321
9.5,0000 1 Feb 1992,299.0362
10.5,0000 1 Feb 1992,299.1317
1.5,0000 1 Mar 1992,301.8156
2.5,0000 1 Mar 1992,301.7011
3.5,0000 1 Mar 1992,301.2542
4.5,0000 1 Mar 1992,300.5268
5.5,0000 1 Mar 1992,299.8392
6.5,0000 1 Mar 1992,299.5379
7.5,0000 1 Mar 1992,299.7139
8.5,0000 1 Mar 1992,300.0479
9.5,0000 1 Mar 1992,300.2213
10.5,0000 1 Mar 1992,300.1165
1.5,0000 1 Apr 1992,302.1093
2.5,0000 1 Apr 1992,301.8545
3.5,0000 1 Apr 1992,301.4131
4.5,0000 1 Apr 1992,300.9269
5.5,0000 1 Apr 1992,300.7032
6.5,0000 1 Apr 1992,300.8631
7.5,0000 1 Apr 1992,301.1899
8.5,0000 1 Apr 1992,301.3093
9.5,0000 1 Apr 1992,301.1488
10.5,0000 1 Apr 1992,300.8338
1.5,0000 1 May 1992,301.7385
2.5,0000 1 May 1992,301.0928
3.5,0000 1 May 1992,300.3618
4.5,0000 1 May 1992,299.9648
5.5,0000 1 May 1992,300.03
6.5,0000 1 May 1992,300.2983
7.5,0000 1 May 1992,300.3625
8.5,0000 1 May 1992,300.1797
9.5,0000 1 May 1992,300.0091
10.5,0000 1 May 1992,300.0856
1.5,0000 1 Jun 1992,300.6359
2.5,0000 1 Jun 1992,299.8126
3.5,0000 1 Jun 1992,299.4114
4.5,0000 1 Jun 1992,299.4851
5.5,0000 1 Jun 1992,299.7682
6.5,0000 1 Jun 1992,299.8914
7.5,0000 1 Jun 1992,299.9031
8.5,0000 1 Jun 1992,299.9354
9.5,0000 1 Jun 1992,300.1663
10.5,0000 1 Jun 1992,300.5327
1.5,0000 1 Jul 1992,299.7309
2.5,0000 1 Jul 1992,299.3066
