L,MON,LDC_SST_CanESM5,LDC_SST_CanESM5_ONETWO,LDC_SST_CanESM5_THREE,LDC_SST_CanESM5_FOUR
1.5,0000 1 Jan 1991,300.1965,299.3497,299.4645,301.9547
2.5,0000 1 Jan 1991,300.3531,300.0556,299.9443,301.9257
3.5,0000 1 Jan 1991,300.5844,299.6822,300.0804,302.0072
4.5,0000 1 Jan 1991,300.6998,298.6405,299.8401,302.105
5.5,0000 1 Jan 1991,300.5685,297.4437,299.3138,302.1012
6.5,0000 1 Jan 1991,300.3255,296.5472,298.7918,302.0732
7.5,0000 1 Jan 1991,300.1148,296.0225,298.4285,302.0896
8.5,0000 1 Jan 1991,300.0639,295.9731,298.3422,302.201
9.5,0000 1 Jan 1991,300.0973,296.3629,298.4434,302.3114
10.5,0000 1 Jan 1991,300.0875,297.0735,298.5988,302.294
1.5,0000 1 Feb 1991,300.8049,300.2741,300.4356,302.1254
2.5,0000 1 Feb 1991,301.0461,300.0049,300.526,302.2455
3.5,0000 1 Feb 1991,301.0561,299.0249,300.1728,302.3416
4.5,0000 1 Feb 1991,300.8101,297.8407,299.5706,302.2997
5.5,0000 1 Feb 1991,300.459,296.9174,298.9685,302.2076
6.5,0000 1 Feb 1991,300.1473,296.3293,298.5177,302.164
7.5,0000 1 Feb 1991,299.9896,296.2211,298.3624,302.1867
8.5,0000 1 Feb 1991,299.9659,296.5268,298.4339,302.2026
9.5,0000 1 Feb 1991,299.9247,297.1433,298.5653,302.1021
10.5,0000 1 Feb 1991,299.8454,297.992,298.7647,301.8645
1.5,0000 1 Mar 1991,301.0905,300.1239,300.654,302.2821
2.5,0000 1 Mar 1991,301.2095,299.205,300.4048,302.4576
3.5,0000 1 Mar 1991,301.051,298.0377,299.8492,302.4648
4.5,0000 1 Mar 1991,300.7419,297.1111,299.2513,302.3939
5.5,0000 1 Mar 1991,300.444,296.5438,298.8032,302.3561
6.5,0000 1 Mar 1991,300.2823,296.4321,298.6234,302.393
