L,M,MON,LDC_SST_CanESM5
1.5,1,0000 1 Jan 1991,300.062
2.5,1,0000 1 Jan 1991,300.06
3.5,1,0000 1 Jan 1991,300.1347
4.5,1,0000 1 Jan 1991,300.1246
5.5,1,0000 1 Jan 1991,300.0351
6.5,1,0000 1 Jan 1991,299.8926
7.5,1,0000 1 Jan 1991,299.7906
8.5,1,0000 1 Jan 1991,299.8189
9.5,1,0000 1 Jan 1991,299.9641
10.5,1,0000 1 Jan 1991,300.1169
1.5,2,0000 1 Jan 1991,300.1685
2.5,2,0000 1 Jan 1991,300.2292
3.5,2,0000 1 Jan 1991,300.3075
4.5,2,0000 1 Jan 1991,300.2936
5.5,2,0000 1 Jan 1991,300.1261
6.5,2,0000 1 Jan 1991,299.996
7.5,2,0000 1 Jan 1991,299.9531
8.5,2,0000 1 Jan 1991,300.0565
9.5,2,0000 1 Jan 1991,300.2321
10.5,2,0000 1 Jan 1991,300.2822
1.5,3,0000 1 Jan 1991,300.0455
2.5,3,0000 1 Jan 1991,300.2147
3.5,3,0000 1 Jan 1991,300.4823
4.5,3,0000 1 Jan 1991,300.6852
5.5,3,0000 1 Jan 1991,300.6382
6.5,3,0000 1 Jan 1991,300.6172
7.5,3,0000 1 Jan 1991,300.5598
8.5,3,0000 1 Jan 1991,300.5849
9.5,3,0000 1 Jan 1991,300.6112
10.5,3,0000 1 Jan 1991,300.5863
1.5,4,0000 1 Jan 1991,300.1371
2.5,4,0000 1 Jan 1991,300.2552
3.5,4,0000 1 Jan 1991,300.4574
4.5,4,0000 1 Jan 1991,300.5287
5.5,4,0000 1 Jan 1991,300.4383
6.5,4,0000 1 Jan 1991,300.2609
7.5,4,0000 1 Jan 1991,300.0522
8.5,4,0000 1 Jan 1991,299.9012
9.5,4,0000 1 Jan 1991,299.7832
10.5,4,0000 1 Jan 1991,299.647
1.5,5,0000 1 Jan 1991,300.2979
2.5,5,0000 1 Jan 1991,300.5606
3.5,5,0000 1 Jan 1991,300.9177
