L,MON,LDC_SST_CanSIPS_IC4,LDC_SST_CanSIPS_IC4_ONETWO,LDC_SST_CanSIPS_IC4_THREE,LDC_SST_CanSIPS_IC4_FOUR
1.5,0000 1 Jan 1991,299.8297,299.0031,299.1711,301.6813
2.5,0000 1 Jan 1991,299.8449,299.5593,299.5108,301.4505
3.5,0000 1 Jan 1991,299.9477,298.9987,299.5028,301.3635
4.5,0000 1 Jan 1991,299.9264,297.8351,299.0978,301.303
5.5,0000 1 Jan 1991,299.6278,296.5836,298.3847,301.1634
6.5,0000 1 Jan 1991,299.183,295.7073,297.7046,300.9572
7.5,0000 1 Jan 1991,298.7769,295.2146,297.2693,300.7667
8.5,0000 1 Jan 1991,298.5478,295.1273,297.1471,300.6323
9.5,0000 1 Jan 1991,298.4551,295.4702,297.2152,300.5381
10.5,0000 1 Jan 1991,298.3797,296.0974,297.3142,300.4265
1.5,0000 1 Feb 1991,300.3383,299.8216,300.0078,301.7994
2.5,0000 1 Feb 1991,300.4318,299.4137,299.9828,301.7504
3.5,0000 1 Feb 1991,300.3655,298.3163,299.546,301.7179
4.5,0000 1 Feb 1991,300.0072,297.0728,298.8243,301.5476
5.5,0000 1 Feb 1991,299.5069,296.1807,298.1147,301.2883
6.5,0000 1 Feb 1991,299.0396,295.6553,297.5951,301.0394
7.5,0000 1 Feb 1991,298.7575,295.5627,297.4109,300.8609
8.5,0000 1 Feb 1991,298.6461,295.8564,297.4682,300.7278
9.5,0000 1 Feb 1991,298.5645,296.4324,297.5781,300.582
10.5,0000 1 Feb 1991,298.4981,297.2101,297.7606,300.3868
1.5,0000 1 Mar 1991,300.7335,299.4583,300.2833,302.0179
2.5,0000 1 Mar 1991,300.7044,298.4777,299.9387,302.0282
3.5,0000 1 Mar 1991,300.3822,297.337,299.2699,301.8654
4.5,0000 1 Mar 1991,299.8943,296.487,298.5308,301.6197
5.5,0000 1 Mar 1991,299.4467,295.977,297.9802,301.3905
6.5,0000 1 Mar 1991,299.1804,295.8622,297.7647,301.2404
7.5,0000 1 Mar 1991,299.0657,296.1343,297.805,301.1353
8.5,0000 1 Mar 1991,298.9751,296.6601,297.9123,301.0038
9.5,0000 1 Mar 1991,298.8678,297.3795,298.0539,300.8031
10.5,0000 1 Mar 1991,298.8282,298.2628,298.3525,300.5553
1.5,0000 1 Apr 1991,300.7184,298.1715,299.9103,302.0874
2.5,0000 1 Apr 1991,300.4238,297.2666,299.36,301.9263
3.5,0000 1 Apr 1991,299.9888,296.4616,298.6942,301.6954
4.5,0000 1 Apr 1991,299.5952,296.0347,298.1861,301.4993
5.5,0000 1 Apr 1991,299.3958,296.0001,298.015,301.3956
6.5,0000 1 Apr 1991,299.335,296.3554,298.0828,301.3427
7.5,0000 1 Apr 1991,299.2692,296.9302,298.2063,301.2296
8.5,0000 1 Apr 1991,299.1511,297.6676,298.3507,300.9975
9.5,0000 1 Apr 1991,299.0793,298.5245,298.6135,300.7148
10.5,0000 1 Apr 1991,299.1844,299.2839,299.0168,300.5145
1.5,0000 1 May 1991,300.8277,297.4586,299.837,302.1524
2.5,0000 1 May 1991,300.3901,296.8605,299.1404,302.0135
3.5,0000 1 May 1991,299.995,296.443,298.6145,301.8806
4.5,0000 1 May 1991,299.7794,296.432,298.4115,301.8026
5.5,0000 1 May 1991,299.7219,296.7538,298.4637,301.7386
6.5,0000 1 May 1991,299.674,297.2892,298.5897,301.6181
7.5,0000 1 May 1991,299.5661,297.9695,298.7342,301.3879
8.5,0000 1 May 1991,299.4867,298.7602,298.9607,301.1092
9.5,0000 1 May 1991,299.5533,299.4779,299.2841,300.9037
10.5,0000 1 May 1991,299.7582,299.711,299.5771,300.8592
1.5,0000 1 Jun 1991,300.7531,297.0327,299.5563,302.2967
2.5,0000 1 Jun 1991,300.3616,296.773,298.9971,302.1897
3.5,0000 1 Jun 1991,300.1754,296.7738,298.7997,302.1446
4.5,0000 1 Jun 1991,300.1535,297.1114,298.862,302.1248
5.5,0000 1 Jun 1991,300.1593,297.6532,299.0115,302.0312
6.5,0000 1 Jun 1991,300.0772,298.3376,299.1836,301.7982
7.5,0000 1 Jun 1991,299.9879,299.1091,299.4157,301.493
8.5,0000 1 Jun 1991,300.0001,299.7714,299.6928,301.2529
9.5,0000 1 Jun 1991,300.1501,299.9774,299.9582,301.1698
10.5,0000 1 Jun 1991,300.2323,299.2671,299.8307,301.2097
1.5,0000 1 Jul 1991,300.6045,296.6499,299.2746,302.3397
2.5,0000 1 Jul 1991,300.4003,296.9117,299.0291,302.3177
3.5,0000 1 Jul 1991,300.4213,297.3125,299.1075,302.3371
4.5,0000 1 Jul 1991,300.4669,297.8491,299.2832,302.2679
5.5,0000 1 Jul 1991,300.4002,298.5232,299.4602,302.0465
6.5,0000 1 Jul 1991,300.2998,299.2706,299.6728,301.753
7.5,0000 1 Jul 1991,300.2904,299.9157,299.9276,301.5134
8.5,0000 1 Jul 1991,300.387,300.1008,300.1372,301.4071
9.5,0000 1 Jul 1991,300.42,299.3917,299.9656,301.4003
10.5,0000 1 Jul 1991,300.1951,298.1104,299.343,301.3719
1.5,0000 1 Aug 1991,300.3185,296.1781,298.7934,302.3409
2.5,0000 1 Aug 1991,300.2321,296.8147,298.7882,302.3058
3.5,0000 1 Aug 1991,300.2726,297.5066,298.9585,302.2266
4.5,0000 1 Aug 1991,300.23,298.3317,299.169,302.0221
5.5,0000 1 Aug 1991,300.1653,299.1952,299.4534,301.7293
6.5,0000 1 Aug 1991,300.1858,299.9274,299.7907,301.4773
7.5,0000 1 Aug 1991,300.3265,300.1985,300.1037,301.3654
8.5,0000 1 Aug 1991,300.4013,299.5833,300.0193,301.3702
9.5,0000 1 Aug 1991,300.2376,298.3268,299.4462,301.3686
10.5,0000 1 Aug 1991,299.7592,296.9038,298.5406,301.2298
1.5,0000 1 Sep 1991,300.1313,296.1802,298.5796,302.2386
2.5,0000 1 Sep 1991,300.0401,297.0805,298.7031,302.0868
3.5,0000 1 Sep 1991,299.9095,297.9036,298.8602,301.8161
4.5,0000 1 Sep 1991,299.7892,298.7553,299.0965,301.4944
5.5,0000 1 Sep 1991,299.782,299.5307,299.4161,301.2359
6.5,0000 1 Sep 1991,299.9336,299.8623,299.7361,301.1234
7.5,0000 1 Sep 1991,300.0621,299.2726,299.6885,301.1565
