L,MON,LDC_SST_GEM52_NEMO,LDC_SST_GEM52_NEMO_ONETWO,LDC_SST_GEM52_NEMO_THREE,LDC_SST_GEM52_NEMO_FOUR
1.5,0000 1 Jan 1991,299.4629,298.6566,299.4645,301.4078
2.5,0000 1 Jan 1991,299.3366,299.063,299.9443,300.9752
3.5,0000 1 Jan 1991,299.3109,298.3152,300.0804,300.7198
4.5,0000 1 Jan 1991,299.1531,297.0296,299.8401,300.501
5.5,0000 1 Jan 1991,298.687,295.7234,299.3138,300.2256
6.5,0000 1 Jan 1991,298.0405,294.8673,298.7918,299.8412
7.5,0000 1 Jan 1991,297.439,294.4067,298.4285,299.4438
8.5,0000 1 Jan 1991,297.0316,294.2816,298.3422,299.0635
9.5,0000 1 Jan 1991,296.813,294.5775,298.4434,298.7648
10.5,0000 1 Jan 1991,296.672,295.1213,298.5988,298.5591
1.5,0000 1 Feb 1991,299.8717,299.3691,300.4356,301.4734
2.5,0000 1 Feb 1991,299.8175,298.8226,300.526,301.2553
3.5,0000 1 Feb 1991,299.6749,297.6076,300.1728,301.0941
4.5,0000 1 Feb 1991,299.2043,296.3049,299.5706,300.7955
5.5,0000 1 Feb 1991,298.5547,295.444,298.9685,300.369
6.5,0000 1 Feb 1991,297.9319,294.9813,298.5177,299.9148
7.5,0000 1 Feb 1991,297.5255,294.9043,298.3624,299.5351
8.5,0000 1 Feb 1991,297.3263,295.1861,298.4339,299.253
9.5,0000 1 Feb 1991,297.2043,295.7214,298.5653,299.0619
10.5,0000 1 Feb 1991,297.1508,296.4281,298.7647,298.9092
1.5,0000 1 Mar 1991,300.3765,298.7928,300.654,301.7535
2.5,0000 1 Mar 1991,300.1994,297.7505,300.4048,301.5987
3.5,0000 1 Mar 1991,299.7134,296.6363,299.8492,301.2659
4.5,0000 1 Mar 1991,299.0468,295.863,299.2513,300.8456
5.5,0000 1 Mar 1991,298.4495,295.4102,298.8032,300.4249
6.5,0000 1 Mar 1991,298.0784,295.2924,298.6234,300.0877
7.5,0000 1 Mar 1991,297.8931,295.5075,298.6731,299.8565
8.5,0000 1 Mar 1991,297.7543,295.9559,298.8076,299.6909
9.5,0000 1 Mar 1991,297.6499,296.5721,298.9897,299.5521
10.5,0000 1 Mar 1991,297.6181,297.3382,299.3264,299.3378
1.5,0000 1 Apr 1991,300.3811,297.2485,300.3004,301.8029
2.5,0000 1 Apr 1991,299.9002,296.3296,299.8871,301.4562
3.5,0000 1 Apr 1991,299.254,295.6431,299.381,301.0145
4.5,0000 1 Apr 1991,298.6682,295.3307,299.0113,300.5855
5.5,0000 1 Apr 1991,298.3259,295.3474,298.9059,300.2617
6.5,0000 1 Apr 1991,298.1653,295.7225,298.9924,300.0614
7.5,0000 1 Apr 1991,298.0338,296.2845,299.1327,299.8911
8.5,0000 1 Apr 1991,297.8976,296.9511,299.2971,299.6921
9.5,0000 1 Apr 1991,297.8388,297.7128,299.5884,299.4482
10.5,0000 1 Apr 1991,297.9167,298.3646,300.0596,299.2392
1.5,0000 1 May 1991,300.6493,296.8539,300.0107,302.0358
2.5,0000 1 May 1991,300.0901,296.2563,299.3493,301.734
3.5,0000 1 May 1991,299.5484,295.9534,298.9103,301.3992
4.5,0000 1 May 1991,299.197,296.0502,298.8095,301.1243
5.5,0000 1 May 1991,299.0387,296.4016,298.9411,300.9231
6.5,0000 1 May 1991,298.9206,296.9086,299.1148,300.7435
7.5,0000 1 May 1991,298.7717,297.459,299.3121,300.5254
8.5,0000 1 May 1991,298.6207,298.0864,299.6449,300.2323
9.5,0000 1 May 1991,298.5506,298.6477,300.1599,299.9408
10.5,0000 1 May 1991,298.5282,298.7193,300.7061,299.7271
1.5,0000 1 Jun 1991,300.4485,296.562,299.8273,302.0258
2.5,0000 1 Jun 1991,299.9275,296.263,299.3745,301.7714
3.5,0000 1 Jun 1991,299.6202,296.2914,299.2567,301.5768
4.5,0000 1 Jun 1991,299.5135,296.6821,299.371,301.4508
5.5,0000 1 Jun 1991,299.4784,297.2409,299.5393,301.3392
6.5,0000 1 Jun 1991,299.3878,297.8588,299.7291,301.1448
7.5,0000 1 Jun 1991,299.2645,298.5041,300.0255,300.8696
8.5,0000 1 Jun 1991,299.1841,299.0307,300.4155,300.576
9.5,0000 1 Jun 1991,299.1583,299.1315,300.8668,300.3514
10.5,0000 1 Jun 1991,299.0102,298.2834,300.965,300.2063
1.5,0000 1 Jul 1991,300.2307,296.5185,299.5551,302.0496
2.5,0000 1 Jul 1991,299.9359,296.7421,299.3392,301.8614
3.5,0000 1 Jul 1991,299.9158,297.1456,299.423,301.7639
4.5,0000 1 Jul 1991,299.9514,297.6375,299.5999,301.6761
5.5,0000 1 Jul 1991,299.9114,298.2051,299.7812,301.512
6.5,0000 1 Jul 1991,299.7836,298.8101,300.0761,301.2625
7.5,0000 1 Jul 1991,299.6554,299.3198,300.4976,300.9863
8.5,0000 1 Jul 1991,299.5507,299.3601,300.942,300.762
9.5,0000 1 Jul 1991,299.3599,298.4605,300.9797,300.6002
10.5,0000 1 Jul 1991,298.9261,297.015,300.5494,300.3946
