L,M,MON,LDC_SST_GEM52_NEMO
1.5,1,0000 1 Jan 1991,299.4867
2.5,1,0000 1 Jan 1991,299.507
3.5,1,0000 1 Jan 1991,299.7186
4.5,1,0000 1 Jan 1991,299.7066
5.5,1,0000 1 Jan 1991,299.3664
6.5,1,0000 1 Jan 1991,298.7743
7.5,1,0000 1 Jan 1991,298.1918
8.5,1,0000 1 Jan 1991,297.614
9.5,1,0000 1 Jan 1991,297.2013
10.5,1,0000 1 Jan 1991,296.9603
1.5,2,0000 1 Jan 1991,299.338
2.5,2,0000 1 Jan 1991,299.023
3.5,2,0000 1 Jan 1991,298.8027
4.5,2,0000 1 Jan 1991,298.5675
5.5,2,0000 1 Jan 1991,298.1231
6.5,2,0000 1 Jan 1991,297.532
7.5,2,0000 1 Jan 1991,296.9823
8.5,2,0000 1 Jan 1991,296.7029
9.5,2,0000 1 Jan 1991,296.6227
10.5,2,0000 1 Jan 1991,296.5851
1.5,3,0000 1 Jan 1991,299.3475
2.5,3,0000 1 Jan 1991,299.1275
3.5,3,0000 1 Jan 1991,299.0752
4.5,3,0000 1 Jan 1991,299.1061
5.5,3,0000 1 Jan 1991,299.0558
6.5,3,0000 1 Jan 1991,298.8558
7.5,3,0000 1 Jan 1991,298.4997
8.5,3,0000 1 Jan 1991,298.0509
9.5,3,0000 1 Jan 1991,297.731
10.5,3,0000 1 Jan 1991,297.4857
1.5,4,0000 1 Jan 1991,299.6944
2.5,4,0000 1 Jan 1991,299.6285
3.5,4,0000 1 Jan 1991,299.6634
4.5,4,0000 1 Jan 1991,299.5366
5.5,4,0000 1 Jan 1991,299.0443
6.5,4,0000 1 Jan 1991,298.3833
7.5,4,0000 1 Jan 1991,297.6847
8.5,4,0000 1 Jan 1991,297.2948
9.5,4,0000 1 Jan 1991,296.998
10.5,4,0000 1 Jan 1991,296.8602
1.5,5,0000 1 Jan 1991,299.6885
2.5,5,0000 1 Jan 1991,299.7351
3.5,5,0000 1 Jan 1991,299.8137
4.5,5,0000 1 Jan 1991,299.6798
5.5,5,0000 1 Jan 1991,299.1373
6.5,5,0000 1 Jan 1991,298.4604
7.5,5,0000 1 Jan 1991,297.8476
8.5,5,0000 1 Jan 1991,297.2706
9.5,5,0000 1 Jan 1991,296.8108
