L,MON,LDC_SST_GEM5_NEMO
1.5,0000 1 Jan 1991,299.3656
2.5,0000 1 Jan 1991,299.189
3.5,0000 1 Jan 1991,299.1787
4.5,0000 1 Jan 1991,299.0559
5.5,0000 1 Jan 1991,298.6539
6.5,0000 1 Jan 1991,298.0966
7.5,0000 1 Jan 1991,297.5834
8.5,0000 1 Jan 1991,297.2506
9.5,0000 1 Jan 1991,297.0829
10.5,0000 1 Jan 1991,296.9583
1.5,0000 1 Feb 1991,299.917
2.5,0000 1 Feb 1991,299.8412
3.5,0000 1 Feb 1991,299.6425
4.5,0000 1 Feb 1991,299.1126
5.5,0000 1 Feb 1991,298.389
6.5,0000 1 Feb 1991,297.8074
7.5,0000 1 Feb 1991,297.5414
8.5,0000 1 Feb 1991,297.4989
9.5,0000 1 Feb 1991,297.4708
10.5,0000 1 Feb 1991,297.4285
1.5,0000 1 Mar 1991,300.4209
2.5,0000 1 Mar 1991,300.2699
3.5,0000 1 Mar 1991,299.7876
4.5,0000 1 Mar 1991,299.1339
5.5,0000 1 Mar 1991,298.5918
6.5,0000 1 Mar 1991,298.3866
7.5,0000 1 Mar 1991,298.3978
8.5,0000 1 Mar 1991,298.4257
9.5,0000 1 Mar 1991,298.3662
10.5,0000 1 Mar 1991,298.271
1.5,0000 1 Apr 1991,300.4511
2.5,0000 1 Apr 1991,299.9904
3.5,0000 1 Apr 1991,299.392
4.5,0000 1 Apr 1991,298.8649
5.5,0000 1 Apr 1991,298.6534
6.5,0000 1 Apr 1991,298.6664
7.5,0000 1 Apr 1991,298.713
8.5,0000 1 Apr 1991,298.6839
9.5,0000 1 Apr 1991,298.622
10.5,0000 1 Apr 1991,298.627
1.5,0000 1 May 1991,300.6697
2.5,0000 1 May 1991,300.121
3.5,0000 1 May 1991,299.6611
4.5,0000 1 May 1991,299.4531
5.5,0000 1 May 1991,299.4785
6.5,0000 1 May 1991,299.5804
7.5,0000 1 May 1991,299.6321
8.5,0000 1 May 1991,299.5602
9.5,0000 1 May 1991,299.4659
10.5,0000 1 May 1991,299.3351
1.5,0000 1 Jun 1991,300.5679
2.5,0000 1 Jun 1991,300.1318
3.5,0000 1 Jun 1991,299.9614
4.5,0000 1 Jun 1991,300.0446
5.5,0000 1 Jun 1991,300.1966
6.5,0000 1 Jun 1991,300.2697
7.5,0000 1 Jun 1991,300.201
8.5,0000 1 Jun 1991,300.0517
9.5,0000 1 Jun 1991,299.8639
10.5,0000 1 Jun 1991,299.5068
1.5,0000 1 Jul 1991,300.2928
2.5,0000 1 Jul 1991,300.0643
3.5,0000 1 Jul 1991,300.1868
4.5,0000 1 Jul 1991,300.3922
5.5,0000 1 Jul 1991,300.4869
6.5,0000 1 Jul 1991,300.3501
7.5,0000 1 Jul 1991,300.118
8.5,0000 1 Jul 1991,299.9131
9.5,0000 1 Jul 1991,299.6461
10.5,0000 1 Jul 1991,299.1637
1.5,0000 1 Aug 1991,299.9592
2.5,0000 1 Aug 1991,299.8206
3.5,0000 1 Aug 1991,299.911
