L,MON,LDC_SST_GFDL_SPEAR,LDC_SST_GFDL_SPEAR_ONETWO,LDC_SST_GFDL_SPEAR_THREE,LDC_SST_GFDL_SPEAR_FOUR
1.5,0000 1 Jan 1991,26.55804,25.49,26.11018,28.0414
2.5,0000 1 Jan 1991,26.91037,25.65075,26.65816,28.03729
3.5,0000 1 Jan 1991,27.27886,24.75944,26.79709,28.24893
4.5,0000 1 Jan 1991,27.33729,23.4222,26.46144,28.41844
5.5,0000 1 Jan 1991,26.99391,22.20774,25.76022,28.34974
6.5,0000 1 Jan 1991,26.46733,21.25544,24.98575,28.15625
7.5,0000 1 Jan 1991,26.04688,20.59709,24.44062,27.97537
8.5,0000 1 Jan 1991,25.89869,20.44244,24.29385,27.93294
9.5,0000 1 Jan 1991,25.98583,20.74568,24.41692,27.97607
10.5,0000 1 Jan 1991,26.06189,21.46786,24.57788,27.96808
1.5,0000 1 Feb 1991,27.14621,25.52176,26.83719,28.29799
2.5,0000 1 Feb 1991,27.44106,24.67229,26.91575,28.4121
3.5,0000 1 Feb 1991,27.40739,23.29326,26.44858,28.48989
4.5,0000 1 Feb 1991,27.00818,22.03078,25.67583,28.36764
5.5,0000 1 Feb 1991,26.46613,21.07559,24.92908,28.12431
6.5,0000 1 Feb 1991,26.03043,20.35702,24.37969,27.9043
7.5,0000 1 Feb 1991,25.83256,20.10527,24.15652,27.82743
8.5,0000 1 Feb 1991,25.82108,20.34078,24.16331,27.86056
9.5,0000 1 Feb 1991,25.80078,21.07517,24.24104,27.844
10.5,0000 1 Feb 1991,25.69806,22.26538,24.38639,27.68613
1.5,0000 1 Mar 1991,27.62152,25.67623,27.26204,28.60695
2.5,0000 1 Mar 1991,27.62951,24.26457,26.83684,28.71734
3.5,0000 1 Mar 1991,27.12574,22.72079,25.93266,28.54281
4.5,0000 1 Mar 1991,26.4292,21.4272,24.98264,28.19262
5.5,0000 1 Mar 1991,25.85818,20.4652,24.27728,27.84477
6.5,0000 1 Mar 1991,25.57874,20.0568,23.97183,27.64131
7.5,0000 1 Mar 1991,25.50285,20.21138,23.93328,27.57031
8.5,0000 1 Mar 1991,25.406,20.85904,23.93996,27.46499
9.5,0000 1 Mar 1991,25.2395,21.90387,24.00172,27.23425
10.5,0000 1 Mar 1991,25.12361,23.31451,24.31875,26.96823
1.5,0000 1 Apr 1991,27.33421,23.55252,26.42895,28.59487
2.5,0000 1 Apr 1991,26.89672,22.07115,25.59922,28.38875
3.5,0000 1 Apr 1991,26.28348,20.86267,24.69288,28.07632
4.5,0000 1 Apr 1991,25.76638,19.98731,24.00393,27.78008
5.5,0000 1 Apr 1991,25.49467,19.62547,23.7212,27.62031
6.5,0000 1 Apr 1991,25.37662,19.90084,23.69094,27.56261
7.5,0000 1 Apr 1991,25.28891,20.70111,23.75131,27.47061
8.5,0000 1 Apr 1991,25.19987,21.94263,23.94324,27.26876
9.5,0000 1 Apr 1991,25.18708,23.50458,24.38278,27.05494
10.5,0000 1 Apr 1991,25.40009,24.84855,25.04194,26.99748
1.5,0000 1 May 1991,27.43413,22.80345,26.31403,28.73245
2.5,0000 1 May 1991,26.80135,21.73479,25.39932,28.42648
3.5,0000 1 May 1991,26.27405,20.9348,24.70341,28.15626
4.5,0000 1 May 1991,26.0228,20.52748,24.37917,28.05111
5.5,0000 1 May 1991,26.02561,20.69772,24.41299,28.06903
6.5,0000 1 May 1991,26.00949,21.3337,24.48856,28.02602
7.5,0000 1 May 1991,25.87924,22.39799,24.59842,27.82745
8.5,0000 1 May 1991,25.7715,23.7325,24.85455,27.60729
9.5,0000 1 May 1991,25.8783,24.89293,25.33407,27.52688
10.5,0000 1 May 1991,26.26611,25.18612,25.8848,27.6452
1.5,0000 1 Jun 1991,27.38674,22.37135,26.10133,28.92656
2.5,0000 1 Jun 1991,26.97491,21.33809,25.3894,28.79507
3.5,0000 1 Jun 1991,26.80341,20.90492,25.07337,28.79281
4.5,0000 1 Jun 1991,26.8496,21.07571,25.07441,28.85022
5.5,0000 1 Jun 1991,26.88264,21.78495,25.17259,28.82669
6.5,0000 1 Jun 1991,26.78905,22.93764,25.30008,28.63584
7.5,0000 1 Jun 1991,26.63116,24.33389,25.54358,28.37394
8.5,0000 1 Jun 1991,26.6324,25.51236,26.00866,28.16732
9.5,0000 1 Jun 1991,26.8635,25.86556,26.52731,28.09766
10.5,0000 1 Jun 1991,27.09838,25.23139,26.69125,28.13301
1.5,0000 1 Jul 1991,27.12918,21.37462,25.51989,28.8972
2.5,0000 1 Jul 1991,26.90001,20.94039,25.10889,28.89588
3.5,0000 1 Jul 1991,26.95349,21.07765,25.10334,28.96498
4.5,0000 1 Jul 1991,27.05567,21.76377,25.24596,28.97523
5.5,0000 1 Jul 1991,27.00716,22.87062,25.41423,28.80822
6.5,0000 1 Jul 1991,26.86133,24.2286,25.67158,28.55742
7.5,0000 1 Jul 1991,26.84006,25.37371,26.12448,28.36173
8.5,0000 1 Jul 1991,27.05787,25.76892,26.65449,28.28403
9.5,0000 1 Jul 1991,27.27833,25.18712,26.80754,28.28567
10.5,0000 1 Jul 1991,27.20831,23.99555,26.39933,28.25153
1.5,0000 1 Aug 1991,26.79577,20.83666,25.02375,28.71357
2.5,0000 1 Aug 1991,26.66168,20.90328,24.85069,28.69816
3.5,0000 1 Aug 1991,26.63567,21.52901,24.89239,28.64512
4.5,0000 1 Aug 1991,26.47342,22.61767,25.00005,28.43951
5.5,0000 1 Aug 1991,26.29013,24.06852,25.27865,28.16946
6.5,0000 1 Aug 1991,26.35617,25.32374,25.79047,28.00719
7.5,0000 1 Aug 1991,26.7324,25.70674,26.39443,28.05724
8.5,0000 1 Aug 1991,27.13476,25.07494,26.64025,28.23026
9.5,0000 1 Aug 1991,27.24119,23.83051,26.37959,28.3622
10.5,0000 1 Aug 1991,26.92171,22.58813,25.68311,28.30704
1.5,0000 1 Sep 1991,27.26262,21.43685,25.45439,29.20833
2.5,0000 1 Sep 1991,27.23454,22.10557,25.52844,29.13865
3.5,0000 1 Sep 1991,27.08536,23.16186,25.62659,28.88857
4.5,0000 1 Sep 1991,26.85586,24.47,25.83792,28.53342
5.5,0000 1 Sep 1991,26.79568,25.59685,26.24263,28.2077
6.5,0000 1 Sep 1991,27.01456,25.78161,26.68101,28.0822
7.5,0000 1 Sep 1991,27.24525,24.92014,26.73963,28.13852
8.5,0000 1 Sep 1991,27.16562,23.47583,26.26423,28.18454
9.5,0000 1 Sep 1991,26.64117,22.07473,25.3757,28.03389
10.5,0000 1 Sep 1991,25.98179,20.95877,24.51877,27.72173
1.5,0000 1 Oct 1991,27.08939,22.11402,25.42878,28.98364
2.5,0000 1 Oct 1991,26.81274,23.11116,25.45377,28.63922
3.5,0000 1 Oct 1991,26.54044,24.32544,25.58705,28.24775
4.5,0000 1 Oct 1991,26.5036,25.35293,25.97913,27.93802
5.5,0000 1 Oct 1991,26.76211,25.5049,26.4246,27.86129
6.5,0000 1 Oct 1991,27.03089,24.61367,26.50294,27.98047
7.5,0000 1 Oct 1991,27.02147,23.20099,26.09981,28.08576
8.5,0000 1 Oct 1991,26.56521,21.85916,25.27634,27.98201
9.5,0000 1 Oct 1991,25.92481,20.82494,24.42356,27.71079
10.5,0000 1 Oct 1991,25.40983,20.11403,23.83101,27.43247
1.5,0000 1 Nov 1991,27.04731,23.57339,25.74299,28.85002
2.5,0000 1 Nov 1991,26.82771,24.8342,25.92546,28.50975
3.5,0000 1 Nov 1991,26.86306,25.95231,26.37892,28.26431
4.5,0000 1 Nov 1991,27.18056,26.30368,26.92587,28.22349
5.5,0000 1 Nov 1991,27.48016,25.5921,27.0957,28.33693
6.5,0000 1 Nov 1991,27.50323,24.26118,26.73276,28.44977
7.5,0000 1 Nov 1991,27.05909,22.76499,25.87043,28.36872
8.5,0000 1 Nov 1991,26.42763,21.57319,24.99292,28.13989
9.5,0000 1 Nov 1991,25.92799,20.75489,24.37968,27.90424
10.5,0000 1 Nov 1991,25.76124,20.45088,24.1988,27.83191
1.5,0000 1 Dec 1991,27.12154,24.53159,26.02895,28.67954
2.5,0000 1 Dec 1991,27.00274,25.6769,26.42029,28.36251
3.5,0000 1 Dec 1991,27.21918,26.09079,26.92696,28.23524
4.5,0000 1 Dec 1991,27.43719,25.45455,27.03557,28.23799
5.5,0000 1 Dec 1991,27.33642,24.15675,26.56616,28.26057
6.5,0000 1 Dec 1991,26.79493,22.65309,25.6271,28.11978
7.5,0000 1 Dec 1991,26.12171,21.40603,24.72509,27.8423
8.5,0000 1 Dec 1991,25.62333,20.50899,24.10199,27.57093
9.5,0000 1 Dec 1991,25.43184,20.19427,23.87954,27.44405
10.5,0000 1 Dec 1991,25.43405,20.41237,23.90629,27.42372
1.5,0000 1 Jan 1992,27.51002,25.88357,26.83059,28.70401
2.5,0000 1 Jan 1992,27.6341,26.5423,27.30296,28.59409
3.5,0000 1 Jan 1992,27.82956,26.15355,27.44654,28.57832
4.5,0000 1 Jan 1992,27.73063,25.05485,27.0155,28.55371
5.5,0000 1 Jan 1992,27.15148,23.52652,26.03588,28.37561
6.5,0000 1 Jan 1992,26.38762,22.18022,25.04748,28.04768
7.5,0000 1 Jan 1992,25.83589,21.15189,24.40492,27.73243
8.5,0000 1 Jan 1992,25.62694,20.70269,24.19342,27.56928
9.5,0000 1 Jan 1992,25.64771,20.79943,24.24245,27.5105
10.5,0000 1 Jan 1992,25.60669,21.40168,24.30292,27.36908
1.5,0000 1 Feb 1992,27.73934,26.41243,27.48648,28.39413
2.5,0000 1 Feb 1992,27.69578,25.94638,27.44319,28.23181
3.5,0000 1 Feb 1992,27.28246,24.75745,26.73771,27.99717
4.5,0000 1 Feb 1992,26.49406,23.18262,25.57786,27.64058
5.5,0000 1 Feb 1992,25.67112,21.69614,24.49416,27.20452
6.5,0000 1 Feb 1992,25.21221,20.60182,23.8692,26.94574
7.5,0000 1 Feb 1992,25.06829,20.08467,23.62224,26.8651
8.5,0000 1 Feb 1992,25.0073,20.20873,23.60172,26.83721
9.5,0000 1 Feb 1992,24.86177,20.80397,23.5865,26.67307
10.5,0000 1 Feb 1992,24.64361,21.92498,23.64877,26.3952
1.5,0000 1 Mar 1992,28.0726,26.1373,27.70556,28.65935
2.5,0000 1 Mar 1992,27.7161,24.85374,27.06663,28.55974
3.5,0000 1 Mar 1992,26.96326,23.25722,25.93573,28.25268
4.5,0000 1 Mar 1992,26.1244,21.80428,24.85054,27.80969
5.5,0000 1 Mar 1992,25.60559,20.72753,24.18631,27.44778
6.5,0000 1 Mar 1992,25.46419,20.24564,23.95499,27.31251
7.5,0000 1 Mar 1992,25.47154,20.3594,23.98303,27.27694
8.5,0000 1 Mar 1992,25.38884,20.9648,24.02491,27.14868
9.5,0000 1 Mar 1992,25.15958,22.02427,24.05335,26.86555
10.5,0000 1 Mar 1992,24.98394,23.48184,24.30811,26.58669
1.5,0000 1 Apr 1992,28.18464,25.74678,27.50974,29.00706
2.5,0000 1 Apr 1992,27.53859,24.11469,26.58143,28.74597
3.5,0000 1 Apr 1992,26.71574,22.64322,25.54098,28.33607
4.5,0000 1 Apr 1992,26.20215,21.61197,24.89347,28.01565
5.5,0000 1 Apr 1992,26.10549,21.15643,24.69982,27.96238
6.5,0000 1 Apr 1992,26.252,21.24863,24.80546,28.06198
7.5,0000 1 Apr 1992,26.28781,21.84162,24.92133,28.04881
8.5,0000 1 Apr 1992,26.1602,22.91481,25.03685,27.82936
9.5,0000 1 Apr 1992,25.99114,24.25911,25.21502,27.55028
10.5,0000 1 Apr 1992,26.03362,25.32102,25.60638,27.41204
1.5,0000 1 May 1992,27.55379,24.24052,26.70957,28.66886
2.5,0000 1 May 1992,26.67171,22.70771,25.56738,28.2301
3.5,0000 1 May 1992,26.14687,21.56682,24.85356,27.8964
4.5,0000 1 May 1992,26.10634,21.10047,24.69233,27.88657
5.5,0000 1 May 1992,26.20836,21.25519,24.75838,28.00591
6.5,0000 1 May 1992,26.20871,21.8448,24.84685,27.98481
7.5,0000 1 May 1992,26.06274,22.86748,24.93697,27.76193
8.5,0000 1 May 1992,25.89345,24.18486,25.14058,27.4784
9.5,0000 1 May 1992,25.96452,25.33235,25.57198,27.37329
10.5,0000 1 May 1992,26.32736,25.55087,26.09738,27.49208
1.5,0000 1 Jun 1992,26.69714,22.36007,25.51719,28.1678
2.5,0000 1 Jun 1992,26.01452,21.27771,24.68121,27.80708
3.5,0000 1 Jun 1992,25.83095,20.832,24.4131,27.68431
4.5,0000 1 Jun 1992,25.84623,20.95874,24.42186,27.68879
5.5,0000 1 Jun 1992,25.74873,21.56307,24.44945,27.54931
6.5,0000 1 Jun 1992,25.53894,22.55583,24.4756,27.25665
7.5,0000 1 Jun 1992,25.37564,23.86125,24.68043,26.95055
8.5,0000 1 Jun 1992,25.51133,25.06713,25.16661,26.8757
9.5,0000 1 Jun 1992,25.91825,25.37013,25.71705,27.06413
10.5,0000 1 Jun 1992,26.30024,24.47629,25.88442,27.35988
1.5,0000 1 Jul 1992,26.21709,21.43055,24.79976,27.91568
2.5,0000 1 Jul 1992,25.89381,21.0633,24.50396,27.74731
3.5,0000 1 Jul 1992,25.91118,21.14596,24.52169,27.78468
4.5,0000 1 Jul 1992,25.86078,21.70607,24.54652,27.70896
5.5,0000 1 Jul 1992,25.67595,22.69903,24.57332,27.4562
6.5,0000 1 Jul 1992,25.53777,24.09293,24.78287,27.1785
7.5,0000 1 Jul 1992,25.68865,25.30404,25.27403,27.07473
8.5,0000 1 Jul 1992,26.14407,25.525,25.88406,27.24043
9.5,0000 1 Jul 1992,26.56805,24.55356,26.09737,27.53017
10.5,0000 1 Jul 1992,26.68561,23.08178,25.82259,27.73755
1.5,0000 1 Aug 1992,25.90677,20.79078,24.29228,27.90513
2.5,0000 1 Aug 1992,25.6876,20.90403,24.19743,27.66135
3.5,0000 1 Aug 1992,25.51303,21.43935,24.16037,27.45939
4.5,0000 1 Aug 1992,25.27109,22.42981,24.16668,27.12039
5.5,0000 1 Aug 1992,25.11321,23.84842,24.41195,26.8021
6.5,0000 1 Aug 1992,25.26538,25.06475,24.91445,26.70347
7.5,0000 1 Aug 1992,25.73805,25.28228,25.50907,26.89746
8.5,0000 1 Aug 1992,26.22992,24.29103,25.73862,27.23404
9.5,0000 1 Aug 1992,26.41731,22.87222,25.55621,27.45831
10.5,0000 1 Aug 1992,26.19407,21.65418,24.95736,27.46342
1.5,0000 1 Sep 1992,26.08664,21.05902,24.53449,27.96905
2.5,0000 1 Sep 1992,25.82436,21.56427,24.39141,27.70211
3.5,0000 1 Sep 1992,25.55088,22.50703,24.3567,27.40206
4.5,0000 1 Sep 1992,25.36176,23.92063,24.60319,27.03511
5.5,0000 1 Sep 1992,25.53446,25.17814,25.1771,26.93064
6.5,0000 1 Sep 1992,26.00993,25.44475,25.81482,27.134
7.5,0000 1 Sep 1992,26.48898,24.49832,26.06075,27.49932
8.5,0000 1 Sep 1992,26.65149,23.05261,25.82013,27.74268
9.5,0000 1 Sep 1992,26.39367,21.77659,25.15795,27.74618
10.5,0000 1 Sep 1992,25.94653,20.88603,24.49097,27.57913
1.5,0000 1 Oct 1992,26.12062,22.05632,24.75811,27.98443
2.5,0000 1 Oct 1992,25.87093,23.04212,24.74861,27.67384
3.5,0000 1 Oct 1992,25.73069,24.42785,25.02355,27.32855
4.5,0000 1 Oct 1992,25.92124,25.57164,25.60218,27.19652
5.5,0000 1 Oct 1992,26.38904,25.70671,26.20078,27.36151
6.5,0000 1 Oct 1992,26.78822,24.66686,26.37678,27.66442
7.5,0000 1 Oct 1992,26.8643,23.15548,26.04461,27.85975
8.5,0000 1 Oct 1992,26.49426,21.7878,25.29776,27.79964
9.5,0000 1 Oct 1992,25.97025,20.83097,24.57211,27.56373
10.5,0000 1 Oct 1992,25.55508,20.17562,24.062,27.32969
1.5,0000 1 Nov 1992,25.87114,23.13327,24.81765,27.7921
2.5,0000 1 Nov 1992,25.75375,24.35209,25.08657,27.43821
3.5,0000 1 Nov 1992,25.91433,25.45502,25.62654,27.27306
4.5,0000 1 Nov 1992,26.36782,25.57744,26.1944,27.41704
5.5,0000 1 Nov 1992,26.77974,24.56752,26.34385,27.70973
6.5,0000 1 Nov 1992,26.85848,23.01096,25.98857,27.9088
7.5,0000 1 Nov 1992,26.5021,21.66944,25.24614,27.8531
8.5,0000 1 Nov 1992,25.96843,20.74406,24.51088,27.63678
9.5,0000 1 Nov 1992,25.53442,20.12138,23.98497,27.42197
10.5,0000 1 Nov 1992,25.36245,19.93332,23.81304,27.33283
1.5,0000 1 Dec 1992,25.82332,24.06708,24.9278,27.69362
2.5,0000 1 Dec 1992,25.91346,25.25527,25.5074,27.46059
3.5,0000 1 Dec 1992,26.37568,25.49925,26.15381,27.52396
4.5,0000 1 Dec 1992,26.80569,24.55031,26.33737,27.74596
5.5,0000 1 Dec 1992,26.85801,23.02583,25.96527,27.89038
6.5,0000 1 Dec 1992,26.44042,21.63466,25.16827,27.80478
7.5,0000 1 Dec 1992,25.88555,20.66773,24.39532,27.56841
8.5,0000 1 Dec 1992,25.45776,20.02237,23.8829,27.34478
9.5,0000 1 Dec 1992,25.28631,19.80452,23.69123,27.26068
10.5,0000 1 Dec 1992,25.26136,20.09001,23.72181,27.24471
1.5,0000 1 Jan 1993,26.42979,25.87222,26.03742,27.84164
2.5,0000 1 Jan 1993,26.90521,26.26151,26.74991,27.81474
