M,L,MON,LDC_SST_GFDL_SPEAR
1,1.5,0000 1 Jan 1991,26.32844
2,1.5,0000 1 Jan 1991,26.73306
3,1.5,0000 1 Jan 1991,26.4587
4,1.5,0000 1 Jan 1991,26.74186
5,1.5,0000 1 Jan 1991,26.62932
6,1.5,0000 1 Jan 1991,26.48868
7,1.5,0000 1 Jan 1991,26.61295
8,1.5,0000 1 Jan 1991,26.48512
9,1.5,0000 1 Jan 1991,26.50566
10,1.5,0000 1 Jan 1991,26.62258
11,1.5,0000 1 Jan 1991,26.51415
12,1.5,0000 1 Jan 1991,26.68874
13,1.5,0000 1 Jan 1991,26.52237
14,1.5,0000 1 Jan 1991,26.5379
15,1.5,0000 1 Jan 1991,26.50107
1,2.5,0000 1 Jan 1991,26.61297
2,2.5,0000 1 Jan 1991,27.22287
3,2.5,0000 1 Jan 1991,26.77135
4,2.5,0000 1 Jan 1991,27.1272
5,2.5,0000 1 Jan 1991,27.01031
6,2.5,0000 1 Jan 1991,26.80198
7,2.5,0000 1 Jan 1991,26.89299
8,2.5,0000 1 Jan 1991,26.87634
9,2.5,0000 1 Jan 1991,26.88497
10,2.5,0000 1 Jan 1991,26.89305
11,2.5,0000 1 Jan 1991,26.87947
12,2.5,0000 1 Jan 1991,27.0151
13,2.5,0000 1 Jan 1991,26.84387
14,2.5,0000 1 Jan 1991,26.94295
15,2.5,0000 1 Jan 1991,26.88018
1,3.5,0000 1 Jan 1991,26.90689
2,3.5,0000 1 Jan 1991,27.70287
3,3.5,0000 1 Jan 1991,27.24872
4,3.5,0000 1 Jan 1991,27.45929
5,3.5,0000 1 Jan 1991,27.3611
6,3.5,0000 1 Jan 1991,27.09584
7,3.5,0000 1 Jan 1991,27.20305
8,3.5,0000 1 Jan 1991,27.20844
9,3.5,0000 1 Jan 1991,27.29484
10,3.5,0000 1 Jan 1991,27.28451
11,3.5,0000 1 Jan 1991,27.20139
12,3.5,0000 1 Jan 1991,27.3474
13,3.5,0000 1 Jan 1991,27.25583
14,3.5,0000 1 Jan 1991,27.38882
15,3.5,0000 1 Jan 1991,27.22387
1,4.5,0000 1 Jan 1991,26.99631
2,4.5,0000 1 Jan 1991,27.817
3,4.5,0000 1 Jan 1991,27.49818
4,4.5,0000 1 Jan 1991,27.37944
5,4.5,0000 1 Jan 1991,27.40816
6,4.5,0000 1 Jan 1991,27.03297
7,4.5,0000 1 Jan 1991,27.27816
8,4.5,0000 1 Jan 1991,27.2261
9,4.5,0000 1 Jan 1991,27.43779
10,4.5,0000 1 Jan 1991,27.46602
11,4.5,0000 1 Jan 1991,27.11454
12,4.5,0000 1 Jan 1991,27.36978
13,4.5,0000 1 Jan 1991,27.32855
14,4.5,0000 1 Jan 1991,27.47433
15,4.5,0000 1 Jan 1991,27.23197
1,5.5,0000 1 Jan 1991,26.6426
2,5.5,0000 1 Jan 1991,27.44007
3,5.5,0000 1 Jan 1991,27.33216
4,5.5,0000 1 Jan 1991,26.92846
5,5.5,0000 1 Jan 1991,27.10969
6,5.5,0000 1 Jan 1991,26.57569
7,5.5,0000 1 Jan 1991,26.98771
8,5.5,0000 1 Jan 1991,26.73146
9,5.5,0000 1 Jan 1991,27.10601
10,5.5,0000 1 Jan 1991,27.39355
11,5.5,0000 1 Jan 1991,26.5698
12,5.5,0000 1 Jan 1991,27.08303
13,5.5,0000 1 Jan 1991,26.99966
14,5.5,0000 1 Jan 1991,27.16125
15,5.5,0000 1 Jan 1991,26.84756
1,6.5,0000 1 Jan 1991,26.09093
2,6.5,0000 1 Jan 1991,26.85734
3,6.5,0000 1 Jan 1991,26.93295
4,6.5,0000 1 Jan 1991,26.38609
5,6.5,0000 1 Jan 1991,26.56591
6,6.5,0000 1 Jan 1991,26.12169
7,6.5,0000 1 Jan 1991,26.5218
8,6.5,0000 1 Jan 1991,26.16224
9,6.5,0000 1 Jan 1991,26.36409
10,6.5,0000 1 Jan 1991,27.09017
11,6.5,0000 1 Jan 1991,25.94855
12,6.5,0000 1 Jan 1991,26.60459
13,6.5,0000 1 Jan 1991,26.46167
14,6.5,0000 1 Jan 1991,26.5992
15,6.5,0000 1 Jan 1991,26.30277
1,7.5,0000 1 Jan 1991,25.49033
2,7.5,0000 1 Jan 1991,26.34469
3,7.5,0000 1 Jan 1991,26.7084
4,7.5,0000 1 Jan 1991,25.99676
5,7.5,0000 1 Jan 1991,26.09916
6,7.5,0000 1 Jan 1991,25.78481
7,7.5,0000 1 Jan 1991,26.18002
8,7.5,0000 1 Jan 1991,25.66862
9,7.5,0000 1 Jan 1991,25.64592
10,7.5,0000 1 Jan 1991,26.92733
11,7.5,0000 1 Jan 1991,25.50327
12,7.5,0000 1 Jan 1991,26.26869
13,7.5,0000 1 Jan 1991,26.02319
14,7.5,0000 1 Jan 1991,26.13427
15,7.5,0000 1 Jan 1991,25.92769
1,8.5,0000 1 Jan 1991,25.1385
2,8.5,0000 1 Jan 1991,26.14389
3,8.5,0000 1 Jan 1991,26.83916
4,8.5,0000 1 Jan 1991,25.91578
5,8.5,0000 1 Jan 1991,25.995
6,8.5,0000 1 Jan 1991,25.6638
7,8.5,0000 1 Jan 1991,26.03106
8,8.5,0000 1 Jan 1991,25.43296
9,8.5,0000 1 Jan 1991,25.18613
10,8.5,0000 1 Jan 1991,27.09144
11,8.5,0000 1 Jan 1991,25.3248
12,8.5,0000 1 Jan 1991,26.12262
13,8.5,0000 1 Jan 1991,25.81491
14,8.5,0000 1 Jan 1991,25.95066
15,8.5,0000 1 Jan 1991,25.82957
1,9.5,0000 1 Jan 1991,25.11684
2,9.5,0000 1 Jan 1991,26.16401
3,9.5,0000 1 Jan 1991,27.30007
4,9.5,0000 1 Jan 1991,25.95731
5,9.5,0000 1 Jan 1991,26.15905
6,9.5,0000 1 Jan 1991,25.66064
7,9.5,0000 1 Jan 1991,26.11322
8,9.5,0000 1 Jan 1991,25.33525
9,9.5,0000 1 Jan 1991,25.14985
10,9.5,0000 1 Jan 1991,27.57135
11,9.5,0000 1 Jan 1991,25.27481
12,9.5,0000 1 Jan 1991,26.20148
13,9.5,0000 1 Jan 1991,25.80674
14,9.5,0000 1 Jan 1991,26.00507
15,9.5,0000 1 Jan 1991,25.97176
1,10.5,0000 1 Jan 1991,25.23846
2,10.5,0000 1 Jan 1991,26.22827
3,10.5,0000 1 Jan 1991,27.70945
4,10.5,0000 1 Jan 1991,25.93133
5,10.5,0000 1 Jan 1991,26.34284
6,10.5,0000 1 Jan 1991,25.71302
7,10.5,0000 1 Jan 1991,26.11678
8,10.5,0000 1 Jan 1991,25.21921
9,10.5,0000 1 Jan 1991,25.18046
10,10.5,0000 1 Jan 1991,27.95146
11,10.5,0000 1 Jan 1991,25.27836
12,10.5,0000 1 Jan 1991,26.21893
13,10.5,0000 1 Jan 1991,25.83448
14,10.5,0000 1 Jan 1991,25.96324
15,10.5,0000 1 Jan 1991,26.00208
1,1.5,0000 1 Feb 1991,27.06537
2,1.5,0000 1 Feb 1991,27.06665
3,1.5,0000 1 Feb 1991,27.20963
4,1.5,0000 1 Feb 1991,27.17316
5,1.5,0000 1 Feb 1991,27.11688
6,1.5,0000 1 Feb 1991,27.28676
7,1.5,0000 1 Feb 1991,26.97759
8,1.5,0000 1 Feb 1991,27.0576
9,1.5,0000 1 Feb 1991,27.0911
10,1.5,0000 1 Feb 1991,27.29077
11,1.5,0000 1 Feb 1991,27.16945
12,1.5,0000 1 Feb 1991,27.30032
13,1.5,0000 1 Feb 1991,27.17006
14,1.5,0000 1 Feb 1991,26.95817
15,1.5,0000 1 Feb 1991,27.25968
1,2.5,0000 1 Feb 1991,27.3369
2,2.5,0000 1 Feb 1991,27.35849
3,2.5,0000 1 Feb 1991,27.59953
4,2.5,0000 1 Feb 1991,27.46076
5,2.5,0000 1 Feb 1991,27.39401
6,2.5,0000 1 Feb 1991,27.58205
7,2.5,0000 1 Feb 1991,27.2267
8,2.5,0000 1 Feb 1991,27.27147
9,2.5,0000 1 Feb 1991,27.31493
10,2.5,0000 1 Feb 1991,27.58068
11,2.5,0000 1 Feb 1991,27.55183
12,2.5,0000 1 Feb 1991,27.64053
13,2.5,0000 1 Feb 1991,27.47817
14,2.5,0000 1 Feb 1991,27.22176
15,2.5,0000 1 Feb 1991,27.59814
1,3.5,0000 1 Feb 1991,27.28472
2,3.5,0000 1 Feb 1991,27.36512
3,3.5,0000 1 Feb 1991,27.60346
4,3.5,0000 1 Feb 1991,27.34253
5,3.5,0000 1 Feb 1991,27.41374
6,3.5,0000 1 Feb 1991,27.42747
7,3.5,0000 1 Feb 1991,27.28941
8,3.5,0000 1 Feb 1991,27.19157
9,3.5,0000 1 Feb 1991,27.26413
10,3.5,0000 1 Feb 1991,27.45064
11,3.5,0000 1 Feb 1991,27.54439
12,3.5,0000 1 Feb 1991,27.66427
13,3.5,0000 1 Feb 1991,27.44392
