L,Start Month,Target Season,SST_GFDL_SPEAR
1.5,Jan,JFM,26.73096
2.5,Jan,FMA,27.14719
3.5,Jan,MAM,27.52304
4.5,Jan,AMJ,27.58538
5.5,Jan,MJJ,27.22283
6.5,Jan,JJA,26.67732
7.5,Jan,JAS,26.24591
8.5,Jan,ASO,26.07619
9.5,Jan,SON,26.0842
10.5,Jan,OND,26.06192
1.5,Feb,FMA,27.21934
2.5,Feb,MAM,27.58944
3.5,Feb,AMJ,27.62995
4.5,Feb,MJJ,27.23773
5.5,Feb,JJA,26.67064
6.5,Feb,JAS,26.23035
7.5,Feb,ASO,26.06001
8.5,Feb,SON,26.06498
9.5,Feb,OND,26.03939
10.5,Feb,NDJ,25.94028
1.5,Mar,MAM,27.70002
2.5,Mar,AMJ,27.76435
3.5,Mar,MJJ,27.35406
4.5,Mar,JJA,26.75906
5.5,Mar,JAS,26.3024
6.5,Mar,ASO,26.12882
7.5,Mar,SON,26.14095
8.5,Mar,OND,26.12058
9.5,Mar,NDJ,26.01904
10.5,Mar,DJF,25.97493
1.5,Apr,AMJ,27.77826
2.5,Apr,MJJ,27.40988
3.5,Apr,JJA,26.82953
4.5,Apr,JAS,26.37714
5.5,Apr,ASO,26.20882
6.5,Apr,SON,26.22151
7.5,Apr,OND,26.19946
8.5,Apr,NDJ,26.09437
9.5,Apr,DJF,26.04509
10.5,Apr,JFM,26.24885
1.5,May,MJJ,27.45836
2.5,May,JJA,26.93142
3.5,May,JAS,26.47125
4.5,May,ASO,26.27868
5.5,May,SON,26.27543
6.5,May,OND,26.25207
7.5,May,NDJ,26.14159
8.5,May,DJF,26.07949
9.5,May,JFM,26.27156
10.5,May,FMA,26.73432
1.5,Jun,JJA,26.97469
2.5,Jun,JAS,26.4962
3.5,Jun,ASO,26.26175
4.5,Jun,SON,26.2342
5.5,Jun,OND,26.18703
6.5,Jun,NDJ,26.06185
7.5,Jun,DJF,26.00406
8.5,Jun,JFM,26.20671
9.5,Jun,FMA,26.68898
10.5,Jun,MAM,27.14848
1.5,Jul,JAS,26.67118
2.5,Jul,ASO,26.39679
3.5,Jul,SON,26.33556
4.5,Jul,OND,26.29006
5.5,Jul,NDJ,26.15324
6.5,Jul,DJF,26.08096
7.5,Jul,JFM,26.27014
8.5,Jul,FMA,26.73601
9.5,Jul,MAM,27.18725
10.5,Jul,AMJ,27.33021
1.5,Aug,ASO,26.59793
2.5,Aug,SON,26.49556
3.5,Aug,OND,26.42144
4.5,Aug,NDJ,26.28443
5.5,Aug,DJF,26.19856
6.5,Aug,JFM,26.36081
7.5,Aug,FMA,26.80535
8.5,Aug,MAM,27.24371
9.5,Aug,AMJ,27.38062
10.5,Aug,MJJ,27.06322
1.5,Sep,SON,26.69006
2.5,Sep,OND,26.5943
3.5,Sep,NDJ,26.41802
4.5,Sep,DJF,26.30225
5.5,Sep,JFM,26.4426
6.5,Sep,FMA,26.86731
7.5,Sep,MAM,27.28446
8.5,Sep,AMJ,27.40414
9.5,Sep,MJJ,27.08208
10.5,Sep,JJA,26.55108
1.5,Oct,OND,26.6612
2.5,Oct,NDJ,26.48113
3.5,Oct,DJF,26.34894
4.5,Oct,JFM,26.48945
5.5,Oct,FMA,26.91324
6.5,Oct,MAM,27.32079
7.5,Oct,AMJ,27.43398
8.5,Oct,MJJ,27.10479
9.5,Oct,JJA,26.56586
10.5,Oct,JAS,26.11597
1.5,Nov,NDJ,26.54086
2.5,Nov,DJF,26.42329
3.5,Nov,JFM,26.54895
4.5,Nov,FMA,26.96706
5.5,Nov,MAM,27.36787
6.5,Nov,AMJ,27.47693
7.5,Nov,MJJ,27.13994
8.5,Nov,JJA,26.59278
9.5,Nov,JAS,26.14225
10.5,Nov,ASO,25.94933
1.5,Dec,DJF,26.47612
2.5,Dec,JFM,26.6348
3.5,Dec,FMA,27.0473
4.5,Dec,MAM,27.4325
5.5,Dec,AMJ,27.50471
6.5,Dec,MJJ,27.13952
7.5,Dec,JJA,26.58239
8.5,Dec,JAS,26.13566
9.5,Dec,ASO,25.94629
10.5,Dec,SON,25.93356
