L,MON,LDC_SST_NASA_GEOSS2S,LDC_SST_NASA_GEOSS2S_ONETWO,LDC_SST_NASA_GEOSS2S_THREE,LDC_SST_NASA_GEOSS2S_FOUR
1.5,0000 1 Jan 1991,26.67102,24.70679,25.79249,28.64278
2.5,0000 1 Jan 1991,26.71987,24.48192,25.98773,28.53891
3.5,0000 1 Jan 1991,26.87153,23.2003,25.90366,28.5553
4.5,0000 1 Jan 1991,26.94325,21.50174,25.53458,28.59156
5.5,0000 1 Jan 1991,26.80483,20.33168,25.04786,28.49186
6.5,0000 1 Jan 1991,26.55753,19.55832,24.50538,28.36766
7.5,0000 1 Jan 1991,26.33012,19.21351,24.07669,28.35562
1.5,0000 1 Feb 1991,27.58711,26.56273,27.19348,29.07282
2.5,0000 1 Feb 1991,28.11021,25.47311,27.46786,29.48812
3.5,0000 1 Feb 1991,28.40389,23.52421,27.23224,29.83534
4.5,0000 1 Feb 1991,28.29128,21.83619,26.62035,29.96182
5.5,0000 1 Feb 1991,27.83051,20.81009,25.88068,29.80425
6.5,0000 1 Feb 1991,27.42908,20.32509,25.35455,29.62809
7.5,0000 1 Feb 1991,27.39632,20.18192,25.23508,29.65204
1.5,0000 1 Mar 1991,27.84187,25.00112,27.1945,29.08711
2.5,0000 1 Mar 1991,28.02551,23.16341,26.87974,29.38574
3.5,0000 1 Mar 1991,27.79006,21.43943,26.16178,29.39771
4.5,0000 1 Mar 1991,27.35291,20.41826,25.41172,29.29749
5.5,0000 1 Mar 1991,26.98349,19.95065,24.88312,29.20437
6.5,0000 1 Mar 1991,26.98618,20.05135,24.85126,29.33188
7.5,0000 1 Mar 1991,27.29987,20.61022,25.19955,29.58358
1.5,0000 1 Apr 1991,27.91402,23.47766,26.88048,29.26919
2.5,0000 1 Apr 1991,27.81774,21.84736,26.38094,29.36131
3.5,0000 1 Apr 1991,27.46582,20.71188,25.68331,29.24658
4.5,0000 1 Apr 1991,27.12564,20.04701,25.14259,29.14817
5.5,0000 1 Apr 1991,27.10062,19.81712,24.97128,29.23696
6.5,0000 1 Apr 1991,27.37056,20.07633,25.23876,29.48746
7.5,0000 1 Apr 1991,27.68485,20.84615,25.63311,29.69161
1.5,0000 1 May 1991,28.02165,21.79273,26.67709,29.26113
2.5,0000 1 May 1991,27.59964,20.50392,25.78363,29.24767
3.5,0000 1 May 1991,27.13441,19.6288,25.01434,29.16702
4.5,0000 1 May 1991,26.90784,19.23884,24.56511,29.17827
5.5,0000 1 May 1991,26.97594,19.32438,24.62655,29.26857
6.5,0000 1 May 1991,27.03018,19.8804,24.80294,29.32642
7.5,0000 1 May 1991,26.88144,20.83097,24.94841,29.20712
1.5,0000 1 Jun 1991,27.92466,21.93992,26.51235,29.39866
2.5,0000 1 Jun 1991,27.89625,20.93625,26.21914,29.53069
3.5,0000 1 Jun 1991,28.11767,20.75853,26.27198,29.75048
4.5,0000 1 Jun 1991,28.61176,21.27361,26.70766,30.04948
5.5,0000 1 Jun 1991,29.10109,22.2166,27.20928,30.24101
