M,L,MON,LDC_SST_NASA_GEOSS2S
1,1.5,0000 1 Jan 1991,26.55352
2,1.5,0000 1 Jan 1991,26.56203
3,1.5,0000 1 Jan 1991,26.79231
4,1.5,0000 1 Jan 1991,26.77621
1,2.5,0000 1 Jan 1991,26.79951
2,2.5,0000 1 Jan 1991,26.4739
3,2.5,0000 1 Jan 1991,26.81801
4,2.5,0000 1 Jan 1991,26.78804
1,3.5,0000 1 Jan 1991,27.23084
2,3.5,0000 1 Jan 1991,26.51814
3,3.5,0000 1 Jan 1991,26.96058
4,3.5,0000 1 Jan 1991,26.77658
1,4.5,0000 1 Jan 1991,27.50185
2,4.5,0000 1 Jan 1991,26.5244
3,4.5,0000 1 Jan 1991,27.02076
4,4.5,0000 1 Jan 1991,26.72601
1,5.5,0000 1 Jan 1991,27.40559
2,5.5,0000 1 Jan 1991,26.37378
3,5.5,0000 1 Jan 1991,26.83701
4,5.5,0000 1 Jan 1991,26.60295
1,6.5,0000 1 Jan 1991,27.05116
2,6.5,0000 1 Jan 1991,26.14659
3,6.5,0000 1 Jan 1991,26.55563
4,6.5,0000 1 Jan 1991,26.47674
1,7.5,0000 1 Jan 1991,26.75897
2,7.5,0000 1 Jan 1991,25.77497
3,7.5,0000 1 Jan 1991,26.38696
4,7.5,0000 1 Jan 1991,26.3996
1,1.5,0000 1 Feb 1991,27.73153
2,1.5,0000 1 Feb 1991,27.48403
3,1.5,0000 1 Feb 1991,27.66003
4,1.5,0000 1 Feb 1991,27.47284
1,2.5,0000 1 Feb 1991,28.19309
2,2.5,0000 1 Feb 1991,28.0136
3,2.5,0000 1 Feb 1991,28.30526
4,2.5,0000 1 Feb 1991,27.92891
1,3.5,0000 1 Feb 1991,28.3399
2,3.5,0000 1 Feb 1991,28.37136
3,3.5,0000 1 Feb 1991,28.78014
4,3.5,0000 1 Feb 1991,28.12417
1,4.5,0000 1 Feb 1991,28.18836
2,4.5,0000 1 Feb 1991,28.32137
3,4.5,0000 1 Feb 1991,28.81901
4,4.5,0000 1 Feb 1991,27.83639
1,5.5,0000 1 Feb 1991,27.80414
2,5.5,0000 1 Feb 1991,27.83663
3,5.5,0000 1 Feb 1991,28.41253
4,5.5,0000 1 Feb 1991,27.26876
1,6.5,0000 1 Feb 1991,27.47581
2,6.5,0000 1 Feb 1991,27.41636
3,6.5,0000 1 Feb 1991,27.99864
4,6.5,0000 1 Feb 1991,26.82551
1,7.5,0000 1 Feb 1991,27.4366
2,7.5,0000 1 Feb 1991,27.39625
3,7.5,0000 1 Feb 1991,27.96368
4,7.5,0000 1 Feb 1991,26.78874
1,1.5,0000 1 Mar 1991,27.67742
2,1.5,0000 1 Mar 1991,28.01884
3,1.5,0000 1 Mar 1991,27.66893
4,1.5,0000 1 Mar 1991,28.0023
1,2.5,0000 1 Mar 1991,27.95575
2,2.5,0000 1 Mar 1991,28.30251
3,2.5,0000 1 Mar 1991,27.66114
4,2.5,0000 1 Mar 1991,28.18263
1,3.5,0000 1 Mar 1991,27.94419
2,3.5,0000 1 Mar 1991,27.93776
3,3.5,0000 1 Mar 1991,27.39544
4,3.5,0000 1 Mar 1991,27.88284
1,4.5,0000 1 Mar 1991,27.79479
2,4.5,0000 1 Mar 1991,27.14105
3,4.5,0000 1 Mar 1991,27.06455
4,4.5,0000 1 Mar 1991,27.41125
1,5.5,0000 1 Mar 1991,27.61175
2,5.5,0000 1 Mar 1991,26.44872
3,5.5,0000 1 Mar 1991,26.91967
4,5.5,0000 1 Mar 1991,26.95383
1,6.5,0000 1 Mar 1991,27.73427
2,6.5,0000 1 Mar 1991,26.31501
3,6.5,0000 1 Mar 1991,26.99853
4,6.5,0000 1 Mar 1991,26.89692
1,7.5,0000 1 Mar 1991,28.21488
2,7.5,0000 1 Mar 1991,26.4784
3,7.5,0000 1 Mar 1991,27.45228
4,7.5,0000 1 Mar 1991,27.05392
1,1.5,0000 1 Apr 1991,27.86408
2,1.5,0000 1 Apr 1991,27.92413
3,1.5,0000 1 Apr 1991,28.01317
4,1.5,0000 1 Apr 1991,27.85472
1,2.5,0000 1 Apr 1991,27.78107
2,2.5,0000 1 Apr 1991,27.82447
3,2.5,0000 1 Apr 1991,28.02209
4,2.5,0000 1 Apr 1991,27.64331
1,3.5,0000 1 Apr 1991,27.26753
2,3.5,0000 1 Apr 1991,27.40146
3,3.5,0000 1 Apr 1991,27.86488
4,3.5,0000 1 Apr 1991,27.32942
1,4.5,0000 1 Apr 1991,26.66738
2,4.5,0000 1 Apr 1991,27.03064
3,4.5,0000 1 Apr 1991,27.55683
4,4.5,0000 1 Apr 1991,27.24773
1,5.5,0000 1 Apr 1991,26.38388
2,5.5,0000 1 Apr 1991,27.02538
3,5.5,0000 1 Apr 1991,27.43091
4,5.5,0000 1 Apr 1991,27.5623
1,6.5,0000 1 Apr 1991,26.51598
2,6.5,0000 1 Apr 1991,27.28608
3,6.5,0000 1 Apr 1991,27.44795
4,6.5,0000 1 Apr 1991,28.23225
1,7.5,0000 1 Apr 1991,26.6713
2,7.5,0000 1 Apr 1991,27.60812
3,7.5,0000 1 Apr 1991,27.60218
4,7.5,0000 1 Apr 1991,28.85781
1,1.5,0000 1 May 1991,28.13261
2,1.5,0000 1 May 1991,27.89652
3,1.5,0000 1 May 1991,28.21848
4,1.5,0000 1 May 1991,27.83898
1,2.5,0000 1 May 1991,27.82303
2,2.5,0000 1 May 1991,27.34101
3,2.5,0000 1 May 1991,27.93269
4,2.5,0000 1 May 1991,27.30184
1,3.5,0000 1 May 1991,27.54446
2,3.5,0000 1 May 1991,26.83606
3,3.5,0000 1 May 1991,27.47371
4,3.5,0000 1 May 1991,26.68342
1,4.5,0000 1 May 1991,27.48406
2,4.5,0000 1 May 1991,26.65107
3,4.5,0000 1 May 1991,27.19823
4,4.5,0000 1 May 1991,26.29799
1,5.5,0000 1 May 1991,27.79164
2,5.5,0000 1 May 1991,26.7773
3,5.5,0000 1 May 1991,27.1977
4,5.5,0000 1 May 1991,26.1371
1,6.5,0000 1 May 1991,28.10727
2,6.5,0000 1 May 1991,26.76087
3,6.5,0000 1 May 1991,27.1917
4,6.5,0000 1 May 1991,26.06089
1,7.5,0000 1 May 1991,28.36185
2,7.5,0000 1 May 1991,26.30695
3,7.5,0000 1 May 1991,26.95179
4,7.5,0000 1 May 1991,25.90516
1,1.5,0000 1 Jun 1991,27.88035
2,1.5,0000 1 Jun 1991,27.87076
3,1.5,0000 1 Jun 1991,27.7867
4,1.5,0000 1 Jun 1991,28.16084
1,2.5,0000 1 Jun 1991,27.96962
2,2.5,0000 1 Jun 1991,27.78892
3,2.5,0000 1 Jun 1991,27.76679
4,2.5,0000 1 Jun 1991,28.05966
1,3.5,0000 1 Jun 1991,28.32932
2,3.5,0000 1 Jun 1991,28.03399
3,3.5,0000 1 Jun 1991,28.02993
4,3.5,0000 1 Jun 1991,28.07743
1,4.5,0000 1 Jun 1991,28.85958
