L,MON,LDC_SST_NASA_GEOSS2S
1.5,0000 1 Jan 1991,26.67102
2.5,0000 1 Jan 1991,26.71987
3.5,0000 1 Jan 1991,26.87153
4.5,0000 1 Jan 1991,26.94325
5.5,0000 1 Jan 1991,26.80483
6.5,0000 1 Jan 1991,26.55753
7.5,0000 1 Jan 1991,26.33012
1.5,0000 1 Feb 1991,27.58711
2.5,0000 1 Feb 1991,28.11021
3.5,0000 1 Feb 1991,28.40389
4.5,0000 1 Feb 1991,28.29128
5.5,0000 1 Feb 1991,27.83051
6.5,0000 1 Feb 1991,27.42908
7.5,0000 1 Feb 1991,27.39632
1.5,0000 1 Mar 1991,27.84187
2.5,0000 1 Mar 1991,28.02551
3.5,0000 1 Mar 1991,27.79006
4.5,0000 1 Mar 1991,27.35291
5.5,0000 1 Mar 1991,26.98349
6.5,0000 1 Mar 1991,26.98618
7.5,0000 1 Mar 1991,27.29987
1.5,0000 1 Apr 1991,27.91402
2.5,0000 1 Apr 1991,27.81774
3.5,0000 1 Apr 1991,27.46582
4.5,0000 1 Apr 1991,27.12564
5.5,0000 1 Apr 1991,27.10062
6.5,0000 1 Apr 1991,27.37056
7.5,0000 1 Apr 1991,27.68485
1.5,0000 1 May 1991,28.02165
2.5,0000 1 May 1991,27.59964
3.5,0000 1 May 1991,27.13441
4.5,0000 1 May 1991,26.90784
5.5,0000 1 May 1991,26.97594
6.5,0000 1 May 1991,27.03018
7.5,0000 1 May 1991,26.88144
1.5,0000 1 Jun 1991,27.92466
2.5,0000 1 Jun 1991,27.89625
3.5,0000 1 Jun 1991,28.11767
4.5,0000 1 Jun 1991,28.61176
5.5,0000 1 Jun 1991,29.10109
6.5,0000 1 Jun 1991,29.37455
7.5,0000 1 Jun 1991,29.28295
1.5,0000 1 Jul 1991,27.74185
2.5,0000 1 Jul 1991,27.87656
3.5,0000 1 Jul 1991,28.27799
4.5,0000 1 Jul 1991,28.64664
5.5,0000 1 Jul 1991,28.80666
6.5,0000 1 Jul 1991,28.75209
7.5,0000 1 Jul 1991,28.62004
1.5,0000 1 Aug 1991,27.30486
2.5,0000 1 Aug 1991,27.57394
3.5,0000 1 Aug 1991,28.05305
4.5,0000 1 Aug 1991,28.39034
5.5,0000 1 Aug 1991,28.48212
6.5,0000 1 Aug 1991,28.52725
7.5,0000 1 Aug 1991,28.71682
1.5,0000 1 Sep 1991,26.90568
2.5,0000 1 Sep 1991,27.15824
3.5,0000 1 Sep 1991,27.30861
4.5,0000 1 Sep 1991,27.26841
5.5,0000 1 Sep 1991,27.25248
6.5,0000 1 Sep 1991,27.35501
7.5,0000 1 Sep 1991,27.57455
1.5,0000 1 Oct 1991,27.18056
2.5,0000 1 Oct 1991,27.05138
3.5,0000 1 Oct 1991,26.7796
