L,MON,LDC_SST_NASA_GMAO_062012
1.5,0000 1 Jan 1991,26.70057
2.5,0000 1 Jan 1991,26.86274
3.5,0000 1 Jan 1991,27.17956
4.5,0000 1 Jan 1991,27.42447
5.5,0000 1 Jan 1991,27.38843
6.5,0000 1 Jan 1991,26.96932
7.5,0000 1 Jan 1991,26.39129
1.5,0000 1 Feb 1991,27.15622
2.5,0000 1 Feb 1991,27.4806
3.5,0000 1 Feb 1991,27.75684
4.5,0000 1 Feb 1991,27.71668
5.5,0000 1 Feb 1991,27.33192
6.5,0000 1 Feb 1991,26.79784
7.5,0000 1 Feb 1991,26.40675
1.5,0000 1 Mar 1991,27.73116
2.5,0000 1 Mar 1991,28.06837
3.5,0000 1 Mar 1991,28.07228
4.5,0000 1 Mar 1991,27.67784
5.5,0000 1 Mar 1991,27.08572
6.5,0000 1 Mar 1991,26.64365
7.5,0000 1 Mar 1991,26.46887
1.5,0000 1 Apr 1991,27.74706
2.5,0000 1 Apr 1991,27.68182
3.5,0000 1 Apr 1991,27.31563
4.5,0000 1 Apr 1991,26.82077
5.5,0000 1 Apr 1991,26.44938
6.5,0000 1 Apr 1991,26.28489
7.5,0000 1 Apr 1991,26.15261
1.5,0000 1 May 1991,27.752
2.5,0000 1 May 1991,27.31168
3.5,0000 1 May 1991,26.79461
4.5,0000 1 May 1991,26.4748
5.5,0000 1 May 1991,26.39733
6.5,0000 1 May 1991,26.34589
7.5,0000 1 May 1991,26.14491
1.5,0000 1 Jun 1991,27.33159
2.5,0000 1 Jun 1991,26.75736
3.5,0000 1 Jun 1991,26.37473
4.5,0000 1 Jun 1991,26.26047
5.5,0000 1 Jun 1991,26.19602
6.5,0000 1 Jun 1991,26.02413
7.5,0000 1 Jun 1991,25.83926
1.5,0000 1 Jul 1991,26.87737
2.5,0000 1 Jul 1991,26.44429
3.5,0000 1 Jul 1991,26.33511
4.5,0000 1 Jul 1991,26.32173
5.5,0000 1 Jul 1991,26.17864
6.5,0000 1 Jul 1991,25.97981
7.5,0000 1 Jul 1991,26.01331
1.5,0000 1 Aug 1991,26.60204
2.5,0000 1 Aug 1991,26.43855
3.5,0000 1 Aug 1991,26.4836
4.5,0000 1 Aug 1991,26.46378
5.5,0000 1 Aug 1991,26.40735
6.5,0000 1 Aug 1991,26.53185
7.5,0000 1 Aug 1991,26.90417
1.5,0000 1 Sep 1991,26.63511
2.5,0000 1 Sep 1991,26.58832
3.5,0000 1 Sep 1991,26.4736
4.5,0000 1 Sep 1991,26.31577
5.5,0000 1 Sep 1991,26.34949
6.5,0000 1 Sep 1991,26.70016
7.5,0000 1 Sep 1991,27.15869
1.5,0000 1 Oct 1991,27.20725
2.5,0000 1 Oct 1991,27.08317
3.5,0000 1 Oct 1991,26.94457
4.5,0000 1 Oct 1991,26.92965
5.5,0000 1 Oct 1991,27.1414
6.5,0000 1 Oct 1991,27.45845
7.5,0000 1 Oct 1991,27.6083
1.5,0000 1 Nov 1991,27.55019
2.5,0000 1 Nov 1991,27.44879
3.5,0000 1 Nov 1991,27.41889
4.5,0000 1 Nov 1991,27.56736
5.5,0000 1 Nov 1991,27.80575
6.5,0000 1 Nov 1991,27.84927
7.5,0000 1 Nov 1991,27.41772
1.5,0000 1 Dec 1991,28.15849
2.5,0000 1 Dec 1991,28.17567
3.5,0000 1 Dec 1991,28.21471
4.5,0000 1 Dec 1991,28.31274
5.5,0000 1 Dec 1991,28.2467
6.5,0000 1 Dec 1991,27.76072
7.5,0000 1 Dec 1991,26.84356
1.5,0000 1 Jan 1992,27.80967
2.5,0000 1 Jan 1992,27.91514
3.5,0000 1 Jan 1992,28.04397
4.5,0000 1 Jan 1992,27.99221
5.5,0000 1 Jan 1992,27.57386
6.5,0000 1 Jan 1992,26.77001
7.5,0000 1 Jan 1992,25.95194
1.5,0000 1 Feb 1992,28.54765
2.5,0000 1 Feb 1992,28.65334
3.5,0000 1 Feb 1992,28.49157
4.5,0000 1 Feb 1992,27.90143
5.5,0000 1 Feb 1992,26.92007
