L,MON,LDC_SST_NCEP_CFSv2,LDC_SST_NCEP_CFSv2_ONETWO,LDC_SST_NCEP_CFSv2_THREE,LDC_SST_NCEP_CFSv2_FOUR
1.5,0000 1 Jan 1991,26.82296,26.11494,26.10883,28.42231
2.5,0000 1 Jan 1991,27.03892,26.86177,26.66147,28.34857
3.5,0000 1 Jan 1991,27.53521,26.47297,27.11292,28.56705
4.5,0000 1 Jan 1991,27.87829,25.39688,27.09458,28.87816
5.5,0000 1 Jan 1991,27.67657,24.18736,26.522,28.92806
6.5,0000 1 Jan 1991,26.95565,23.40774,25.66435,28.58505
7.5,0000 1 Jan 1991,26.24177,22.97702,24.99197,28.13588
8.5,0000 1 Jan 1991,25.85725,22.85762,24.67532,27.87308
1.5,0000 1 Feb 1991,27.02749,26.2644,26.51273,28.37429
2.5,0000 1 Feb 1991,27.49152,25.93888,26.8725,28.6232
3.5,0000 1 Feb 1991,27.83826,25.08158,26.92679,28.94872
4.5,0000 1 Feb 1991,27.671,24.19367,26.52906,28.9824
5.5,0000 1 Feb 1991,27.00108,23.63959,25.80853,28.62476
6.5,0000 1 Feb 1991,26.33984,23.26466,25.17797,28.20234
7.5,0000 1 Feb 1991,26.00693,23.10689,24.89261,27.97771
8.5,0000 1 Feb 1991,26.10594,23.28748,24.93805,28.07278
1.5,0000 1 Mar 1991,27.78899,25.83096,27.20982,28.95656
2.5,0000 1 Mar 1991,28.21006,25.07146,27.28176,29.36983
3.5,0000 1 Mar 1991,28.07285,24.38743,26.90514,29.37953
4.5,0000 1 Mar 1991,27.458,23.96237,26.24106,28.9812
5.5,0000 1 Mar 1991,26.84438,23.53224,25.61663,28.54391
6.5,0000 1 Mar 1991,26.55887,23.28066,25.31852,28.36756
7.5,0000 1 Mar 1991,26.62771,23.47172,25.34164,28.45258
8.5,0000 1 Mar 1991,26.95367,24.08584,25.66605,28.61422
1.5,0000 1 Apr 1991,27.96662,24.50924,26.91662,29.35843
2.5,0000 1 Apr 1991,27.76292,23.84256,26.50603,29.29231
3.5,0000 1 Apr 1991,27.14705,23.38999,25.82891,28.89842
4.5,0000 1 Apr 1991,26.58775,23.03302,25.28543,28.49324
5.5,0000 1 Apr 1991,26.35222,22.88778,25.0606,28.33128
6.5,0000 1 Apr 1991,26.53725,23.21863,25.21265,28.44369
7.5,0000 1 Apr 1991,26.92728,23.96749,25.5788,28.64042
8.5,0000 1 Apr 1991,27.39193,25.12117,26.11958,28.7541
1.5,0000 1 May 1991,27.56317,23.60358,26.35182,28.99755
2.5,0000 1 May 1991,26.83714,23.01767,25.4593,28.60935
3.5,0000 1 May 1991,26.19415,22.59519,24.80512,28.16393
4.5,0000 1 May 1991,25.92484,22.55464,24.59729,27.94526
5.5,0000 1 May 1991,26.06976,22.98184,24.76776,28.05211
6.5,0000 1 May 1991,26.47541,23.77515,25.16817,28.37054
7.5,0000 1 May 1991,26.95986,24.92398,25.6973,28.63228
8.5,0000 1 May 1991,27.31956,26.24967,26.31913,28.65793
1.5,0000 1 Jun 1991,27.02602,23.217,25.68911,28.76606
2.5,0000 1 Jun 1991,26.35648,22.62088,24.87164,28.43328
3.5,0000 1 Jun 1991,26.02028,22.44581,24.53651,28.25032
4.5,0000 1 Jun 1991,26.11226,22.85979,24.66928,28.32542
5.5,0000 1 Jun 1991,26.52866,23.67467,25.09879,28.54444
6.5,0000 1 Jun 1991,27.05403,24.85943,25.70592,28.70845
7.5,0000 1 Jun 1991,27.44498,26.21253,26.39689,28.67116
8.5,0000 1 Jun 1991,27.63405,27.5057,27.0784,28.54181
1.5,0000 1 Jul 1991,26.49406,22.73805,25.03389,28.54511
2.5,0000 1 Jul 1991,25.99697,22.63759,24.55784,28.27809
3.5,0000 1 Jul 1991,26.0535,22.85669,24.65671,28.29999
4.5,0000 1 Jul 1991,26.51809,23.62604,25.09667,28.59697
5.5,0000 1 Jul 1991,27.06358,24.87848,25.71453,28.79573
6.5,0000 1 Jul 1991,27.49465,26.34329,26.41606,28.78598
7.5,0000 1 Jul 1991,27.724,27.60049,27.10299,28.66321
8.5,0000 1 Jul 1991,27.94104,28.30221,27.77161,28.64413
1.5,0000 1 Aug 1991,26.26764,22.57112,24.77417,28.38772
2.5,0000 1 Aug 1991,26.07686,22.98317,24.69139,28.34305
3.5,0000 1 Aug 1991,26.4243,23.59494,25.01282,28.61551
4.5,0000 1 Aug 1991,26.95433,24.65858,25.58795,28.82294
5.5,0000 1 Aug 1991,27.37701,26.04738,26.28957,28.81573
6.5,0000 1 Aug 1991,27.64907,27.43206,27.03765,28.67424
7.5,0000 1 Aug 1991,27.93611,28.22561,27.74438,28.66524
8.5,0000 1 Aug 1991,28.33564,28.21663,28.32558,28.85174
1.5,0000 1 Sep 1991,26.55123,22.96416,24.89054,28.75341
2.5,0000 1 Sep 1991,26.7639,23.62497,25.07942,28.93299
3.5,0000 1 Sep 1991,27.21199,24.67572,25.62027,29.04806
4.5,0000 1 Sep 1991,27.58956,26.03053,26.34923,28.9659
5.5,0000 1 Sep 1991,27.79898,27.42253,27.10726,28.78246
6.5,0000 1 Sep 1991,28.01706,28.19867,27.79875,28.72996
7.5,0000 1 Sep 1991,28.393,28.19467,28.35644,28.89602
8.5,0000 1 Sep 1991,28.67052,27.31938,28.38678,29.13702
1.5,0000 1 Oct 1991,27.02383,23.63273,25.31308,29.07961
2.5,0000 1 Oct 1991,27.2128,24.67728,25.66007,29.08808
3.5,0000 1 Oct 1991,27.3627,25.87939,26.21089,28.89132
4.5,0000 1 Oct 1991,27.47424,27.11289,26.88277,28.64029
5.5,0000 1 Oct 1991,27.67559,27.90294,27.52781,28.5414
6.5,0000 1 Oct 1991,28.12258,27.79733,28.06028,28.73511
7.5,0000 1 Oct 1991,28.39122,26.76486,27.96993,29.01203
8.5,0000 1 Oct 1991,28.05365,25.32571,27.21287,29.00604
1.5,0000 1 Nov 1991,27.58496,24.93047,26.05912,29.15007
2.5,0000 1 Nov 1991,27.66188,26.15233,26.46233,28.95647
3.5,0000 1 Nov 1991,27.77228,27.17926,27.0747,28.75282
4.5,0000 1 Nov 1991,28.008,27.92055,27.75394,28.70604
5.5,0000 1 Nov 1991,28.42314,27.87544,28.28551,28.89726
6.5,0000 1 Nov 1991,28.66377,26.97881,28.23052,29.13436
7.5,0000 1 Nov 1991,28.28812,25.67879,27.47358,29.09565
8.5,0000 1 Nov 1991,27.37563,24.43812,26.36838,28.65019
1.5,0000 1 Dec 1991,27.72239,25.64822,26.45067,29.00227
2.5,0000 1 Dec 1991,27.73335,26.70068,26.92524,28.78217
3.5,0000 1 Dec 1991,27.92697,27.30138,27.56375,28.66549
4.5,0000 1 Dec 1991,28.33119,27.2139,28.07134,28.81786
5.5,0000 1 Dec 1991,28.53605,26.30197,27.97646,29.03786
6.5,0000 1 Dec 1991,28.11207,25.05912,27.19832,28.96428
7.5,0000 1 Dec 1991,27.17981,23.92603,26.04788,28.54895
8.5,0000 1 Dec 1991,26.23921,23.24077,25.08489,28.04396
1.5,0000 1 Jan 1992,27.99205,26.72305,27.2609,28.82017
2.5,0000 1 Jan 1992,28.17422,27.62275,27.91346,28.70919
3.5,0000 1 Jan 1992,28.56451,27.61357,28.4354,28.87403
4.5,0000 1 Jan 1992,28.73402,26.81697,28.38519,29.03365
5.5,0000 1 Jan 1992,28.3088,25.53742,27.59715,28.94262
6.5,0000 1 Jan 1992,27.31366,24.35497,26.40723,28.47898
7.5,0000 1 Jan 1992,26.31569,23.61331,25.39996,27.95848
8.5,0000 1 Jan 1992,25.74068,23.27305,24.83114,27.68335
1.5,0000 1 Feb 1992,28.31655,27.0111,27.8808,28.60159
2.5,0000 1 Feb 1992,28.57241,27.01305,28.2977,28.76098
3.5,0000 1 Feb 1992,28.59,26.29638,28.15208,28.88265
4.5,0000 1 Feb 1992,27.96914,25.11083,27.25035,28.69381
5.5,0000 1 Feb 1992,26.92058,23.98138,26.02141,28.15198
6.5,0000 1 Feb 1992,25.95775,23.20969,25.00026,27.59603
