YR,MON,NINO1+2,ANOM,NINO3,ANOM,NINO4,ANOM,NINO3.4,ANOM
1990,11,21,-0.65,24.9,-0.2,29.2,0.5,26.81,0.1
1990,12,22.31,-0.5,25.15,-0.08,29.19,0.65,26.95,0.35
1991,1,24.02,-0.54,25.79,0.13,28.9,0.58,27.03,0.49
1991,2,25.72,-0.38,26.41,0,28.73,0.54,27.07,0.32
1991,3,26.28,-0.21,27.04,-0.16,28.66,0.34,27.32,0.03
1991,4,25.24,-0.3,27.53,-0.05,28.97,0.34,28.01,0.19
1991,5,24.09,-0.33,27.49,0.24,29.38,0.46,28.2,0.26
1991,6,23.33,0.21,27.3,0.68,29.35,0.38,28.25,0.52
1991,7,22.56,0.6,26.64,0.83,29.34,0.45,28.05,0.76
1991,8,21.37,0.37,25.63,0.51,29.26,0.47,27.53,0.68
1991,9,21.19,0.46,25.26,0.36,29.09,0.33,27.14,0.42
1991,10,21.67,0.65,25.59,0.61,29.47,0.7,27.58,0.86
1991,11,22.38,0.72,26.05,0.95,29.39,0.69,27.9,1.2
1991,12,23.64,0.83,26.48,1.25,29.35,0.81,28.29,1.69
1992,1,25.03,0.47,27.03,1.37,28.94,0.62,28.38,1.84
1992,2,26.71,0.61,27.67,1.27,29.08,0.89,28.53,1.78
1992,3,27.73,1.24,28.26,1.05,28.96,0.64,28.66,1.38
1992,4,27.72,2.19,28.75,1.17,29.09,0.46,29.02,1.2
1992,5,26.63,2.22,28.44,1.19,29.23,0.31,28.98,1.04
1992,6,23.98,0.85,27.17,0.55,29.24,0.27,28.3,0.58
1992,7,21.89,-0.07,25.75,-0.06,29.21,0.31,27.51,0.22
1992,8,20.87,-0.14,25.03,-0.08,28.93,0.14,26.91,0.05
1992,9,20.76,0.03,24.83,-0.07,28.86,0.1,26.65,-0.06
1992,10,21.02,0.01,24.64,-0.34,28.76,0,26.42,-0.3
1992,11,21.59,-0.07,24.64,-0.46,28.69,-0.01,26.42,-0.28
1992,12,22.71,-0.1,24.87,-0.36,28.61,0.07,26.44,-0.15
1993,1,24.55,-0.01,25.55,-0.11,28.54,0.22,26.69,0.14
1993,2,26.4,0.3,26.8,0.39,28.3,0.1,27.16,0.41
1993,3,27.09,0.6,27.61,0.4,28.37,0.05,27.67,0.39
1993,4,26.79,1.25,28.42,0.84,28.66,0.04,28.41,0.59
1993,5,25.57,1.15,28.33,1.07,28.98,0.07,28.71,0.78
1993,6,24.16,1.04,27.06,0.44,29.01,0.04,28.08,0.35
1993,7,22.66,0.7,26.05,0.24,28.97,0.07,27.52,0.23
1993,8,21.57,0.56,25.36,0.24,28.92,0.13,26.99,0.13
1993,9,21.11,0.38,25.22,0.32,29.06,0.3,27.07,0.35
1993,10,21.57,0.55,25.11,0.13,28.78,0.02,26.77,0.06
1993,11,21.96,0.31,25.09,-0.01,28.79,0.09,26.71,0
1993,12,22.83,0.02,25.31,0.09,28.72,0.18,26.76,0.16
1994,1,24.47,-0.09,25.86,0.2,28.43,0.11,26.64,0.1
1994,2,25.77,-0.33,26.33,-0.08,28.14,-0.06,26.81,0.06
1994,3,25.48,-1.01,26.85,-0.35,28.37,0.05,27.39,0.11
1994,4,24.27,-1.27,27.2,-0.38,28.74,0.11,28.08,0.26
1994,5,23.36,-1.06,27.15,-0.1,29.14,0.23,28.24,0.31
1994,6,22.21,-0.91,26.56,-0.06,29.23,0.26,28.04,0.32
1994,7,21.09,-0.87,25.53,-0.28,29.4,0.5,27.54,0.24
1994,8,19.98,-1.03,24.86,-0.26,29.5,0.71,27.38,0.53
1994,9,20.58,-0.15,24.85,-0.05,29.3,0.54,27.2,0.48
1994,10,21.81,0.8,25.5,0.52,29.45,0.69,27.47,0.75
1994,11,22.26,0.6,25.99,0.89,29.44,0.75,27.81,1.11
1994,12,23.67,0.86,26.05,0.82,29.46,0.92,27.85,1.25
1995,1,25.3,0.73,26.43,0.77,29.04,0.72,27.57,1.02
1995,2,26.2,0.1,26.85,0.45,28.91,0.71,27.49,0.73
1995,3,26,-0.49,27.18,-0.03,29.03,0.71,27.75,0.46
