YR,MON,NINO3.4
1990,11,26.81
1990,12,26.95
1991,1,27.03
1991,2,27.07
1991,3,27.32
1991,4,28.01
1991,5,28.2
1991,6,28.25
1991,7,28.05
1991,8,27.53
1991,9,27.14
1991,10,27.58
1991,11,27.9
1991,12,28.29
1992,1,28.38
1992,2,28.53
1992,3,28.66
1992,4,29.02
1992,5,28.98
1992,6,28.3
1992,7,27.51
1992,8,26.91
1992,9,26.65
1992,10,26.42
1992,11,26.42
1992,12,26.44
1993,1,26.69
1993,2,27.16
1993,3,27.67
1993,4,28.41
1993,5,28.71
1993,6,28.08
1993,7,27.52
1993,8,26.99
1993,9,27.07
1993,10,26.77
1993,11,26.71
1993,12,26.76
1994,1,26.64
1994,2,26.81
1994,3,27.39
1994,4,28.08
1994,5,28.24
1994,6,28.04
1994,7,27.54
1994,8,27.38
1994,9,27.2
1994,10,27.47
1994,11,27.81
1994,12,27.85
1995,1,27.57
1995,2,27.49
1995,3,27.75
1995,4,28.1
1995,5,27.82
1995,6,27.59
1995,7,27.08
1995,8,26.23
1995,9,25.88
1995,10,25.84
1995,11,25.6
1995,12,25.65
1996,1,25.69
1996,2,25.89
1996,3,26.67
1996,4,27.35
1996,5,27.55
1996,6,27.29
1996,7,26.85
1996,8,26.64
1996,9,26.27
1996,10,26.27
1996,11,26.29
1996,12,25.95
1997,1,26.01
1997,2,26.38
1997,3,27.04
1997,4,27.98
1997,5,28.58
1997,6,28.82
1997,7,28.86
1997,8,28.75
1997,9,28.85
1997,10,29.08
1997,11,29.12
1997,12,28.89
1998,1,28.93
1998,2,28.78
1998,3,28.62
1998,4,28.6
1998,5,28.51
1998,6,27.34
1998,7,26.3
1998,8,25.57
1998,9,25.46
1998,10,25.25
1998,11,25.24
1998,12,24.91
1999,1,24.86
1999,2,25.43
1999,3,26.33
1999,4,26.7
1999,5,26.79
1999,6,26.53
1999,7,26.13
1999,8,25.63
1999,9,25.63
1999,10,25.48
1999,11,25.12
1999,12,24.86
2000,1,24.78
2000,2,25.21
2000,3,26.3
2000,4,26.95
2000,5,27.07
2000,6,26.94
2000,7,26.63
2000,8,26.37
2000,9,26.2
2000,10,26.02
2000,11,25.92
2000,12,25.68
2001,1,25.81
2001,2,26.12
2001,3,26.8
2001,4,27.33
2001,5,27.6
2001,6,27.54
2001,7,27.25
2001,8,26.8
2001,9,26.52
2001,10,26.57
2001,11,26.33
2001,12,26.19
2002,1,26.39
2002,2,26.71
2002,3,27.29
2002,4,27.84
2002,5,28.24
2002,6,28.44
2002,7,28.03
2002,8,27.72
2002,9,27.81
2002,10,27.96
2002,11,28.17
2002,12,27.97
2003,1,27.15
2003,2,27.39
2003,3,27.65
2003,4,27.68
2003,5,27.32
2003,6,27.44
2003,7,27.5
2003,8,27.11
