SEAS,YR,TOTAL,ANOM,STATE
DJF,1950,24.72,-1.53,cold
JFM,1950,25.17,-1.34,cold
FMA,1950,25.75,-1.16,cold
MAM,1950,26.12,-1.18,cold
AMJ,1950,26.32,-1.07,cold
MJJ,1950,26.31,-0.85,cold
JJA,1950,26.21,-0.54,cold
JAS,1950,25.96,-0.42,neutral
ASO,1950,25.76,-0.39,neutral
SON,1950,25.63,-0.44,neutral
OND,1950,25.48,-0.6,neutral
NDJ,1950,25.34,-0.8,neutral
DJF,1951,25.42,-0.82,neutral
JFM,1951,25.96,-0.54,neutral
FMA,1951,26.74,-0.17,neutral
MAM,1951,27.48,0.18,neutral
AMJ,1951,27.75,0.36,neutral
MJJ,1951,27.75,0.58,warm
JJA,1951,27.44,0.7,warm
JAS,1951,27.28,0.89,warm
ASO,1951,27.14,0.99,warm
SON,1951,27.22,1.15,warm
OND,1951,27.12,1.04,warm
NDJ,1951,26.95,0.81,warm
DJF,1952,26.78,0.53,warm
JFM,1952,26.87,0.37,neutral
FMA,1952,27.25,0.34,neutral
MAM,1952,27.6,0.29,neutral
AMJ,1952,27.59,0.2,neutral
MJJ,1952,27.17,0,neutral
JJA,1952,26.67,-0.08,neutral
JAS,1952,26.39,0,neutral
ASO,1952,26.3,0.15,neutral
SON,1952,26.17,0.1,neutral
OND,1952,26.13,0.04,neutral
NDJ,1952,26.29,0.15,neutral
DJF,1953,26.65,0.4,neutral
JFM,1953,27.1,0.6,warm
FMA,1953,27.53,0.63,warm
MAM,1953,27.96,0.66,warm
AMJ,1953,28.14,0.75,warm
MJJ,1953,27.94,0.77,warm
JJA,1953,27.49,0.75,warm
JAS,1953,27.12,0.73,warm
ASO,1953,26.93,0.78,warm
SON,1953,26.91,0.84,warm
OND,1953,26.92,0.84,warm
NDJ,1953,26.95,0.81,warm
DJF,1954,27,0.76,warm
JFM,1954,26.97,0.47,neutral
FMA,1954,26.86,-0.05,neutral
MAM,1954,26.89,-0.41,neutral
AMJ,1954,26.85,-0.54,cold
MJJ,1954,26.67,-0.5,cold
JJA,1954,26.1,-0.64,cold
JAS,1954,25.54,-0.84,cold
ASO,1954,25.25,-0.9,cold
SON,1954,25.3,-0.77,cold
OND,1954,25.35,-0.73,cold
NDJ,1954,25.48,-0.66,cold
DJF,1955,25.57,-0.68,cold
JFM,1955,25.89,-0.62,cold
FMA,1955,26.22,-0.69,cold
MAM,1955,26.5,-0.8,cold
AMJ,1955,26.6,-0.79,cold
MJJ,1955,26.45,-0.72,cold
JJA,1955,26.06,-0.68,cold
JAS,1955,25.64,-0.75,cold
ASO,1955,25.06,-1.09,cold
SON,1955,24.65,-1.42,cold
OND,1955,24.41,-1.67,cold
NDJ,1955,24.72,-1.47,cold
DJF,1956,25.23,-1.11,cold
JFM,1956,25.86,-0.76,cold
FMA,1956,26.37,-0.63,cold
MAM,1956,26.82,-0.54,cold
AMJ,1956,26.93,-0.52,cold
MJJ,1956,26.72,-0.51,cold
JJA,1956,26.23,-0.57,cold
JAS,1956,25.87,-0.55,cold
ASO,1956,25.71,-0.46,neutral
SON,1956,25.67,-0.42,neutral
OND,1956,25.67,-0.43,neutral
NDJ,1956,25.77,-0.43,neutral
DJF,1957,26.09,-0.25,neutral
JFM,1957,26.68,0.06,neutral
FMA,1957,27.41,0.41,neutral
MAM,1957,28.08,0.72,warm
AMJ,1957,28.37,0.92,warm
MJJ,1957,28.34,1.11,warm
JJA,1957,28.06,1.25,warm
JAS,1957,27.75,1.32,warm
ASO,1957,27.5,1.33,warm
SON,1957,27.48,1.39,warm
OND,1957,27.64,1.53,warm
NDJ,1957,27.94,1.74,warm
DJF,1958,28.15,1.81,warm
JFM,1958,28.27,1.66,warm
FMA,1958,28.26,1.27,warm
MAM,1958,28.28,0.93,warm
AMJ,1958,28.19,0.74,warm
MJJ,1958,27.87,0.64,warm
JJA,1958,27.38,0.57,warm
JAS,1958,26.85,0.43,neutral
ASO,1958,26.56,0.39,neutral
SON,1958,26.53,0.44,neutral
OND,1958,26.6,0.5,warm
NDJ,1958,26.81,0.61,warm
DJF,1959,26.95,0.61,warm
JFM,1959,27.24,0.62,warm
FMA,1959,27.51,0.52,warm
MAM,1959,27.68,0.33,neutral
AMJ,1959,27.65,0.2,neutral
MJJ,1959,27.16,-0.07,neutral
JJA,1959,26.63,-0.18,neutral
JAS,1959,26.15,-0.28,neutral
ASO,1959,26.08,-0.09,neutral
SON,1959,26.07,-0.03,neutral
OND,1959,26.15,0.05,neutral
NDJ,1959,26.16,-0.04,neutral
DJF,1960,26.24,-0.1,neutral
JFM,1960,26.51,-0.1,neutral
FMA,1960,26.92,-0.07,neutral
MAM,1960,27.39,0.03,neutral
AMJ,1960,27.47,0.02,neutral
MJJ,1960,27.26,0.03,neutral
JJA,1960,26.93,0.13,neutral
JAS,1960,26.66,0.24,neutral
ASO,1960,26.44,0.27,neutral
SON,1960,26.3,0.2,neutral
