L,MON,SZN,TAR,LDC_SST_CanSIPS_IC4,OBS_NINO3.4_L3,BIAS,BIAS_ABS
10.5,1994-10-01,JAS,1995-08-15,25.005899999999997,26.396666666666665,-1.3907666666666678,1.3907666666666678
9.5,1994-11-01,JAS,1995-08-15,25.275900000000036,26.396666666666665,-1.1207666666666292,1.1207666666666292
8.5,1994-12-01,JAS,1995-08-15,25.291800000000023,26.396666666666665,-1.1048666666666414,1.1048666666666414
7.5,1995-01-01,JAS,1995-08-15,25.135000000000048,26.396666666666665,-1.261666666666617,1.261666666666617
6.5,1995-02-01,JAS,1995-08-15,25.322900000000004,26.396666666666665,-1.0737666666666605,1.0737666666666605
5.5,1995-03-01,JAS,1995-08-15,25.592600000000004,26.396666666666665,-0.8040666666666603,0.8040666666666603
4.5,1995-04-01,JAS,1995-08-15,25.582700000000045,26.396666666666665,-0.8139666666666194,0.8139666666666194
3.5,1995-05-01,JAS,1995-08-15,25.473700000000008,26.396666666666665,-0.9229666666666567,0.9229666666666567
2.5,1995-06-01,JAS,1995-08-15,25.668000000000006,26.396666666666665,-0.7286666666666584,0.7286666666666584
1.5,1995-07-01,JAS,1995-08-15,26.104600000000005,26.396666666666665,-0.2920666666666598,0.2920666666666598
10.5,1997-09-01,JJA,1998-07-15,25.43380000000002,26.403333333333336,-0.9695333333333167,0.9695333333333167
9.5,1997-10-01,JJA,1998-07-15,25.511600000000044,26.403333333333336,-0.891733333333292,0.891733333333292
8.5,1997-11-01,JJA,1998-07-15,25.374900000000025,26.403333333333336,-1.0284333333333109,1.0284333333333109
7.5,1997-12-01,JJA,1998-07-15,25.51690000000002,26.403333333333336,-0.886433333333315,0.886433333333315
6.5,1998-01-01,JJA,1998-07-15,25.556700000000035,26.403333333333336,-0.8466333333333012,0.8466333333333012
5.5,1998-02-01,JJA,1998-07-15,25.36080000000004,26.403333333333336,-1.0425333333332958,1.0425333333332958
4.5,1998-03-01,JJA,1998-07-15,25.671400000000006,26.403333333333336,-0.7319333333333304,0.7319333333333304
3.5,1998-04-01,JJA,1998-07-15,25.515100000000018,26.403333333333336,-0.8882333333333179,0.8882333333333179
2.5,1998-05-01,JJA,1998-07-15,25.727900000000034,26.403333333333336,-0.6754333333333022,0.6754333333333022
1.5,1998-06-01,JJA,1998-07-15,25.37700000000001,26.403333333333336,-1.0263333333333264,1.0263333333333264
10.5,2005-01-01,OND,2005-11-15,25.417200000000037,26.146666666666665,-0.7294666666666281,0.7294666666666281
9.5,2005-02-01,OND,2005-11-15,25.476300000000037,26.146666666666665,-0.6703666666666273,0.6703666666666273
8.5,2005-03-01,OND,2005-11-15,25.484000000000037,26.146666666666665,-0.6626666666666274,0.6626666666666274
7.5,2005-04-01,OND,2005-11-15,25.318300000000022,26.146666666666665,-0.8283666666666427,0.8283666666666427
6.5,2005-05-01,OND,2005-11-15,25.488800000000026,26.146666666666665,-0.6578666666666386,0.6578666666666386
5.5,2005-06-01,OND,2005-11-15,25.702600000000018,26.146666666666665,-0.4440666666666466,0.4440666666666466
4.5,2005-07-01,OND,2005-11-15,25.91270000000003,26.146666666666665,-0.23396666666663535,0.23396666666663535
3.5,2005-08-01,OND,2005-11-15,25.89500000000004,26.146666666666665,-0.25166666666662607,0.25166666666662607
2.5,2005-09-01,OND,2005-11-15,25.841200000000015,26.146666666666665,-0.3054666666666499,0.3054666666666499
1.5,2005-10-01,OND,2005-11-15,25.901800000000037,26.146666666666665,-0.2448666666666277,0.2448666666666277
10.5,2006-08-01,MJJ,2007-06-15,26.400400000000047,27.180000000000003,-0.7795999999999559,0.7795999999999559
9.5,2006-09-01,MJJ,2007-06-15,26.499300000000005,27.180000000000003,-0.6806999999999981,0.6806999999999981
8.5,2006-10-01,MJJ,2007-06-15,26.501000000000033,27.180000000000003,-0.6789999999999701,0.6789999999999701
7.5,2006-11-01,MJJ,2007-06-15,26.477400000000046,27.180000000000003,-0.7025999999999577,0.7025999999999577
6.5,2006-12-01,MJJ,2007-06-15,26.59340000000003,27.180000000000003,-0.5865999999999723,0.5865999999999723
5.5,2007-01-01,MJJ,2007-06-15,26.45010000000002,27.180000000000003,-0.7298999999999829,0.7298999999999829
4.5,2007-02-01,MJJ,2007-06-15,26.313000000000045,27.180000000000003,-0.8669999999999582,0.8669999999999582
3.5,2007-03-01,MJJ,2007-06-15,26.372000000000014,27.180000000000003,-0.8079999999999892,0.8079999999999892
2.5,2007-04-01,MJJ,2007-06-15,26.66270000000003,27.180000000000003,-0.5172999999999739,0.5172999999999739
1.5,2007-05-01,MJJ,2007-06-15,26.62960000000004,27.180000000000003,-0.5503999999999643,0.5503999999999643
10.5,2008-01-01,OND,2008-11-15,25.023900000000026,26.12,-1.096099999999975,1.096099999999975
9.5,2008-02-01,OND,2008-11-15,24.921500000000037,26.12,-1.1984999999999637,1.1984999999999637
8.5,2008-03-01,OND,2008-11-15,25.118300000000033,26.12,-1.0016999999999676,1.0016999999999676
7.5,2008-04-01,OND,2008-11-15,25.277900000000045,26.12,-0.8420999999999559,0.8420999999999559
6.5,2008-05-01,OND,2008-11-15,25.501000000000033,26.12,-0.6189999999999678,0.6189999999999678
