M,L,START,TARGET,SZN,MEAN_SST_CanSIPS_IC4,VAR_SST_CanSIPS_IC4
1,1.5,1,2,JFM,26.04467000000002,1.4065930290689759
2,1.5,1,2,JFM,26.05151000000003,1.3262733167931045
3,1.5,1,2,JFM,26.09625666666669,1.2844871811609149
4,1.5,1,2,JFM,25.995270000000026,1.4143362083793076
5,1.5,1,2,JFM,26.020743333333357,1.3545813708160868
6,1.5,1,2,JFM,26.04300000000002,1.3076245958620698
7,1.5,1,2,JFM,26.072523333333358,1.3178150335747145
8,1.5,1,2,JFM,26.010746666666684,1.2832964832643647
9,1.5,1,2,JFM,26.00988666666669,1.3488221149884871
10,1.5,1,2,JFM,26.07378333333336,1.347162787643679
11,1.5,1,2,JFM,25.916503333333356,1.3793050630919523
12,1.5,1,2,JFM,26.00109000000002,1.3704018126551694
13,1.5,1,2,JFM,25.955836666666688,1.3654215513678145
14,1.5,1,2,JFM,25.929286666666687,1.4123383005057448
15,1.5,1,2,JFM,25.93514333333336,1.4246463542643713
16,1.5,1,2,JFM,25.94211666666669,1.355850533160927
17,1.5,1,2,JFM,25.90148333333336,1.2947383076436827
18,1.5,1,2,JFM,25.979576666666684,1.427626911505746
19,1.5,1,2,JFM,26.02015333333335,1.3785904211954045
20,1.5,1,2,JFM,25.970276666666688,1.18376270460919
21,1.5,1,2,JFM,27.060410000000026,0.901011118172418
22,1.5,1,2,JFM,27.0565666666667,0.8781673491954014
23,1.5,1,2,JFM,27.02513666666669,0.8094589699884989
24,1.5,1,2,JFM,27.03247333333336,0.8190149227126384
25,1.5,1,2,JFM,26.980740000000022,0.8654917962758688
26,1.5,1,2,JFM,27.06590666666669,0.8825557351264455
27,1.5,1,2,JFM,27.06100000000003,0.8270996020689537
28,1.5,1,2,JFM,27.041520000000023,0.8433956933793169
29,1.5,1,2,JFM,27.043210000000023,0.9370394002413911
30,1.5,1,2,JFM,27.084246666666687,0.8203393894712607
31,1.5,1,2,JFM,27.066696666666683,0.8620704355057593
32,1.5,1,2,JFM,26.997760000000024,0.9292476452413809
33,1.5,1,2,JFM,27.03148333333336,0.927109438678157
34,1.5,1,2,JFM,26.98124333333336,0.8729046708160891
35,1.5,1,2,JFM,27.004723333333352,0.9093203549540121
36,1.5,1,2,JFM,27.01435000000002,0.9173675212068878
37,1.5,1,2,JFM,27.036263333333356,0.8468337458505697
38,1.5,1,2,JFM,27.030836666666694,0.8510776472298803
39,1.5,1,2,JFM,27.01285333333336,0.8930256570574762
40,1.5,1,2,JFM,26.965603333333362,0.8321717320574654
1,1.5,2,3,FMA,26.416903333333355,0.9684140624023034
2,1.5,2,3,FMA,26.449916666666688,0.9552807628160914
3,1.5,2,3,FMA,26.441033333333362,0.9810443181609172
4,1.5,2,3,FMA,26.40043333333336,1.1478304140229922
5,1.5,2,3,FMA,26.40610666666669,1.0029213102988441
6,1.5,2,3,FMA,26.453280000000017,0.9131182168275878
7,1.5,2,3,FMA,26.438713333333354,0.9888629701609165
8,1.5,2,3,FMA,26.469903333333356,0.9935661037816141
9,1.5,2,3,FMA,26.44377333333335,0.9451082634023
10,1.5,2,3,FMA,26.4415666666667,1.0240494485057348
11,1.5,2,3,FMA,26.359620000000017,1.0657570120000042
12,1.5,2,3,FMA,26.272056666666685,1.0935747494367904
13,1.5,2,3,FMA,26.339643333333353,1.034456862540225
14,1.5,2,3,FMA,26.302730000000018,1.1496605828620656
15,1.5,2,3,FMA,26.346726666666687,1.0571440240919467
16,1.5,2,3,FMA,26.30462666666669,1.1573166454712638
17,1.5,2,3,FMA,26.332616666666688,1.0817286800574692
18,1.5,2,3,FMA,26.356406666666693,0.9184332806436761
19,1.5,2,3,FMA,26.266616666666685,0.943442026954029
20,1.5,2,3,FMA,26.321096666666683,1.0612100492988579
21,1.5,2,3,FMA,27.475016666666694,0.4693263779885128
22,1.5,2,3,FMA,27.459476666666692,0.5676539577126467
23,1.5,2,3,FMA,27.452323333333357,0.5381544632298818
24,1.5,2,3,FMA,27.46730000000002,0.5176517089655185
25,1.5,2,3,FMA,27.425436666666688,0.572114280333328
26,1.5,2,3,FMA,27.462736666666686,0.5074255113678198
27,1.5,2,3,FMA,27.416910000000023,0.5263398105862065
28,1.5,2,3,FMA,27.457080000000026,0.532437198206895
29,1.5,2,3,FMA,27.429790000000025,0.5336610057586216
30,1.5,2,3,FMA,27.440880000000025,0.5091780292413791
31,1.5,2,3,FMA,27.37911666666669,0.5710651200574711
32,1.5,2,3,FMA,27.379636666666688,0.5813272637816074
33,1.5,2,3,FMA,27.407653333333357,0.5343278329195411
34,1.5,2,3,FMA,27.41548666666669,0.5517338936092041
35,1.5,2,3,FMA,27.420666666666694,0.5131646298850593
36,1.5,2,3,FMA,27.429023333333355,0.5214001404712686
37,1.5,2,3,FMA,27.40814333333336,0.613522386678166
38,1.5,2,3,FMA,27.398956666666695,0.5326958025402309
39,1.5,2,3,FMA,27.35998666666669,0.5325692708505848
40,1.5,2,3,FMA,27.402123333333353,0.5322782315057492
1,1.5,3,4,MAM,26.78867666666669,0.6879239397816025
2,1.5,3,4,MAM,26.749056666666693,0.6465566446091938
3,1.5,3,4,MAM,26.68713666666669,0.6078888906781628
4,1.5,3,4,MAM,26.745823333333355,0.5905517646092026
5,1.5,3,4,MAM,26.748513333333356,0.6485385860229869
6,1.5,3,4,MAM,26.787943333333352,0.5477313659885039
7,1.5,3,4,MAM,26.81659333333335,0.7102319337471197
8,1.5,3,4,MAM,26.835843333333354,0.6150166480574647
9,1.5,3,4,MAM,26.70027000000002,0.8342303194137866
10,1.5,3,4,MAM,26.72673000000002,0.6502990973448303
11,1.5,3,4,MAM,26.650720000000025,0.7104993775172382
12,1.5,3,4,MAM,26.71432000000003,0.7558217995862095
13,1.5,3,4,MAM,26.70006666666669,0.649075134022985
14,1.5,3,4,MAM,26.66961000000002,0.6998194326551651
15,1.5,3,4,MAM,26.63401000000002,0.8029064823103522
16,1.5,3,4,MAM,26.695230000000024,0.7615077256206869
17,1.5,3,4,MAM,26.64425333333336,0.7758723867126371
18,1.5,3,4,MAM,26.736786666666685,0.7649272239540263
19,1.5,3,4,MAM,26.673820000000017,0.7554142264827653
20,1.5,3,4,MAM,26.65906000000003,0.7548520617931053
21,1.5,3,4,MAM,27.797640000000023,0.2777054342068964
22,1.5,3,4,MAM,27.816053333333358,0.32327510119540587
23,1.5,3,4,MAM,27.788736666666694,0.31103649688505663
24,1.5,3,4,MAM,27.79680666666668,0.316865756505745
25,1.5,3,4,MAM,27.81214333333335,0.33113665702298356
26,1.5,3,4,MAM,27.81940000000002,0.3321270806896597
27,1.5,3,4,MAM,27.76567000000002,0.32742715251724125
28,1.5,3,4,MAM,27.826170000000022,0.3085964449310376
29,1.5,3,4,MAM,27.841076666666687,0.3058621597816078
30,1.5,3,4,MAM,27.809420000000024,0.3162724023448272
31,1.5,3,4,MAM,27.82459333333336,0.29800340202298803
32,1.5,3,4,MAM,27.840503333333356,0.2871362568850569
33,1.5,3,4,MAM,27.82002000000002,0.3526797037241339
34,1.5,3,4,MAM,27.828186666666685,0.2879756653333349
35,1.5,3,4,MAM,27.842066666666692,0.2937145409195352
36,1.5,3,4,MAM,27.834180000000018,0.3400067409655184
37,1.5,3,4,MAM,27.80120333333336,0.2848337713678197
38,1.5,3,4,MAM,27.824200000000022,0.2944411951724135
39,1.5,3,4,MAM,27.866943333333356,0.3084357735747141
40,1.5,3,4,MAM,27.788206666666685,0.4049297054712624
1,1.5,4,5,AMJ,26.860550000000025,0.448592862586202
2,1.5,4,5,AMJ,26.90935333333335,0.42850055636781437
3,1.5,4,5,AMJ,26.956256666666686,0.4446605777126395
4,1.5,4,5,AMJ,26.903756666666695,0.46875250391954554
5,1.5,4,5,AMJ,26.92411000000002,0.38277537334482725
6,1.5,4,5,AMJ,26.905593333333353,0.42628420478161116
7,1.5,4,5,AMJ,26.84333333333335,0.5002811574712569
8,1.5,4,5,AMJ,26.89602333333336,0.5208625466781672
9,1.5,4,5,AMJ,26.88266000000002,0.4302967459310435
10,1.5,4,5,AMJ,26.904470000000014,0.43988889182758684
11,1.5,4,5,AMJ,26.852556666666693,0.4676808052988494
12,1.5,4,5,AMJ,26.78616666666669,0.4380695374712731
13,1.5,4,5,AMJ,26.861090000000022,0.4390898981724202
14,1.5,4,5,AMJ,26.767116666666688,0.4515040952298869
15,1.5,4,5,AMJ,26.854643333333353,0.4755603266781629
16,1.5,4,5,AMJ,26.84113000000002,0.38977551734482657
17,1.5,4,5,AMJ,26.833150000000014,0.479881808103442
18,1.5,4,5,AMJ,26.772033333333358,0.43544961747126415
19,1.5,4,5,AMJ,26.92405000000003,0.45993088672413923
20,1.5,4,5,AMJ,26.876633333333356,0.4300725464367794
21,1.5,4,5,AMJ,27.934690000000025,0.23514582368965156
22,1.5,4,5,AMJ,27.946596666666697,0.19379098516091953
23,1.5,4,5,AMJ,27.920446666666688,0.2335104839540296
24,1.5,4,5,AMJ,27.954293333333354,0.23640527581609774
25,1.5,4,5,AMJ,27.918753333333356,0.23071393360919765
26,1.5,4,5,AMJ,27.932043333333354,0.25279479564368407
27,1.5,4,5,AMJ,27.93736000000002,0.2276813638620664
28,1.5,4,5,AMJ,27.93371666666669,0.22659640212643767
29,1.5,4,5,AMJ,27.936363333333357,0.21883065205747154
30,1.5,4,5,AMJ,27.921310000000023,0.2109205319655169
31,1.5,4,5,AMJ,27.92914000000002,0.2318150500689609
32,1.5,4,5,AMJ,27.964313333333354,0.2663670591264355
33,1.5,4,5,AMJ,27.940136666666692,0.26838972447126114
34,1.5,4,5,AMJ,27.903536666666685,0.25446323274712757
35,1.5,4,5,AMJ,27.949803333333353,0.25608658033333215
36,1.5,4,5,AMJ,27.914556666666694,0.2507860956436828
37,1.5,4,5,AMJ,27.98076666666669,0.26398475471263827
38,1.5,4,5,AMJ,27.904440000000022,0.24774151765516925
39,1.5,4,5,AMJ,27.943696666666696,0.2253217479195383
40,1.5,4,5,AMJ,27.95422666666669,0.25320466202299385
1,1.5,5,6,MJJ,26.600893333333357,0.5712567247816074
2,1.5,5,6,MJJ,26.63758333333335,0.6150660593678151
3,1.5,5,6,MJJ,26.642990000000022,0.5906510664482699
4,1.5,5,6,MJJ,26.60334333333336,0.7213752487471222
5,1.5,5,6,MJJ,26.60671000000002,0.5173076367931133
6,1.5,5,6,MJJ,26.65179000000002,0.5579562988620739
7,1.5,5,6,MJJ,26.59886666666669,0.709081452643683
8,1.5,5,6,MJJ,26.610650000000017,0.5581618839655238
9,1.5,5,6,MJJ,26.718303333333356,0.5795182741264435
10,1.5,5,6,MJJ,26.63450666666669,0.5936483840919518
11,1.5,5,6,MJJ,26.508763333333363,0.6812411361954006
12,1.5,5,6,MJJ,26.485396666666688,0.587315328609191
13,1.5,5,6,MJJ,26.506930000000025,0.6617235580344853
14,1.5,5,6,MJJ,26.619166666666693,0.5983465236781607
15,1.5,5,6,MJJ,26.499903333333357,0.6829676465402295
16,1.5,5,6,MJJ,26.488410000000023,0.6394800505862073
17,1.5,5,6,MJJ,26.586933333333356,0.505840280229874
18,1.5,5,6,MJJ,26.549176666666686,0.6281284218505688
19,1.5,5,6,MJJ,26.572003333333363,0.6224122927471224
20,1.5,5,6,MJJ,26.58788666666669,0.6153284591264417
21,1.5,5,6,MJJ,27.744573333333356,0.22485950685057723
22,1.5,5,6,MJJ,27.709780000000023,0.21098900579310478
23,1.5,5,6,MJJ,27.685490000000023,0.21780638644827843
24,1.5,5,6,MJJ,27.689416666666684,0.18961757385056968
25,1.5,5,6,MJJ,27.68280666666669,0.19852970891954108
26,1.5,5,6,MJJ,27.751616666666692,0.2137928835057476
27,1.5,5,6,MJJ,27.713563333333358,0.20412380929885202
28,1.5,5,6,MJJ,27.722193333333355,0.21808739374712546
29,1.5,5,6,MJJ,27.752773333333355,0.22164537029885426
30,1.5,5,6,MJJ,27.68643333333336,0.18612295126436515
31,1.5,5,6,MJJ,27.72485666666669,0.2149631659885036
32,1.5,5,6,MJJ,27.76100000000002,0.18907602275862134
33,1.5,5,6,MJJ,27.71572333333335,0.2200892294367807
34,1.5,5,6,MJJ,27.72563666666669,0.19651592722988423
35,1.5,5,6,MJJ,27.74864000000002,0.2552805604137922
36,1.5,5,6,MJJ,27.699143333333357,0.21983450943678404
37,1.5,5,6,MJJ,27.735340000000026,0.2084079521379326
38,1.5,5,6,MJJ,27.76042000000002,0.22049355337930823
39,1.5,5,6,MJJ,27.708880000000022,0.21766852027585953
40,1.5,5,6,MJJ,27.733073333333355,0.2130957061609211
1,1.5,6,7,JJA,26.132776666666686,0.866152181850569
2,1.5,6,7,JJA,26.174483333333352,0.8540206986781671
3,1.5,6,7,JJA,26.11463333333336,0.9445175740229923
4,1.5,6,7,JJA,26.08440666666669,0.9473140696091993
5,1.5,6,7,JJA,26.190493333333354,0.90257956754024
6,1.5,6,7,JJA,26.15343666666669,0.8612065672298921
7,1.5,6,7,JJA,26.11676000000002,1.0312459383448205
8,1.5,6,7,JJA,26.167990000000025,0.9448265809310289
9,1.5,6,7,JJA,26.130726666666696,0.9363017551264383
10,1.5,6,7,JJA,26.089086666666685,0.8443184274023007
11,1.5,6,7,JJA,26.043400000000023,0.823317443448281
12,1.5,6,7,JJA,26.031223333333354,0.8772786763333313
13,1.5,6,7,JJA,26.034240000000025,0.8093818624827503
14,1.5,6,7,JJA,26.07652333333336,0.8203911149540275
15,1.5,6,7,JJA,26.102183333333354,0.8882496283333393
16,1.5,6,7,JJA,26.020213333333356,0.9085318908505686
17,1.5,6,7,JJA,26.17634666666669,0.7971966129195508
18,1.5,6,7,JJA,25.986613333333352,0.7395815411954082
19,1.5,6,7,JJA,26.01068666666669,0.8525536901609156
20,1.5,6,7,JJA,26.01840000000002,0.8045213400000016
21,1.5,6,7,JJA,27.352740000000026,0.30161229627586084
22,1.5,6,7,JJA,27.348856666666684,0.2727290370229904
23,1.5,6,7,JJA,27.350660000000023,0.29153282317241236
24,1.5,6,7,JJA,27.31702000000002,0.27047916717241244
25,1.5,6,7,JJA,27.37687333333336,0.25652777443677993
26,1.5,6,7,JJA,27.328443333333357,0.2934520646092001
27,1.5,6,7,JJA,27.36225000000002,0.27710390120689615
28,1.5,6,7,JJA,27.359053333333353,0.2590897149885082
29,1.5,6,7,JJA,27.35258666666669,0.2473462094712657
30,1.5,6,7,JJA,27.338726666666687,0.2623149730574735
31,1.5,6,7,JJA,27.35921666666669,0.26396038764367913
32,1.5,6,7,JJA,27.33260666666669,0.23427176685056947
33,1.5,6,7,JJA,27.34743000000002,0.27941180631034723
34,1.5,6,7,JJA,27.36499666666669,0.26422298309195336
