L,START,TARGET,SZN,MEAN_SST_CanSIPS_IC4,VAR_SST_CanSIPS_IC4,MEAN_SST_CanSIPS_IC4_ONETWO,VAR_SST_CanSIPS_IC4_ONETWO,MEAN_SST_CanSIPS_IC4_THREE,VAR_SST_CanSIPS_IC4_THREE,MEAN_SST_CanSIPS_IC4_FOUR,VAR_SST_CanSIPS_IC4_FOUR
1.5,1,2,JFM,26.51406666666669,1.1102094226695394,26.05404666666669,0.3312096805057435,26.127763333333355,0.8264505789540217,28.02792666666669,0.630135826850574
1.5,2,3,FMA,26.901286666666685,0.781023667485633,26.63362000000002,0.2938160864827566,26.71582666666669,0.5645927668505649,28.160143333333355,0.4874911025402318
1.5,3,4,MAM,27.26767000000002,0.5068031620606315,26.332573333333357,0.394004442712637,26.984453333333356,0.3751917811954063,28.408000000000023,0.3553706096551736
1.5,4,5,AMJ,27.401856666666692,0.3435615283034487,25.393936666666693,0.4590285913678241,26.816480000000027,0.3038303602758635,28.577726666666695,0.2501597985747149
1.5,5,6,MJJ,27.154026666666695,0.4119451616155172,24.29662333333335,0.6047401425402199,26.209243333333355,0.4310153963333404,28.583253333333353,0.2311621356781596
1.5,6,7,JJA,26.71903666666669,0.5699093267600583,23.42059333333335,0.7141852585747074,25.559713333333356,0.5492793232643767,28.47686333333336,0.2886742148160869
1.5,7,8,JAS,26.48872000000002,0.7165950431752874,22.879840000000023,0.7447272997241374,25.197800000000026,0.6596713468965468,28.460953333333357,0.369894348091943
1.5,8,9,ASO,26.23517333333336,0.894219449090804,22.62966333333335,0.735914875505747,24.922806666666688,0.7994376268505801,28.36658333333336,0.5206474848850589
1.5,9,10,SON,26.199976666666693,1.1876289933502868,22.76309333333335,0.624663684091952,24.899896666666685,0.982662298264368,28.353860000000022,0.7061069197241395
1.5,10,11,OND,26.20117666666669,1.5251220049181016,23.194433333333357,0.6209083367815981,24.96446333333336,1.2755775334367718,28.354353333333354,0.7936500418850494
1.5,11,12,NDJ,26.22229333333336,1.693102760305748,23.897066666666692,0.624261157471267,25.170026666666693,1.452570971678169,28.264313333333355,0.8235603329195382
1.5,12,1,DJF,26.278910000000018,1.59916277310115,24.904026666666688,0.5509088606436847,25.52899000000002,1.2846669367931105,28.09878666666669,0.8076676791264429
2.5,1,3,FMA,26.657460000000015,0.8525190300583343,26.554766666666684,0.2366080443678136,26.47491666666669,0.5726366497126378,27.975553333333345,0.4592169874023019
2.5,2,4,MAM,27.00482666666669,0.6058979041752864,26.19970000000002,0.299574120689659,26.69488333333335,0.433664192471267,28.215420000000027,0.3327770161379274
2.5,3,5,AMJ,27.150386666666687,0.46108642716494297,25.334230000000023,0.4287508228620793,26.52840333333335,0.3470783010229889,28.41788666666669,0.2688928356781657
2.5,4,6,MJJ,26.975843333333355,0.41361801496321826,24.35908666666669,0.3872969218850597,26.04380666666669,0.3288295709885032,28.429383333333355,0.2333743910919502
2.5,5,7,JJA,26.594576666666686,0.5635362965454027,23.571186666666684,0.4843804377471253,25.43419333333336,0.4929125116781588,28.340780000000027,0.2647763968275829
2.5,6,8,JAS,26.214903333333357,0.7013620129994249,23.125986666666687,0.5449236329195408,25.00562000000002,0.5901516844137906,28.20156333333336,0.3692660961954073
2.5,7,9,ASO,26.18296666666669,0.8676608579977028,23.07488666666669,0.5714951977471389,24.976750000000024,0.70307418465518,28.266500000000025,0.4988653579310358
2.5,8,10,SON,26.063540000000028,1.0866918482971266,23.24173666666669,0.5733096341264349,24.90527666666669,0.8764531046091996,28.197456666666692,0.6749827928850571
2.5,9,11,OND,26.01866666666669,1.3790209573747139,23.66765000000002,0.5052921274137961,24.945636666666697,1.069345283091963,28.139800000000022,0.8120132262068984
2.5,10,12,NDJ,26.008096666666695,1.5769275450014357,24.315796666666685,0.4929641568850557,25.092926666666692,1.2733721344367703,28.081940000000024,0.792299893517245
2.5,11,1,DJF,26.07104000000002,1.5239801728057478,25.167613333333357,0.4158440591264319,25.42901666666669,1.2033993904022948,27.950643333333353,0.7546773921954035
2.5,12,2,JFM,26.275066666666696,1.3283704286798854,26.054870000000015,0.3332329959655206,25.91499666666669,0.9556863796436702,27.871563333333363,0.6955753548160917
3.5,1,4,MAM,26.808970000000024,0.6527818305017246,26.06433000000002,0.2167875456206889,26.470943333333352,0.3995964259885035,28.055686666666688,0.3133824970574708
3.5,2,5,AMJ,26.91860666666669,0.4858715134068965,25.157386666666692,0.3200772211954029,26.251470000000023,0.3478779532068917,28.234140000000025,0.245909993517242
3.5,3,6,MJJ,26.768446666666687,0.474797622450287,24.198590000000028,0.3780797795517217,25.768203333333357,0.3517119161953954,28.274060000000024,0.2291270128275892
3.5,4,7,JJA,26.45135333333336,0.4885189219698269,23.467580000000023,0.3372505244137975,25.274780000000025,0.3306977588965484,28.183386666666692,0.23520141705747
3.5,5,8,JAS,26.164873333333357,0.6296019919807483,23.086160000000024,0.4241477762758623,24.930096666666692,0.4826183851609232,28.10727666666669,0.3090904494367817
3.5,6,9,ASO,26.00190666666669,0.7450851030712651,23.095813333333357,0.4341393867126429,24.834653333333357,0.5673678853333357,28.038986666666688,0.4500856080919548
3.5,7,10,SON,26.137013333333357,0.9653977461255744,23.458346666666692,0.4819887446436801,25.030730000000023,0.7474902538965622,28.17262000000002,0.6109677140689772
3.5,8,11,OND,26.02825000000002,1.1976345940189672,23.878103333333357,0.5001870010229834,25.015086666666697,0.946315373609198,28.072313333333355,0.7257877080919651
3.5,9,12,NDJ,25.93533333333336,1.3492179491353449,24.516536666666692,0.4235465010229879,25.12013666666669,1.0416122679195476,27.928813333333355,0.7562826460229912
3.5,10,1,DJF,25.966913333333355,1.338061340174138,25.35302666666669,0.3665161530574733,25.41675666666669,1.0336746052988466,27.81889000000002,0.6674348892068899
3.5,11,2,JFM,26.146566666666686,1.1690528825545987,26.15019000000002,0.2651960367931075,25.852396666666685,0.8447652789540182,27.74085333333336,0.6091499653333301
3.5,12,3,FMA,26.484240000000018,1.0050408659793093,26.49176000000003,0.2552556314482764,26.311770000000017,0.6751308807930982,27.837910000000026,0.5263282788620702
4.5,1,5,AMJ,26.77672333333335,0.5007261618844824,24.98684666666669,0.2121229418850566,26.075800000000022,0.2745046986206877,28.092386666666687,0.2319437025747128
