L,MON,SZN,TAR,LDC_SST_CanSIPS_IC4,OBS_NINO3.4_L3,BIAS,BIAS_ABS
5.5,1991-01-01,MJJ,1991-06-15,26.477800000000002,28.166666666666668,-1.6888666666666659,1.6888666666666659
4.5,1991-02-01,MJJ,1991-06-15,26.857200000000034,28.166666666666668,-1.3094666666666335,1.3094666666666335
3.5,1991-03-01,MJJ,1991-06-15,27.232200000000034,28.166666666666668,-0.9344666666666335,0.9344666666666335
2.5,1991-04-01,MJJ,1991-06-15,27.27380000000005,28.166666666666668,-0.8928666666666167,0.8928666666666167
1.5,1991-05-01,MJJ,1991-06-15,27.677700000000016,28.166666666666668,-0.4889666666666521,0.4889666666666521
10.5,1993-11-01,ASO,1994-09-15,24.581200000000024,27.35,-2.7687999999999775,2.7687999999999775
9.5,1993-12-01,ASO,1994-09-15,24.60020000000003,27.35,-2.749799999999972,2.749799999999972
8.5,1994-01-01,ASO,1994-09-15,24.868100000000027,27.35,-2.4818999999999747,2.4818999999999747
7.5,1994-02-01,ASO,1994-09-15,25.124500000000012,27.35,-2.2254999999999896,2.2254999999999896
6.5,1994-03-01,ASO,1994-09-15,25.2269,27.35,-2.123100000000001,2.123100000000001
5.5,1994-04-01,ASO,1994-09-15,25.397100000000023,27.35,-1.9528999999999783,1.9528999999999783
4.5,1994-05-01,ASO,1994-09-15,25.624500000000012,27.35,-1.7254999999999896,1.7254999999999896
3.5,1994-06-01,ASO,1994-09-15,25.95980000000003,27.35,-1.3901999999999717,1.3901999999999717
2.5,1994-07-01,ASO,1994-09-15,26.071799999999996,27.35,-1.2782000000000053,1.2782000000000053
1.5,1994-08-01,ASO,1994-09-15,26.268500000000017,27.35,-1.0814999999999841,1.0814999999999841
10.5,1996-07-01,AMJ,1997-05-15,26.414300000000026,28.459999999999997,-2.0456999999999717,2.0456999999999717
9.5,1996-08-01,AMJ,1997-05-15,26.793499999999995,28.459999999999997,-1.6665000000000028,1.6665000000000028
8.5,1996-09-01,AMJ,1997-05-15,26.665400000000034,28.459999999999997,-1.7945999999999636,1.7945999999999636
7.5,1996-10-01,AMJ,1997-05-15,26.95830000000001,28.459999999999997,-1.501699999999989,1.501699999999989
