L,AMJ,MJJ,JJA,JAS,ASO,SON,OND
OBS,0.25675,0.281245,0.401165,0.576438,0.797956,1.057599,1.304206
1.5,0.2392275336293106,0.2120499868597701,0.2671442954494255,0.356811252237931,0.488385334909195,0.7756848979160906,1.0822552968028718
2.5,0.2390682804356322,0.2138855700264364,0.2392262757810351,0.2775510696074692,0.4357696100218402,0.6350986336402306,0.9309227206132196
3.5,0.2628739118735623,0.2122592078873557,0.2005426453689645,0.2569085100494256,0.3148331782183903,0.5681246032798853,0.8005318783431052
4.5,0.3102450585477,0.2258366261143685,0.1943967804408042,0.1953077426235634,0.294891661350576,0.4027656311948261,0.7264563723827595
5.5,0.4592670336879315,0.2592808781454032,0.2046634255913789,0.1883044743408036,0.2170620184885059,0.3777077593057489,0.5205384110856321
6.5,0.4757664433511489,0.375312761393678,0.2198149597454012,0.1927173888764359,0.2121901398701149,0.2841852155068971,0.4933672466436779
7.5,0.4019131123166669,0.3907689393522996,0.2926993277034481,0.2072571438471269,0.2139533021683921,0.2852030297454021,0.3821564743137937
8.5,0.3913480885879303,0.3306108178890804,0.3019543528982751,0.2456275891695404,0.2344336083494254,0.2838051483408046,0.3934778732701135
9.5,0.3960482747798846,0.3373056409862068,0.2574663192511499,0.2497552472206907,0.2534184201534476,0.3159781047603449,0.3901996899873571
10.5,0.4161795021770113,0.3363025105925288,0.2728497520298852,0.2203720014459774,0.2515944649735625,0.3228214056856316,0.4285424495856327
