M,L,START,TARGET,SZN,MEAN_SST_CanESM5,VAR_SST_CanESM5
1,1.5,1,2,JFM,27.060410000000026,0.901011118172418
2,1.5,1,2,JFM,27.0565666666667,0.8781673491954014
3,1.5,1,2,JFM,27.02513666666669,0.8094589699884989
4,1.5,1,2,JFM,27.03247333333336,0.8190149227126384
5,1.5,1,2,JFM,26.980740000000022,0.8654917962758688
6,1.5,1,2,JFM,27.06590666666669,0.8825557351264455
7,1.5,1,2,JFM,27.06100000000003,0.8270996020689537
8,1.5,1,2,JFM,27.041520000000023,0.8433956933793169
9,1.5,1,2,JFM,27.043210000000023,0.9370394002413911
10,1.5,1,2,JFM,27.084246666666687,0.8203393894712607
11,1.5,1,2,JFM,27.066696666666683,0.8620704355057593
12,1.5,1,2,JFM,26.997760000000024,0.9292476452413809
13,1.5,1,2,JFM,27.03148333333336,0.927109438678157
14,1.5,1,2,JFM,26.98124333333336,0.8729046708160891
15,1.5,1,2,JFM,27.004723333333352,0.9093203549540121
16,1.5,1,2,JFM,27.01435000000002,0.9173675212068878
17,1.5,1,2,JFM,27.036263333333356,0.8468337458505697
18,1.5,1,2,JFM,27.030836666666694,0.8510776472298803
19,1.5,1,2,JFM,27.01285333333336,0.8930256570574762
20,1.5,1,2,JFM,26.965603333333362,0.8321717320574654
1,1.5,2,3,FMA,27.475016666666694,0.4693263779885128
2,1.5,2,3,FMA,27.459476666666692,0.5676539577126467
3,1.5,2,3,FMA,27.452323333333357,0.5381544632298818
4,1.5,2,3,FMA,27.46730000000002,0.5176517089655185
5,1.5,2,3,FMA,27.425436666666688,0.572114280333328
6,1.5,2,3,FMA,27.462736666666686,0.5074255113678198
7,1.5,2,3,FMA,27.416910000000023,0.5263398105862065
8,1.5,2,3,FMA,27.457080000000026,0.532437198206895
9,1.5,2,3,FMA,27.429790000000025,0.5336610057586216
10,1.5,2,3,FMA,27.440880000000025,0.5091780292413791
11,1.5,2,3,FMA,27.37911666666669,0.5710651200574711
12,1.5,2,3,FMA,27.379636666666688,0.5813272637816074
13,1.5,2,3,FMA,27.407653333333357,0.5343278329195411
14,1.5,2,3,FMA,27.41548666666669,0.5517338936092041
15,1.5,2,3,FMA,27.420666666666694,0.5131646298850593
16,1.5,2,3,FMA,27.429023333333355,0.5214001404712686
17,1.5,2,3,FMA,27.40814333333336,0.613522386678166
18,1.5,2,3,FMA,27.398956666666695,0.5326958025402309
19,1.5,2,3,FMA,27.35998666666669,0.5325692708505848
20,1.5,2,3,FMA,27.402123333333353,0.5322782315057492
1,1.5,3,4,MAM,27.797640000000023,0.2777054342068964
2,1.5,3,4,MAM,27.816053333333358,0.32327510119540587
3,1.5,3,4,MAM,27.788736666666694,0.31103649688505663
4,1.5,3,4,MAM,27.79680666666668,0.316865756505745
5,1.5,3,4,MAM,27.81214333333335,0.33113665702298356
6,1.5,3,4,MAM,27.81940000000002,0.3321270806896597
7,1.5,3,4,MAM,27.76567000000002,0.32742715251724125
8,1.5,3,4,MAM,27.826170000000022,0.3085964449310376
9,1.5,3,4,MAM,27.841076666666687,0.3058621597816078
10,1.5,3,4,MAM,27.809420000000024,0.3162724023448272
11,1.5,3,4,MAM,27.82459333333336,0.29800340202298803
12,1.5,3,4,MAM,27.840503333333356,0.2871362568850569
13,1.5,3,4,MAM,27.82002000000002,0.3526797037241339
14,1.5,3,4,MAM,27.828186666666685,0.2879756653333349
15,1.5,3,4,MAM,27.842066666666692,0.2937145409195352
16,1.5,3,4,MAM,27.834180000000018,0.3400067409655184
17,1.5,3,4,MAM,27.80120333333336,0.2848337713678197
18,1.5,3,4,MAM,27.824200000000022,0.2944411951724135
19,1.5,3,4,MAM,27.866943333333356,0.3084357735747141
20,1.5,3,4,MAM,27.788206666666685,0.4049297054712624
1,1.5,4,5,AMJ,27.934690000000025,0.23514582368965156
2,1.5,4,5,AMJ,27.946596666666697,0.19379098516091953
3,1.5,4,5,AMJ,27.920446666666688,0.2335104839540296
4,1.5,4,5,AMJ,27.954293333333354,0.23640527581609774
5,1.5,4,5,AMJ,27.918753333333356,0.23071393360919765
6,1.5,4,5,AMJ,27.932043333333354,0.25279479564368407
7,1.5,4,5,AMJ,27.93736000000002,0.2276813638620664
8,1.5,4,5,AMJ,27.93371666666669,0.22659640212643767
9,1.5,4,5,AMJ,27.936363333333357,0.21883065205747154
10,1.5,4,5,AMJ,27.921310000000023,0.2109205319655169
11,1.5,4,5,AMJ,27.92914000000002,0.2318150500689609
12,1.5,4,5,AMJ,27.964313333333354,0.2663670591264355
13,1.5,4,5,AMJ,27.940136666666692,0.26838972447126114
14,1.5,4,5,AMJ,27.903536666666685,0.25446323274712757
15,1.5,4,5,AMJ,27.949803333333353,0.25608658033333215
16,1.5,4,5,AMJ,27.914556666666694,0.2507860956436828
17,1.5,4,5,AMJ,27.98076666666669,0.26398475471263827
18,1.5,4,5,AMJ,27.904440000000022,0.24774151765516925
19,1.5,4,5,AMJ,27.943696666666696,0.2253217479195383
20,1.5,4,5,AMJ,27.95422666666669,0.25320466202299385
1,1.5,5,6,MJJ,27.744573333333356,0.22485950685057723
2,1.5,5,6,MJJ,27.709780000000023,0.21098900579310478
3,1.5,5,6,MJJ,27.685490000000023,0.21780638644827843
4,1.5,5,6,MJJ,27.689416666666684,0.18961757385056968
5,1.5,5,6,MJJ,27.68280666666669,0.19852970891954108
6,1.5,5,6,MJJ,27.751616666666692,0.2137928835057476
7,1.5,5,6,MJJ,27.713563333333358,0.20412380929885202
8,1.5,5,6,MJJ,27.722193333333355,0.21808739374712546
9,1.5,5,6,MJJ,27.752773333333355,0.22164537029885426
10,1.5,5,6,MJJ,27.68643333333336,0.18612295126436515
11,1.5,5,6,MJJ,27.72485666666669,0.2149631659885036
12,1.5,5,6,MJJ,27.76100000000002,0.18907602275862134
13,1.5,5,6,MJJ,27.71572333333335,0.2200892294367807
14,1.5,5,6,MJJ,27.72563666666669,0.19651592722988423
15,1.5,5,6,MJJ,27.74864000000002,0.2552805604137922
16,1.5,5,6,MJJ,27.699143333333357,0.21983450943678404
17,1.5,5,6,MJJ,27.735340000000026,0.2084079521379326
18,1.5,5,6,MJJ,27.76042000000002,0.22049355337930823
19,1.5,5,6,MJJ,27.708880000000022,0.21766852027585953
20,1.5,5,6,MJJ,27.733073333333355,0.2130957061609211
1,1.5,6,7,JJA,27.352740000000026,0.30161229627586084
2,1.5,6,7,JJA,27.348856666666684,0.2727290370229904
3,1.5,6,7,JJA,27.350660000000023,0.29153282317241236
4,1.5,6,7,JJA,27.31702000000002,0.27047916717241244
5,1.5,6,7,JJA,27.37687333333336,0.25652777443677993
6,1.5,6,7,JJA,27.328443333333357,0.2934520646092001
7,1.5,6,7,JJA,27.36225000000002,0.27710390120689615
8,1.5,6,7,JJA,27.359053333333353,0.2590897149885082
9,1.5,6,7,JJA,27.35258666666669,0.2473462094712657
10,1.5,6,7,JJA,27.338726666666687,0.2623149730574735
11,1.5,6,7,JJA,27.35921666666669,0.26396038764367913
12,1.5,6,7,JJA,27.33260666666669,0.23427176685056947
13,1.5,6,7,JJA,27.34743000000002,0.27941180631034723
14,1.5,6,7,JJA,27.36499666666669,0.26422298309195336
15,1.5,6,7,JJA,27.350203333333358,0.24165575550574936
16,1.5,6,7,JJA,27.353230000000018,0.30275435527586264
