L,MON,SZN,TAR,LDC_SST_COLA_CESM1,OBS_NINO3.4_L3,BIAS,BIAS_ABS
10.5,1994-10-01,JAS,1995-08-15,26.32095,26.396666666666665,-0.07571666666666488,0.07571666666666488
9.5,1994-11-01,JAS,1995-08-15,26.72152,26.396666666666665,0.324853333333337,0.324853333333337
8.5,1994-12-01,JAS,1995-08-15,26.29708,26.396666666666665,-0.0995866666666636,0.0995866666666636
7.5,1995-01-01,JAS,1995-08-15,25.07113,26.396666666666665,-1.3255366666666646,1.3255366666666646
6.5,1995-02-01,JAS,1995-08-15,24.16188,26.396666666666665,-2.2347866666666647,2.2347866666666647
5.5,1995-03-01,JAS,1995-08-15,24.29335,26.396666666666665,-2.1033166666666645,2.1033166666666645
4.5,1995-04-01,JAS,1995-08-15,24.43811,26.396666666666665,-1.958556666666663,1.958556666666663
3.5,1995-05-01,JAS,1995-08-15,24.54992,26.396666666666665,-1.8467466666666645,1.8467466666666645
2.5,1995-06-01,JAS,1995-08-15,24.56593,26.396666666666665,-1.8307366666666631,1.8307366666666631
1.5,1995-07-01,JAS,1995-08-15,25.17227,26.396666666666665,-1.2243966666666637,1.2243966666666637
10.5,1997-09-01,JJA,1998-07-15,26.21843,26.403333333333336,-0.18490333333333453,0.18490333333333453
9.5,1997-10-01,JJA,1998-07-15,25.59198,26.403333333333336,-0.8113533333333365,0.8113533333333365
8.5,1997-11-01,JJA,1998-07-15,25.51941,26.403333333333336,-0.8839233333333354,0.8839233333333354
7.5,1997-12-01,JJA,1998-07-15,24.87622,26.403333333333336,-1.527113333333336,1.527113333333336
6.5,1998-01-01,JJA,1998-07-15,24.73362,26.403333333333336,-1.6697133333333376,1.6697133333333376
5.5,1998-02-01,JJA,1998-07-15,24.45934,26.403333333333336,-1.943993333333335,1.943993333333335
4.5,1998-03-01,JJA,1998-07-15,24.73659,26.403333333333336,-1.6667433333333364,1.6667433333333364
3.5,1998-04-01,JJA,1998-07-15,24.44632,26.403333333333336,-1.957013333333336,1.957013333333336
2.5,1998-05-01,JJA,1998-07-15,24.07628,26.403333333333336,-2.3270533333333354,2.3270533333333354
1.5,1998-06-01,JJA,1998-07-15,24.21611,26.403333333333336,-2.1872233333333355,2.1872233333333355
10.5,2005-01-01,OND,2005-11-15,26.94624,26.146666666666665,0.7995733333333348,0.7995733333333348
9.5,2005-02-01,OND,2005-11-15,25.53794,26.146666666666665,-0.6087266666666657,0.6087266666666657
8.5,2005-03-01,OND,2005-11-15,24.30551,26.146666666666665,-1.841156666666663,1.841156666666663
7.5,2005-04-01,OND,2005-11-15,25.0855,26.146666666666665,-1.061166666666665,1.061166666666665
