L,AMJ,MJJ,JJA,JAS,ASO,SON,OND
OBS,0.25675,0.281245,0.401165,0.576438,0.797956,1.057599,1.304206
1.5,0.2831650461260916,0.5065866121708508,0.8799591017252991,1.0509596454816776,1.1419796621745988,1.2187977499965057,1.2440780682659542
2.5,0.4296691864279194,0.4720599955627124,1.103342542393391,1.5200260909867245,1.6016528143780229,1.6140258482546308,1.6033369626367358
3.5,0.4507638414719425,0.6478473382001146,1.022889396121426,1.7629852648582531,1.9773037611229072,2.0131783447344143,1.9391474509751483
4.5,0.5670380433656094,0.6719355110963907,1.1781224177648726,1.628399277712529,2.189401279705092,2.2491024525161953,2.330085148716747
5.5,0.6571699035931146,0.7109424101985402,1.1208361868690104,1.7279530681632067,2.0388323635400347,2.4582371773049427,2.406557740017909
6.5,0.7538666962556321,0.7823591650186661,1.0635991010130108,1.5228056779917694,2.143563716880896,2.2620173363493894,2.6375157007877825
7.5,0.7876902281646325,0.8261504158024712,1.0728831986577578,1.4351717881790913,1.7691025645578264,2.4265595864945873,2.3784469795526904
8.5,0.8330408947867127,0.8817346912925055,1.0619325475899764,1.3639289064867466,1.7014004621917818,1.9248659465771152,2.6076966078373336
9.5,0.9749234183410234,0.8245123292249881,1.204548063341368,1.358797302190092,1.587275841100322,1.869750516258,2.0007814477862427
10.5,1.043956666937678,0.9533719542197586,1.0685144082974487,1.6378316359184826,1.6615216140678508,1.7765130048080686,1.9876916651043912
