M,L,START,TARGET,SZN,MEAN_SST_COLA_CESM1,VAR_SST_COLA_CESM1
1,1.5,1,2,JFM,26.703791000000002,0.9699505985196556
2,1.5,1,2,JFM,26.72726833333333,0.9701559254902306
3,1.5,1,2,JFM,26.73013033333333,0.9623915669550581
4,1.5,1,2,JFM,26.730595666666666,1.0125006458736787
5,1.5,1,2,JFM,26.703139,0.9479534103127598
6,1.5,1,2,JFM,26.709331666666667,0.9871655569660935
7,1.5,1,2,JFM,26.740296333333333,1.0038377154585054
8,1.5,1,2,JFM,26.721809666666665,1.0045235672929893
9,1.5,1,2,JFM,26.700288666666665,0.9281700321154011
10,1.5,1,2,JFM,26.698508666666665,0.9923472856878156
1,1.5,2,3,FMA,27.147351333333333,0.6259318325981622
2,1.5,2,3,FMA,27.140018,0.6886370991337928
3,1.5,2,3,FMA,27.125959666666667,0.6304019186171266
4,1.5,2,3,FMA,27.147219333333332,0.6878137546754022
5,1.5,2,3,FMA,27.164153666666667,0.6896683025688497
6,1.5,2,3,FMA,27.142361666666666,0.700078163876436
7,1.5,2,3,FMA,27.148107,0.6441770882355154
8,1.5,2,3,FMA,27.129945333333335,0.6739370868533323
9,1.5,2,3,FMA,27.138942999999998,0.7055571614010333
10,1.5,2,3,FMA,27.15426366666667,0.6052340232033329
1,1.5,3,4,MAM,27.685832,0.4754655562027573
2,1.5,3,4,MAM,27.672235,0.5141499364120683
3,1.5,3,4,MAM,27.67877766666667,0.41697799813574615
4,1.5,3,4,MAM,27.722577666666666,0.46685168014264333
5,1.5,3,4,MAM,27.655975,0.49585219769482675
6,1.5,3,4,MAM,27.653008,0.45727323594758695
7,1.5,3,4,MAM,27.721428666666668,0.5020506401360918
8,1.5,3,4,MAM,27.694087000000003,0.45933286900103387
9,1.5,3,4,MAM,27.66422,0.4923090179586204
10,1.5,3,4,MAM,27.652022,0.48387806566482733
1,1.5,4,5,AMJ,27.842745333333333,0.30272851557746894
2,1.5,4,5,AMJ,27.849546666666665,0.2796587827057464
3,1.5,4,5,AMJ,27.88204,0.2821424532689653
4,1.5,4,5,AMJ,27.913408333333333,0.25671412324885035
5,1.5,4,5,AMJ,27.843107333333332,0.28307899124092073
6,1.5,4,5,AMJ,27.871754,0.27343209930758555
7,1.5,4,5,AMJ,27.888155333333334,0.27797047881195397
8,1.5,4,5,AMJ,27.904858333333333,0.2764538953729884
9,1.5,4,5,AMJ,27.834734,0.3050803281903453
10,1.5,4,5,AMJ,27.864508666666666,0.29439079353609116
1,1.5,5,6,MJJ,27.358938666666667,0.4659035621222993
2,1.5,5,6,MJJ,27.323876666666667,0.4637545760643679
3,1.5,5,6,MJJ,27.373035,0.5060083517568958
4,1.5,5,6,MJJ,27.321618333333333,0.5399236601385052
5,1.5,5,6,MJJ,27.286617999999997,0.5342119996303453
6,1.5,5,6,MJJ,27.33142666666667,0.5204675660988507
7,1.5,5,6,MJJ,27.332728333333332,0.48966789698678187
8,1.5,5,6,MJJ,27.364065999999998,0.5312215414386221
9,1.5,5,6,MJJ,27.267564666666665,0.5413023049843677
10,1.5,5,6,MJJ,27.300264333333335,0.47340466248747204
1,1.5,6,7,JJA,26.458331333333334,0.9192084710878173
2,1.5,6,7,JJA,26.510124333333334,0.8598660046391952
3,1.5,6,7,JJA,26.546832666666667,0.7213100499236782
4,1.5,6,7,JJA,26.568999,0.8624474695748298
5,1.5,6,7,JJA,26.482839666666667,0.8861489321757465
6,1.5,6,7,JJA,26.482346333333332,0.9263333746516106
7,1.5,6,7,JJA,26.577589,0.9215839656162071
8,1.5,6,7,JJA,26.584343333333333,0.8680495276022981
9,1.5,6,7,JJA,26.464778000000003,0.9851944790510343
10,1.5,6,7,JJA,26.559597333333333,0.8494487429305748
1,1.5,7,8,JAS,26.072690333333334,0.9852293683136789
2,1.5,7,8,JAS,26.180624666666667,0.9761630610464377
3,1.5,7,8,JAS,26.196002333333336,1.060382039528849
4,1.5,7,8,JAS,26.213582666666664,0.9734135605788512
5,1.5,7,8,JAS,26.07778,1.0666392544206886
6,1.5,7,8,JAS,26.138205666666668,1.050151947721953
7,1.5,7,8,JAS,26.271151333333332,1.1081000381085058
8,1.5,7,8,JAS,26.185003,1.13303270602862
9,1.5,7,8,JAS,26.058781,1.1271270896851697
10,1.5,7,8,JAS,26.094077666666667,1.029357389384023
1,1.5,8,9,ASO,25.808759333333334,1.1623050679650575
2,1.5,8,9,ASO,25.911039000000002,1.1419358402162088
3,1.5,8,9,ASO,25.9282,1.0937542681448291
4,1.5,8,9,ASO,25.894419666666668,1.1703602359412657
5,1.5,8,9,ASO,25.870935999999997,1.1292158771765528
6,1.5,8,9,ASO,25.942532333333336,1.1127923868185055
7,1.5,8,9,ASO,25.982925,1.1188518177913804
8,1.5,8,9,ASO,25.918155000000002,1.1846064336879323
9,1.5,8,9,ASO,25.843207333333332,1.1930275366616094
10,1.5,8,9,ASO,25.855194333333333,1.1129471573426462
1,1.5,9,10,SON,26.110991000000002,1.2190400891955173
2,1.5,9,10,SON,26.227409666666667,1.2185154500309188
3,1.5,9,10,SON,26.229801666666667,1.1615655874488504
4,1.5,9,10,SON,26.266462999999998,1.2666031364217234
5,1.5,9,10,SON,26.153903666666668,1.2859020544791966
6,1.5,9,10,SON,26.185133,1.210534804063103
7,1.5,9,10,SON,26.306988333333333,1.2108843467454016
8,1.5,9,10,SON,26.281445666666666,1.2086176847702288
9,1.5,9,10,SON,26.190404666666666,1.1652658071567816
10,1.5,9,10,SON,26.241581333333333,1.2410485396533322
1,1.5,10,11,OND,26.43092066666667,1.252747443516782
2,1.5,10,11,OND,26.503167,1.1534162171320694
3,1.5,10,11,OND,26.57866,1.194466409579311
4,1.5,10,11,OND,26.529735000000002,1.2129424633499983
5,1.5,10,11,OND,26.477186333333336,1.252515979320575
6,1.5,10,11,OND,26.483429,1.1812004927748276
7,1.5,10,11,OND,26.567237,1.277893860145862
8,1.5,10,11,OND,26.547544333333335,1.3263833249564378
9,1.5,10,11,OND,26.453302,1.2552548198510345
10,1.5,10,11,OND,26.50655533333333,1.3339596720326432
1,1.5,11,12,NDJ,26.538684333333332,1.3207745865357468
2,1.5,11,12,NDJ,26.557807333333336,1.3723445693098837
3,1.5,11,12,NDJ,26.590693666666667,1.4119700799826438
4,1.5,11,12,NDJ,26.580700333333333,1.3098029882378162
5,1.5,11,12,NDJ,26.551190666666667,1.3738199851581598
6,1.5,11,12,NDJ,26.524332666666666,1.3242455193512639
7,1.5,11,12,NDJ,26.585957333333333,1.3526173430064368
8,1.5,11,12,NDJ,26.55477,1.381400440062068
9,1.5,11,12,NDJ,26.517160333333333,1.3618480803481618
10,1.5,11,12,NDJ,26.572499666666666,1.325127093948162
1,1.5,12,1,DJF,26.511194,1.2481763734731035
2,1.5,12,1,DJF,26.521286999999997,1.3340809481320686
3,1.5,12,1,DJF,26.570714000000002,1.2247327029420687
4,1.5,12,1,DJF,26.539994666666665,1.3306953389636786
5,1.5,12,1,DJF,26.513028000000002,1.332299983320001
6,1.5,12,1,DJF,26.519184,1.2004652710524135
7,1.5,12,1,DJF,26.541134,1.3285333819420697
8,1.5,12,1,DJF,26.52423966666667,1.2122791103688504
9,1.5,12,1,DJF,26.501811333333332,1.3697105391498854
10,1.5,12,1,DJF,26.504139666666667,1.3414650144378175
1,2.5,1,3,FMA,26.915837,0.7883600326700001
2,2.5,1,3,FMA,26.941914999999998,0.7968657830879305
3,2.5,1,3,FMA,26.947466000000002,0.7358423544868956
4,2.5,1,3,FMA,26.943493999999998,0.8175930855627584
5,2.5,1,3,FMA,26.889043666666666,0.684465869361954
6,2.5,1,3,FMA,26.919162333333336,0.798208627825402
7,2.5,1,3,FMA,26.953594333333335,0.7956819078874713
8,2.5,1,3,FMA,26.939147,0.8144688498975863
9,2.5,1,3,FMA,26.913827,0.7232220578768971
10,2.5,1,3,FMA,26.887066666666666,0.8312474562091935
1,2.5,2,4,MAM,27.498549333333337,0.4189598635857459
2,2.5,2,4,MAM,27.47803233333333,0.5286013413564374
3,2.5,2,4,MAM,27.458826666666667,0.4349358290160931
4,2.5,2,4,MAM,27.495371666666664,0.536012978614368
5,2.5,2,4,MAM,27.522669666666665,0.5039130250240219
6,2.5,2,4,MAM,27.492592666666667,0.5542382617788512
7,2.5,2,4,MAM,27.499947666666667,0.4762372446391952
8,2.5,2,4,MAM,27.479544666666666,0.5173780148878172
9,2.5,2,4,MAM,27.48278733333333,0.5515226909512636
10,2.5,2,4,MAM,27.504217333333333,0.4458876424891952
1,2.5,3,5,AMJ,27.86356333333333,0.4642980215402285
2,2.5,3,5,AMJ,27.854213333333334,0.48492160351264485
3,2.5,3,5,AMJ,27.81343233333333,0.3446148116736777
4,2.5,3,5,AMJ,27.912699,0.41465511743689687
5,2.5,3,5,AMJ,27.811673,0.4667245209527586
6,2.5,3,5,AMJ,27.790861,0.3983059474920675
7,2.5,3,5,AMJ,27.907904,0.44323140085241375
8,2.5,3,5,AMJ,27.871584,0.42811508763862094
9,2.5,3,5,AMJ,27.81613966666667,0.45605686175505866
10,2.5,3,5,AMJ,27.793196000000002,0.3957684914248272
1,2.5,4,6,MJJ,27.516060999999997,0.5602725563334487
2,2.5,4,6,MJJ,27.528093000000002,0.5423770376699989
3,2.5,4,6,MJJ,27.556547666666667,0.44712644533574636
