L,MON,SZN,TAR,LDC_SST_COLA_CESM1,OBS_NINO3.4_L3,BIAS,BIAS_ABS
5.5,1991-01-01,MJJ,1991-06-15,27.39207,28.166666666666668,-0.7745966666666675,0.7745966666666675
4.5,1991-02-01,MJJ,1991-06-15,27.4415,28.166666666666668,-0.7251666666666665,0.7251666666666665
3.5,1991-03-01,MJJ,1991-06-15,27.83431,28.166666666666668,-0.3323566666666693,0.3323566666666693
2.5,1991-04-01,MJJ,1991-06-15,27.57668,28.166666666666668,-0.5899866666666682,0.5899866666666682
1.5,1991-05-01,MJJ,1991-06-15,27.55079,28.166666666666668,-0.6158766666666686,0.6158766666666686
10.5,1993-11-01,ASO,1994-09-15,24.06528,27.35,-3.28472,3.28472
9.5,1993-12-01,ASO,1994-09-15,23.89861,27.35,-3.45139,3.45139
8.5,1994-01-01,ASO,1994-09-15,23.9496,27.35,-3.400400000000001,3.400400000000001
7.5,1994-02-01,ASO,1994-09-15,23.99833,27.35,-3.351670000000002,3.351670000000002
6.5,1994-03-01,ASO,1994-09-15,23.89149,27.35,-3.4585100000000004,3.4585100000000004
5.5,1994-04-01,ASO,1994-09-15,24.418,27.35,-2.932000000000002,2.932000000000002
4.5,1994-05-01,ASO,1994-09-15,24.46814,27.35,-2.881860000000003,2.881860000000003
3.5,1994-06-01,ASO,1994-09-15,25.01935,27.35,-2.330650000000002,2.330650000000002
2.5,1994-07-01,ASO,1994-09-15,25.18127,27.35,-2.16873,2.16873
1.5,1994-08-01,ASO,1994-09-15,25.79109,27.35,-1.558910000000001,1.558910000000001
10.5,1996-07-01,AMJ,1997-05-15,27.19651,28.459999999999997,-1.2634899999999973,1.2634899999999973
9.5,1996-08-01,AMJ,1997-05-15,27.14091,28.459999999999997,-1.3190899999999957,1.3190899999999957
8.5,1996-09-01,AMJ,1997-05-15,27.88088,28.459999999999997,-0.5791199999999961,0.5791199999999961
7.5,1996-10-01,AMJ,1997-05-15,28.24206,28.459999999999997,-0.2179399999999987,0.2179399999999987
6.5,1996-11-01,AMJ,1997-05-15,27.96468,28.459999999999997,-0.495319999999996,0.495319999999996
5.5,1996-12-01,AMJ,1997-05-15,27.73422,28.459999999999997,-0.7257799999999968,0.7257799999999968
4.5,1997-01-01,AMJ,1997-05-15,27.84189,28.459999999999997,-0.6181099999999979,0.6181099999999979
3.5,1997-02-01,AMJ,1997-05-15,27.71872,28.459999999999997,-0.7412799999999962,0.7412799999999962
2.5,1997-03-01,AMJ,1997-05-15,28.18559,28.459999999999997,-0.27440999999999605,0.27440999999999605
1.5,1997-04-01,AMJ,1997-05-15,28.1522,28.459999999999997,-0.30779999999999674,0.30779999999999674
10.5,2001-08-01,MJJ,2002-06-15,28.49695,28.236666666666668,0.2602833333333301,0.2602833333333301
9.5,2001-09-01,MJJ,2002-06-15,28.17323,28.236666666666668,-0.06343666666666792,0.06343666666666792
8.5,2001-10-01,MJJ,2002-06-15,28.21036,28.236666666666668,-0.0263066666666667,0.0263066666666667
7.5,2001-11-01,MJJ,2002-06-15,28.1017,28.236666666666668,-0.13496666666666712,0.13496666666666712
6.5,2001-12-01,MJJ,2002-06-15,27.90242,28.236666666666668,-0.3342466666666688,0.3342466666666688
5.5,2002-01-01,MJJ,2002-06-15,27.48349,28.236666666666668,-0.7531766666666684,0.7531766666666684
4.5,2002-02-01,MJJ,2002-06-15,28.24541,28.236666666666668,0.008743333333331549,0.008743333333331549
3.5,2002-03-01,MJJ,2002-06-15,27.76438,28.236666666666668,-0.47228666666666896,0.47228666666666896
2.5,2002-04-01,MJJ,2002-06-15,27.95029,28.236666666666668,-0.28637666666666917,0.28637666666666917
1.5,2002-05-01,MJJ,2002-06-15,27.58241,28.236666666666668,-0.6542566666666687,0.6542566666666687
10.5,2003-09-01,JJA,2004-07-15,28.19522,27.753333333333337,0.44188666666666165,0.44188666666666165
9.5,2003-10-01,JJA,2004-07-15,27.4851,27.753333333333337,-0.2682333333333382,0.2682333333333382
8.5,2003-11-01,JJA,2004-07-15,27.74069,27.753333333333337,-0.01264333333333667,0.01264333333333667
