L,MON,SZN,TAR,LDC_SST_GFDL_SPEAR,OBS_NINO3.4_L3
10.5,1994-10-01,JAS,1995-08-15,25.66215,26.396666666666665
9.5,1994-11-01,JAS,1995-08-15,25.52513,26.396666666666665
8.5,1994-12-01,JAS,1995-08-15,25.48767,26.396666666666665
7.5,1995-01-01,JAS,1995-08-15,25.26264,26.396666666666665
6.5,1995-02-01,JAS,1995-08-15,25.25708,26.396666666666665
5.5,1995-03-01,JAS,1995-08-15,25.53396,26.396666666666665
4.5,1995-04-01,JAS,1995-08-15,25.63268,26.396666666666665
3.5,1995-05-01,JAS,1995-08-15,25.12043,26.396666666666665
2.5,1995-06-01,JAS,1995-08-15,25.75312,26.396666666666665
1.5,1995-07-01,JAS,1995-08-15,25.87253,26.396666666666665
10.5,1997-09-01,JJA,1998-07-15,26.0702,26.403333333333336
9.5,1997-10-01,JJA,1998-07-15,25.94079,26.403333333333336
8.5,1997-11-01,JJA,1998-07-15,26.18804,26.403333333333336
7.5,1997-12-01,JJA,1998-07-15,26.26362,26.403333333333336
6.5,1998-01-01,JJA,1998-07-15,26.43068,26.403333333333336
5.5,1998-02-01,JJA,1998-07-15,26.1283,26.403333333333336
4.5,1998-03-01,JJA,1998-07-15,25.87071,26.403333333333336
3.5,1998-04-01,JJA,1998-07-15,25.81175,26.403333333333336
2.5,1998-05-01,JJA,1998-07-15,25.99089,26.403333333333336
1.5,1998-06-01,JJA,1998-07-15,25.62776,26.403333333333336
10.5,2005-01-01,OND,2005-11-15,26.2986,26.146666666666665
9.5,2005-02-01,OND,2005-11-15,26.02993,26.146666666666665
8.5,2005-03-01,OND,2005-11-15,25.65081,26.146666666666665
7.5,2005-04-01,OND,2005-11-15,25.90621,26.146666666666665
6.5,2005-05-01,OND,2005-11-15,25.5077,26.146666666666665
5.5,2005-06-01,OND,2005-11-15,25.50519,26.146666666666665
4.5,2005-07-01,OND,2005-11-15,25.80413,26.146666666666665
3.5,2005-08-01,OND,2005-11-15,26.23878,26.146666666666665
2.5,2005-09-01,OND,2005-11-15,26.33976,26.146666666666665
1.5,2005-10-01,OND,2005-11-15,26.53067,26.146666666666665
10.5,2006-08-01,MJJ,2007-06-15,26.9247,27.180000000000003
