M,L,START,TARGET,SZN,MEAN_SST_GFDL_SPEAR,VAR_SST_GFDL_SPEAR
1,1.5,1,2,JFM,26.738679666666666,0.6970072714860919
2,1.5,1,2,JFM,26.732248666666667,0.5765348451154008
3,1.5,1,2,JFM,26.746541,0.6037092721058626
4,1.5,1,2,JFM,26.735400333333335,0.640981074148161
5,1.5,1,2,JFM,26.756398666666666,0.5656003690326439
6,1.5,1,2,JFM,26.708312999999997,0.6043818271044831
7,1.5,1,2,JFM,26.736152,0.6015322186924131
8,1.5,1,2,JFM,26.688406999999998,0.6064887888906882
9,1.5,1,2,JFM,26.724145333333336,0.6462621338740239
10,1.5,1,2,JFM,26.731566666666666,0.5121565652298843
11,1.5,1,2,JFM,26.748650666666666,0.5892011650133324
12,1.5,1,2,JFM,26.738398,0.5900962151889644
13,1.5,1,2,JFM,26.723712,0.6004603524165522
14,1.5,1,2,JFM,26.719157,0.566487124256207
15,1.5,1,2,JFM,26.736721,0.6063077326368959
1,1.5,2,3,FMA,27.198827333333334,0.37452937482022963
2,1.5,2,3,FMA,27.228522333333334,0.3480651361081607
3,1.5,2,3,FMA,27.207836999999998,0.37290830197344743
4,1.5,2,3,FMA,27.190658,0.40261068805793265
5,1.5,2,3,FMA,27.216539666666666,0.35697782844471154
6,1.5,2,3,FMA,27.222631333333332,0.3866234968188508
7,1.5,2,3,FMA,27.19981,0.3521711946275866
8,1.5,2,3,FMA,27.230097999999998,0.34151169566482775
9,1.5,2,3,FMA,27.212982,0.3493743818510332
10,1.5,2,3,FMA,27.213767333333333,0.35463071097885007
11,1.5,2,3,FMA,27.245425,0.37911394072931
12,1.5,2,3,FMA,27.255590333333334,0.36762263471367984
13,1.5,2,3,FMA,27.221670333333336,0.3517693358240229
14,1.5,2,3,FMA,27.230954,0.30762842705931004
15,1.5,2,3,FMA,27.214826666666667,0.38109613076781695
1,1.5,3,4,MAM,27.702579,0.2708800980024147
2,1.5,3,4,MAM,27.683028333333333,0.19000732627643724
3,1.5,3,4,MAM,27.671898333333335,0.24006514804885187
4,1.5,3,4,MAM,27.693041333333333,0.2375714590395404
5,1.5,3,4,MAM,27.704183333333333,0.22817887449885105
6,1.5,3,4,MAM,27.657169666666668,0.22078813951367812
7,1.5,3,4,MAM,27.698401333333333,0.219077505736091
8,1.5,3,4,MAM,27.72035,0.2137847810827587
9,1.5,3,4,MAM,27.706052666666665,0.20094574821333294
10,1.5,3,4,MAM,27.710841666666667,0.24196923925574626
11,1.5,3,4,MAM,27.71759266666667,0.22976974306160902
12,1.5,3,4,MAM,27.748349666666666,0.23696699277574684
13,1.5,3,4,MAM,27.690134,0.21872624670068855
14,1.5,3,4,MAM,27.697031666666664,0.2739887640212651
15,1.5,3,4,MAM,27.699629666666667,0.21979832534126387
1,1.5,4,5,AMJ,27.775993333333336,0.1196635400574714
2,1.5,4,5,AMJ,27.747477,0.1173133605389651
3,1.5,4,5,AMJ,27.783834666666667,0.12178237257057492
4,1.5,4,5,AMJ,27.787958333333332,0.11175210333160941
5,1.5,4,5,AMJ,27.796853666666667,0.15303495127229916
6,1.5,4,5,AMJ,27.796805666666668,0.14257472818402414
7,1.5,4,5,AMJ,27.76227533333333,0.12441659252229907
8,1.5,4,5,AMJ,27.761599666666665,0.13638481296195348
9,1.5,4,5,AMJ,27.778286666666666,0.1438288281057478
10,1.5,4,5,AMJ,27.790367,0.15290812993206807
11,1.5,4,5,AMJ,27.783806333333334,0.13101062816195452
12,1.5,4,5,AMJ,27.777422,0.1387968562096558
13,1.5,4,5,AMJ,27.752285333333337,0.11298571842574764
14,1.5,4,5,AMJ,27.782384,0.11466480752827557
15,1.5,4,5,AMJ,27.796631,0.12184613547137828
