L,MON,SZN,TAR,LDC_SST_GFDL_SPEAR,OBS_NINO3.4_L3,BIAS,BIAS_ABS
10.5,1994-10-01,JAS,1995-08-15,25.66215,26.396666666666665,-0.7345166666666643,0.7345166666666643
9.5,1994-11-01,JAS,1995-08-15,25.52513,26.396666666666665,-0.871536666666664,0.871536666666664
8.5,1994-12-01,JAS,1995-08-15,25.48767,26.396666666666665,-0.9089966666666633,0.9089966666666633
7.5,1995-01-01,JAS,1995-08-15,25.26264,26.396666666666665,-1.1340266666666636,1.1340266666666636
6.5,1995-02-01,JAS,1995-08-15,25.25708,26.396666666666665,-1.1395866666666663,1.1395866666666663
5.5,1995-03-01,JAS,1995-08-15,25.53396,26.396666666666665,-0.8627066666666643,0.8627066666666643
4.5,1995-04-01,JAS,1995-08-15,25.63268,26.396666666666665,-0.7639866666666641,0.7639866666666641
3.5,1995-05-01,JAS,1995-08-15,25.12043,26.396666666666665,-1.2762366666666658,1.2762366666666658
2.5,1995-06-01,JAS,1995-08-15,25.75312,26.396666666666665,-0.6435466666666656,0.6435466666666656
1.5,1995-07-01,JAS,1995-08-15,25.87253,26.396666666666665,-0.5241366666666636,0.5241366666666636
10.5,1997-09-01,JJA,1998-07-15,26.0702,26.403333333333336,-0.33313333333333617,0.33313333333333617
9.5,1997-10-01,JJA,1998-07-15,25.94079,26.403333333333336,-0.4625433333333362,0.4625433333333362
8.5,1997-11-01,JJA,1998-07-15,26.18804,26.403333333333336,-0.2152933333333351,0.2152933333333351
7.5,1997-12-01,JJA,1998-07-15,26.26362,26.403333333333336,-0.13971333333333646,0.13971333333333646
6.5,1998-01-01,JJA,1998-07-15,26.43068,26.403333333333336,0.027346666666662856,0.027346666666662856
5.5,1998-02-01,JJA,1998-07-15,26.1283,26.403333333333336,-0.27503333333333657,0.27503333333333657
4.5,1998-03-01,JJA,1998-07-15,25.87071,26.403333333333336,-0.532623333333337,0.532623333333337
3.5,1998-04-01,JJA,1998-07-15,25.81175,26.403333333333336,-0.591583333333336,0.591583333333336
2.5,1998-05-01,JJA,1998-07-15,25.99089,26.403333333333336,-0.4124433333333357,0.4124433333333357
1.5,1998-06-01,JJA,1998-07-15,25.62776,26.403333333333336,-0.7755733333333374,0.7755733333333374
10.5,2005-01-01,OND,2005-11-15,26.2986,26.146666666666665,0.1519333333333357,0.1519333333333357
9.5,2005-02-01,OND,2005-11-15,26.02993,26.146666666666665,-0.11673666666666449,0.11673666666666449
8.5,2005-03-01,OND,2005-11-15,25.65081,26.146666666666665,-0.49585666666666484,0.49585666666666484
7.5,2005-04-01,OND,2005-11-15,25.90621,26.146666666666665,-0.2404566666666632,0.2404566666666632
6.5,2005-05-01,OND,2005-11-15,25.5077,26.146666666666665,-0.6389666666666649,0.6389666666666649
5.5,2005-06-01,OND,2005-11-15,25.50519,26.146666666666665,-0.6414766666666658,0.6414766666666658
4.5,2005-07-01,OND,2005-11-15,25.80413,26.146666666666665,-0.34253666666666405,0.34253666666666405
3.5,2005-08-01,OND,2005-11-15,26.23878,26.146666666666665,0.09211333333333371,0.09211333333333371
2.5,2005-09-01,OND,2005-11-15,26.33976,26.146666666666665,0.19309333333333356,0.19309333333333356
1.5,2005-10-01,OND,2005-11-15,26.53067,26.146666666666665,0.3840033333333359,0.3840033333333359
10.5,2006-08-01,MJJ,2007-06-15,26.9247,27.180000000000003,-0.25530000000000186,0.25530000000000186
