L,START,TARGET,SZN,MEAN_SST_GFDL_SPEAR,VAR_SST_GFDL_SPEAR,MEAN_SST_GFDL_SPEAR_ONETWO,VAR_SST_GFDL_SPEAR_ONETWO,MEAN_SST_GFDL_SPEAR_THREE,VAR_SST_GFDL_SPEAR_THREE,MEAN_SST_GFDL_SPEAR_FOUR,VAR_SST_GFDL_SPEAR_FOUR
1.5,1,2,JFM,26.730966,0.6004804636794403,25.979638,0.3579643810027583,26.370008666666667,0.6253089853154021,28.087537333333337,0.3868289674478168
1.5,2,3,FMA,27.219343,0.36177555189598465,26.326894666666664,0.3592526129291959,27.04871766666667,0.4159065596874723,28.269656,0.2416669032317249
1.5,3,4,MAM,27.700018666666665,0.22950122610455168,25.643213666666668,0.473375583837816,27.380241,0.2581182814920688,28.604104,0.1885541578868958
1.5,4,5,AMJ,27.778265666666663,0.12953090435160158,24.430450333333333,0.8422947396171262,27.104429666666665,0.2018260867688492,28.747332333333336,0.133107050294368
1.5,5,6,MJJ,27.458358666666665,0.1859184260742909,23.237965999999997,1.1479709797903446,26.420442,0.3224179950096546,28.671299,0.1559335584920696
1.5,6,7,JJA,26.974693,0.34174901709556316,21.990733666666664,0.9843831803067836,25.617086333333337,0.4962229423136782,28.476304000000003,0.2001779207006902
1.5,7,8,JAS,26.671186,0.5300595896317313,21.213922333333336,0.9050346783771264,25.161048666666662,0.6290328515222975,28.356804333333333,0.3494547273150585
1.5,8,9,ASO,26.597937333333338,0.6746977653719138,20.965738,0.920961141492414,24.990716666666668,0.7555368101747137,28.425005666666667,0.4924284725426431
1.5,9,10,SON,26.690056,0.8271306639934868,21.32345133333333,0.7299487505705744,25.092754,0.8422890917213789,28.560566333333337,0.5718114618929885
1.5,10,11,OND,26.661196333333336,0.990046893138567,22.066752333333337,0.859134559935747,25.201379,1.0846572646506891,28.526364,0.6420439340868975
1.5,11,12,NDJ,26.540861666666668,0.9761183894175709,23.299216666666663,0.8216086346712637,25.36373366666667,1.0380857426722985,28.34618933333333,0.6617464935098855
1.5,12,1,DJF,26.476125000000003,0.8777125415247509,24.718734333333337,0.6613475779081607,25.678048333333333,0.9172425051385068,28.150973,0.5384724144010354
2.5,1,3,FMA,27.147193,0.38915742616983906,26.372412,0.3846195219613784,27.001817666666668,0.4493265203978165,28.178464666666667,0.2395519359981607
2.5,2,4,MAM,27.589441333333333,0.21281865597019906,25.707430666666667,0.519211357158162,27.262433,0.3084806305665524,28.474223333333335,0.1552285955402293
2.5,3,5,AMJ,27.764351666666663,0.14675087803780856,24.470429000000003,0.6051026658368966,27.062531666666665,0.190436558035058,28.737109333333333,0.1294727702754013
2.5,4,6,MJJ,27.409882999999997,0.1645918326597542,23.161739666666666,0.880077953568851,26.347828666666665,0.239281975894714,28.664493,0.1330977032975867
2.5,5,7,JJA,26.93142,0.3531943546299236,22.059501,1.178144277292072,25.601652,0.4810086933337943,28.46540033333333,0.2203244562240227
2.5,6,8,JAS,26.496207666666667,0.5199828891397702,21.149086,0.9442984553972424,24.978934666666664,0.6319810178533345,28.242145,0.3326677890534474
2.5,7,9,ASO,26.396788,0.7185593515043828,20.903222000000003,0.7485839139131035,24.840777,0.6922859334010358,28.229893333333333,0.5580340197540242
2.5,8,10,SON,26.49556,0.9093743947079723,21.201818333333332,0.7906424979522988,24.943377666666667,0.8858363296460917,28.341146,0.6849893490110365
2.5,9,11,OND,26.594304333333337,1.0185779161440003,22.011735666666667,0.6639371799081606,25.136212333333333,0.9380980470874708,28.421771333333332,0.7251649452464364
2.5,10,12,NDJ,26.481134333333333,1.0498851116905439,23.230745,0.7070534975775866,25.323059,1.0649893148644838,28.259916333333333,0.7046588047205751
2.5,11,1,DJF,26.423291,0.8383608931733485,24.744639333333335,0.4903501788340233,25.686899333333333,0.8174561620547124,28.050559,0.6016750635748267
2.5,12,2,JFM,26.634799333333333,0.6303888948941303,25.962842666666667,0.406302368868506,26.287023,0.6226657079044827,28.008485666666665,0.396903269694368
3.5,1,4,MAM,27.523046333333333,0.2717079552583371,25.689257666666663,0.5504668558805746,27.190076,0.3595030099972418,28.409517666666662,0.1588035079288507
3.5,2,5,AMJ,27.629954666666663,0.1535461053078161,24.465470999999997,0.6760220390162075,26.918879,0.2204918688989651,28.596469333333335,0.1447052666340231
3.5,3,6,MJJ,27.354058333333334,0.210447883302184,23.23191866666667,0.7059097454533355,26.262826,0.2331068787006897,28.63196,0.150709626124138
3.5,4,7,JJA,26.82953266666667,0.3210779091311416,22.11599066666667,0.9305934177512648,25.512828,0.368053779664828,28.409603666666666,0.2104892229136789
3.5,5,8,JAS,26.471255333333332,0.5277009075058003,21.260833333333338,1.097618995829884,24.99235033333333,0.5953924673550572,28.236065333333332,0.3501891935222974
3.5,6,9,ASO,26.261756,0.6862198883096402,20.842226333333333,0.8108243473412647,24.699018333333335,0.6678648954005728,28.131634,0.4990371053144825
3.5,7,10,SON,26.335564,0.9025816249528816,21.128785333333333,0.6121596586464367,24.814212666666663,0.735342079661609,28.186470333333332,0.7470016738791946
