YR,MON,SZN,OBS_ANOM_L3,OBS_PHASE,obs_group,CPC_ANOM_L3,CPC_PHASE,cpc_group
1991,1,DJF,0.38666666666666666,neutral,1,0.4,neutral,1
1991,2,JFM,0.27999999999999997,neutral,1,0.3,neutral,1
1991,3,FMA,0.18000000000000002,neutral,1,0.2,neutral,1
1991,4,MAM,0.16,neutral,1,0.3,neutral,1
1991,5,AMJ,0.32333333333333336,neutral,1,0.5,warm,2
1991,6,MJJ,0.5133333333333333,warm,2,0.6,warm,2
1991,7,JJA,0.6533333333333333,warm,2,0.7,warm,2
1991,8,JAS,0.62,warm,2,0.6,warm,2
1991,9,ASO,0.6533333333333333,warm,2,0.6,warm,2
1991,10,SON,0.8266666666666665,warm,2,0.8,warm,2
1991,11,OND,1.25,warm,2,1.2,warm,2
1991,12,NDJ,1.5766666666666669,warm,2,1.5,warm,2
1992,1,DJF,1.7699999999999998,warm,2,1.7,warm,2
1992,2,JFM,1.6666666666666667,warm,2,1.6,warm,2
1992,3,FMA,1.4533333333333331,warm,2,1.5,warm,2
1992,4,MAM,1.2066666666666666,warm,2,1.3,warm,2
1992,5,AMJ,0.9400000000000001,warm,2,1.1,warm,2
1992,6,MJJ,0.6133333333333334,warm,2,0.7,warm,2
1992,7,JJA,0.2833333333333333,neutral,3,0.4,neutral,3
1992,8,JAS,0.07,neutral,3,0.1,neutral,3
1992,9,ASO,-0.103333333,neutral,3,-0.1,neutral,3
1992,10,SON,-0.213333333,neutral,3,-0.2,neutral,3
1992,11,OND,-0.243333333,neutral,3,-0.3,neutral,3
1992,12,NDJ,-0.096666667,neutral,3,-0.1,neutral,3
1993,1,DJF,0.13333333333333333,neutral,3,0.1,neutral,3
1993,2,JFM,0.31333333333333335,neutral,3,0.3,neutral,3
1993,3,FMA,0.4633333333333334,neutral,4,0.5,neutral,4
1993,4,MAM,0.5866666666666667,neutral,4,0.7,neutral,4
1993,5,AMJ,0.5733333333333334,neutral,4,0.7,neutral,4
1993,6,MJJ,0.45333333333333337,neutral,4,0.6,neutral,4
1993,7,JJA,0.23666666666666666,neutral,5,0.3,neutral,5
1993,8,JAS,0.23666666666666666,neutral,5,0.3,neutral,5
1993,9,ASO,0.18000000000000002,neutral,5,0.2,neutral,5
1993,10,SON,0.13666666666666666,neutral,5,0.1,neutral,5
1993,11,OND,0.073333333,neutral,5,0,neutral,5
1993,12,NDJ,0.086666667,neutral,5,0.1,neutral,5
1994,1,DJF,0.10666666666666667,neutral,5,0.1,neutral,5
1994,2,JFM,0.09,neutral,5,0.1,neutral,5
1994,3,FMA,0.14333333333333334,neutral,5,0.2,neutral,5
1994,4,MAM,0.22666666666666668,neutral,5,0.3,neutral,5
1994,5,AMJ,0.2966666666666667,neutral,5,0.4,neutral,5
1994,6,MJJ,0.29000000000000004,neutral,5,0.4,neutral,5
1994,7,JJA,0.36333333333333334,neutral,5,0.4,neutral,5
1994,8,JAS,0.4166666666666667,neutral,5,0.4,neutral,5
1994,9,ASO,0.5866666666666668,warm,6,0.6,warm,6
1994,10,SON,0.7799999999999999,warm,6,0.7,warm,6
1994,11,OND,1.0366666666666668,warm,6,1,warm,6
1994,12,NDJ,1.1266666666666667,warm,6,1.1,warm,6
1995,1,DJF,1,warm,6,1,warm,6
1995,2,JFM,0.7366666666666667,warm,6,0.7,warm,6
1995,3,FMA,0.49,warm,6,0.5,warm,6
1995,4,MAM,0.21,neutral,7,0.3,neutral,7
1995,5,AMJ,0.010000000000000009,neutral,7,0.1,neutral,7
1995,6,MJJ,-0.153333333,neutral,7,0,neutral,7
1995,7,JJA,-0.326666667,neutral,7,-0.2,neutral,7
1995,8,JAS,-0.56,cold,8,-0.5,cold,8
1995,9,ASO,-0.783333333,cold,8,-0.8,cold,8
1995,10,SON,-0.94,cold,8,-1,cold,8
1995,11,OND,-0.976666667,cold,8,-1,cold,8
1995,12,NDJ,-0.97,cold,8,-1,cold,8
1996,1,DJF,-0.89,cold,8,-0.9,cold,8
1996,2,JFM,-0.776666667,cold,8,-0.8,cold,8
1996,3,FMA,-0.646666667,cold,8,-0.6,cold,8
1996,4,MAM,-0.486666667,cold,8,-0.4,neutral,9
1996,5,AMJ,-0.43,neutral,9,-0.3,neutral,9
1996,6,MJJ,-0.42,neutral,9,-0.3,neutral,9
1996,7,JJA,-0.366666667,neutral,9,-0.3,neutral,9
1996,8,JAS,-0.37,neutral,9,-0.3,neutral,9
1996,9,ASO,-0.37,neutral,9,-0.4,neutral,9
1996,10,SON,-0.433333333,neutral,9,-0.4,neutral,9
1996,11,OND,-0.496666667,neutral,10,-0.4,neutral,9
1996,12,NDJ,-0.526666667,neutral,10,-0.5,neutral,10
1997,1,DJF,-0.513333333,neutral,10,-0.5,neutral,10
1997,2,JFM,-0.383333333,neutral,11,-0.4,neutral,11
1997,3,FMA,-0.153333333,neutral,11,-0.1,neutral,11
1997,4,MAM,0.18333333333333326,neutral,11,0.3,neutral,11
1997,5,AMJ,0.63,warm,12,0.8,warm,12
1997,6,MJJ,1.0966666666666667,warm,12,1.2,warm,12
1997,7,JJA,1.5133333333333334,warm,12,1.6,warm,12
1997,8,JAS,1.86,warm,12,1.9,warm,12
1997,9,ASO,2.1266666666666665,warm,12,2.1,warm,12
1997,10,SON,2.3000000000000003,warm,12,2.3,warm,12
1997,11,OND,2.3533333333333335,warm,12,2.4,warm,12
1997,12,NDJ,2.36,warm,12,2.4,warm,12
1998,1,DJF,2.2333333333333334,warm,12,2.2,warm,12
1998,2,JFM,1.9166666666666667,warm,12,1.9,warm,12
1998,3,FMA,1.3833333333333335,warm,12,1.4,warm,12
1998,4,MAM,0.8966666666666666,warm,12,1,warm,12
1998,5,AMJ,0.32,neutral,13,0.5,warm,12
1998,6,MJJ,-0.27,neutral,13,-0.1,neutral,13
1998,7,JJA,-0.886666667,cold,14,-0.8,cold,14
1998,8,JAS,-1.176666667,cold,14,-1.1,cold,14
1998,9,ASO,-1.333333333,cold,14,-1.3,cold,14
1998,10,SON,-1.393333333,cold,14,-1.4,cold,14
1998,11,OND,-1.536666667,cold,14,-1.5,cold,14
1998,12,NDJ,-1.613333333,cold,14,-1.6,cold,14
1999,1,DJF,-1.566666667,cold,14,-1.5,cold,14
1999,2,JFM,-1.32,cold,14,-1.3,cold,14
1999,3,FMA,-1.126666667,cold,14,-1.1,cold,14
