MON,NINO1+2_L3,NINO3_L3,NINO3.4_L3,NINO4_L3,SZN,VARIANCE1+2_L3,VARIANCE3_L3,VARIANCE3.4_L3,VARIANCE4_L3
2,25.717666666666666,26.422444444444444,26.859888888888886,28.27911111111111,JFM,0.6332238697318009,0.7220834738186469,0.9111467305236267,0.6024244699872294
3,26.041222222222224,27.06311111111111,27.284666666666666,28.381777777777778,FMA,0.6878754661558119,0.4389823243933574,0.5699843678160934,0.4830764240102177
4,25.479777777777777,27.345222222222223,27.678333333333335,28.621555555555556,MAM,0.9694336653895281,0.3142579948914444,0.33843199233716514,0.3516963473818663
5,24.358666666666668,27.150444444444442,27.82622222222222,28.837555555555557,AMJ,1.243217318007663,0.30052010217113606,0.25674998722860765,0.2723072286079183
6,23.166333333333334,26.558444444444444,27.65111111111111,28.92811111111111,MJJ,1.278459272030652,0.35697604086845336,0.28124546615581214,0.23835071519795695
7,22.029888888888888,25.84744444444444,27.291666666666668,28.88533333333333,JJA,1.2153045849297575,0.489431941251596,0.40116532567049756,0.2529897318007669
8,21.230444444444444,25.27477777777778,26.95566666666667,28.816111111111113,JAS,1.1552304469987218,0.6718196807151977,0.5764384291187745,0.30336251596424113
9,20.91811111111111,25.000333333333334,26.763333333333332,28.770111111111113,ASO,1.0975729374201797,0.879020957854406,0.7979563218390798,0.39747393358876343
10,21.13588888888889,24.99522222222222,26.712555555555557,28.739666666666665,SON,1.2173307918263088,1.143672554278416,1.0575989910600267,0.5214431800766273
11,21.83288888888889,25.104666666666667,26.672666666666665,28.665666666666667,OND,1.30925037037037,1.366629578544062,1.3042064367816073,0.6469755938697319
12,23.010222222222225,25.32211111111111,26.59888888888889,28.500333333333334,NDJ,1.2017363473818634,1.3898892592592593,1.4023098339719038,0.7108493103448272
1,24.49522222222222,25.772666666666666,26.648666666666667,28.37022222222222,DJF,0.8229729374201781,1.0954064367816096,1.2309874329501898,0.6814459259259267
