L,MON,SZN,TAR,LDC_SST_NASA_GEOSS2S,OBS_NINO3.4_L3,BIAS,BIAS_ABS
7.5,1995-01-01,JAS,1995-08-15,26.10318,26.396666666666665,-0.29348666666666645,0.29348666666666645
6.5,1995-02-01,JAS,1995-08-15,27.07129,26.396666666666665,0.6746233333333365,0.6746233333333365
5.5,1995-03-01,JAS,1995-08-15,26.30095,26.396666666666665,-0.09571666666666445,0.09571666666666445
4.5,1995-04-01,JAS,1995-08-15,26.22717,26.396666666666665,-0.16949666666666374,0.16949666666666374
3.5,1995-05-01,JAS,1995-08-15,26.17378,26.396666666666665,-0.222886666666664,0.222886666666664
2.5,1995-06-01,JAS,1995-08-15,26.26975,26.396666666666665,-0.12691666666666634,0.12691666666666634
1.5,1995-07-01,JAS,1995-08-15,26.35265,26.396666666666665,-0.04401666666666415,0.04401666666666415
7.5,1997-12-01,JJA,1998-07-15,26.03449,26.403333333333336,-0.3688433333333343,0.3688433333333343
6.5,1998-01-01,JJA,1998-07-15,26.05123,26.403333333333336,-0.35210333333333566,0.35210333333333566
5.5,1998-02-01,JJA,1998-07-15,26.63074,26.403333333333336,0.22740666666666343,0.22740666666666343
4.5,1998-03-01,JJA,1998-07-15,26.84252,26.403333333333336,0.4391866666666644,0.4391866666666644
3.5,1998-04-01,JJA,1998-07-15,27.41834,26.403333333333336,1.0150066666666646,1.0150066666666646
2.5,1998-05-01,JJA,1998-07-15,27.35774,26.403333333333336,0.9544066666666637,0.9544066666666637
1.5,1998-06-01,JJA,1998-07-15,25.89857,26.403333333333336,-0.5047633333333366,0.5047633333333366
7.5,2005-04-01,OND,2005-11-15,27.20596,26.146666666666665,1.0592933333333363,1.0592933333333363
6.5,2005-05-01,OND,2005-11-15,27.36031,26.146666666666665,1.2136433333333336,1.2136433333333336
5.5,2005-06-01,OND,2005-11-15,26.59896,26.146666666666665,0.452293333333337,0.452293333333337
4.5,2005-07-01,OND,2005-11-15,26.49417,26.146666666666665,0.3475033333333357,0.3475033333333357
3.5,2005-08-01,OND,2005-11-15,26.53778,26.146666666666665,0.39111333333333675,0.39111333333333675
2.5,2005-09-01,OND,2005-11-15,26.69522,26.146666666666665,0.5485533333333343,0.5485533333333343
1.5,2005-10-01,OND,2005-11-15,26.24618,26.146666666666665,0.09951333333333423,0.09951333333333423
7.5,2006-11-01,MJJ,2007-06-15,27.60066,27.180000000000003,0.42065999999999804,0.42065999999999804
6.5,2006-12-01,MJJ,2007-06-15,27.31408,27.180000000000003,0.1340799999999973,0.1340799999999973
5.5,2007-01-01,MJJ,2007-06-15,27.45983,27.180000000000003,0.2798299999999969,0.2798299999999969
4.5,2007-02-01,MJJ,2007-06-15,27.1754,27.180000000000003,-0.00460000000000349,0.00460000000000349
3.5,2007-03-01,MJJ,2007-06-15,26.89606,27.180000000000003,-0.28394000000000474,0.28394000000000474
2.5,2007-04-01,MJJ,2007-06-15,27.21986,27.180000000000003,0.03985999999999734,0.03985999999999734
1.5,2007-05-01,MJJ,2007-06-15,27.38041,27.180000000000003,0.20040999999999798,0.20040999999999798
7.5,2008-04-01,OND,2008-11-15,26.46518,26.12,0.34517999999999915,0.34517999999999915
6.5,2008-05-01,OND,2008-11-15,26.64749,26.12,0.5274900000000002,0.5274900000000002
5.5,2008-06-01,OND,2008-11-15,26.52332,26.12,0.40331999999999724,0.40331999999999724
4.5,2008-07-01,OND,2008-11-15,26.48042,26.12,0.36041999999999774,0.36041999999999774
