L,START,TARGET,SZN,MEAN_SST_NASA_GMAO_062012,VAR_SST_NASA_GMAO_062012
1.5,1,2,JFM,26.408604285714286,0.9621976752550273
1.5,2,3,FMA,26.94973333333333,0.9658999653461549
1.5,3,4,MAM,27.544135555555552,0.4829140642333344
1.5,4,5,AMJ,27.74192740740741,0.26846022595840446
1.5,5,6,MJJ,27.393779259259258,0.4212220985840461
1.5,6,7,JJA,26.73585925925926,0.6514312571301991
1.5,7,8,JAS,26.17996074074074,1.050194835730199
1.5,8,9,ASO,25.87691925925926,1.2253421065455856
1.5,9,10,SON,26.032311851851855,1.489288633938746
1.5,10,11,OND,26.259057407407408,1.626131515150712
1.5,11,12,NDJ,26.25637851851852,1.9137521834361821
1.5,12,1,DJF,26.23102740740741,2.2005100643737885
2.5,1,3,FMA,26.63827857142857,0.79331764306455
2.5,2,4,MAM,27.30224185185185,0.6715521794925942
2.5,3,5,AMJ,27.75305074074074,0.32545804919173726
2.5,4,6,MJJ,27.581244074074075,0.330237808455841
2.5,5,7,JJA,26.839146666666668,0.7819323526230768
2.5,6,8,JAS,26.074812222222224,0.9503104029256408
2.5,7,9,ASO,25.713052222222224,1.3519701733564085
2.5,8,10,SON,25.616991111111112,1.5314052584948723
2.5,9,11,OND,25.850372222222223,1.8302696599025656
2.5,10,12,NDJ,26.04013,1.9199756003230775
2.5,11,1,DJF,26.01207962962963,2.114009084211395
2.5,12,2,JFM,26.167793703703705,2.220208777854984
3.5,1,4,MAM,27.0138225,0.5300040273231501
3.5,2,5,AMJ,27.499134074074075,0.3897454033173779
3.5,3,6,MJJ,27.606356296296298,0.3028683107396016
3.5,4,7,JJA,27.069751481481482,0.6030585532977208
3.5,5,8,JAS,26.228746666666666,1.1418621810692298
3.5,6,9,ASO,25.639327777777776,1.1616710174025646
3.5,7,10,SON,25.546332592592595,1.517971606727636
3.5,8,11,OND,25.544471851851853,1.7274728752002853
3.5,9,12,NDJ,25.702196296296297,1.9714826790703706
3.5,10,1,DJF,25.857706296296296,2.000163557685755
3.5,11,2,JFM,25.984597407407406,1.9902606876122522
3.5,12,3,FMA,26.44009222222222,1.8130239718487184
4.5,1,5,AMJ,27.250476428571428,0.29301022885343914
4.5,2,6,MJJ,27.319646296296295,0.28469901341652465
4.5,3,7,JJA,27.087169629629628,0.48136831074216596
4.5,4,8,JAS,26.43657148148148,0.9286898519361824
4.5,5,9,ASO,25.819925185185184,1.3872378185566951
4.5,6,10,SON,25.46566333333333,1.3439974057461517
4.5,7,11,OND,25.501033333333336,1.6239945847999986
4.5,8,12,NDJ,25.45561740740741,1.8239847975430195
4.5,9,1,DJF,25.594232962962966,1.917405832606267
4.5,10,2,JFM,25.881598148148147,1.7738979298849018
4.5,11,3,FMA,26.297014814814816,1.5589164414182333
4.5,12,4,MAM,26.892155925925927,1.2197883627327633
5.5,1,6,MJJ,27.123141785714285,0.18499684573373046
5.5,2,7,JJA,26.760823333333335,0.43580983239230814
5.5,3,8,JAS,26.44862666666667,0.7197952556307698
5.5,4,9,ASO,25.989161111111112,1.1351409903794887
5.5,5,10,SON,25.66147814814815,1.578650932500285
5.5,6,11,OND,25.40987814814815,1.4730649354849001
5.5,7,12,NDJ,25.407396296296294,1.6688103758165245
5.5,8,1,DJF,25.405216296296295,1.7449777409319096
5.5,9,2,JFM,25.708456666666667,1.6539977992153827
5.5,10,3,FMA,26.236106296296295,1.313533234347294
5.5,11,4,MAM,26.78271962962963,1.034057407803704
5.5,12,5,AMJ,27.196957037037038,0.6859316608370368
6.5,1,7,JJA,26.636264642857146,0.20936875933690471
6.5,2,8,JAS,26.098074814814815,0.6711327656951556
6.5,3,9,ASO,26.000937407407406,0.8761419301660965
6.5,4,10,SON,25.80029851851852,1.2819633915669506
6.5,5,11,OND,25.60219962962963,1.696063637880626
6.5,6,12,NDJ,25.316666666666666,1.4932336571307692
6.5,7,1,DJF,25.356261111111113,1.5471850082564123
6.5,8,2,JFM,25.593951481481483,1.4713724983823377
6.5,9,3,FMA,26.132398148148148,1.2526235333387457
6.5,10,4,MAM,26.742336666666667,0.8305337782461545
6.5,11,5,AMJ,27.123546296296293,0.5869842700934469
6.5,12,6,MJJ,27.128026666666667,0.3455873909076926
7.5,1,8,JAS,26.058120357142858,0.28457476753690447
7.5,2,9,ASO,25.640022962962963,0.8208292856524211
7.5,3,10,SON,25.818130740740738,0.9720136536686594
7.5,4,11,OND,25.71379888888889,1.384106593771796
7.5,5,12,NDJ,25.488171851851853,1.704720310777207
7.5,6,1,DJF,25.271555555555555,1.3654366358102554
7.5,7,2,JFM,25.54952777777778,1.3137947217410226
7.5,8,3,FMA,26.068612962962963,1.1011126889985756
7.5,9,4,MAM,26.673998518518516,0.8653331469515682
7.5,10,5,AMJ,27.09125185185185,0.4656655440695166
7.5,11,6,MJJ,27.088778148148148,0.3130346399079778
7.5,12,7,JJA,26.700035925925928,0.2451015571404553
