L,AMJ,MJJ,JJA,JAS,ASO,SON,OND
OBS,0.25675,0.281245,0.401165,0.576438,0.797956,1.057599,1.304206
1.5,0.5129720672562933,0.4886496500227008,0.6699661810848565,1.1037595512426728,1.4315233078725864,1.7546436617481893,2.25728266635454
2.5,0.7195162221283621,0.6820870442819541,0.7822441998535921,1.1174847288735346,1.6529737942702591,1.9422732966977592,2.214549139631954
3.5,0.7807902914580753,0.7774507695320978,1.0162109047066954,1.194557024100546,1.6291767657141667,2.12871192857161,2.3571835520139652
4.5,1.0223853626922417,0.6854036995399135,1.019241141132759,1.4384445737182472,1.6723253146631616,2.156098923472213,2.6083741137408047
5.5,1.285226714059224,0.8818373308741382,0.7667124091999139,1.4303136093054312,1.9487592522538797,2.1915982993091667,2.690798711784914
6.5,1.371004403931466,1.041537661965603,0.8953347827526146,1.0088621693762647,1.8846701085892237,2.5162011801735353,2.6888000496353444
7.5,1.4972707813389083,1.0508396257688222,0.961526341386264,0.9881251495523572,1.2845396062277872,2.3768933316910346,3.12991383493842
8.5,,,,,,,
9.5,,,,,,,
10.5,,,,,,,
