M,L,START,TARGET,SZN,MEAN_SST_NASA_GEOSS2S,VAR_SST_NASA_GEOSS2S
1,1.5,1,2,JFM,26.396986333333334,2.0374245026860907
2,1.5,1,2,JFM,26.484705666666667,1.7498022856391955
3,1.5,1,2,JFM,26.588984333333332,1.4068107259840226
4,1.5,1,2,JFM,26.693983666666668,1.4861482177412646
1,1.5,2,3,FMA,27.017561666666666,1.173830470800575
2,1.5,2,3,FMA,27.101106333333334,1.0264662062998835
3,1.5,2,3,FMA,27.234333333333332,1.0089259880023007
4,1.5,2,3,FMA,27.137278666666667,0.9427589537222993
1,1.5,3,4,MAM,27.70957866666667,0.8329053461843674
2,1.5,3,4,MAM,27.796646,0.7125181770179314
3,1.5,3,4,MAM,27.791711000000003,0.7109127334368963
4,1.5,3,4,MAM,27.896418999999998,0.6236362037058619
1,1.5,4,5,AMJ,28.220437666666665,0.5794462543702301
2,1.5,4,5,AMJ,28.153237333333333,0.6381076921857475
3,1.5,4,5,AMJ,28.151439,0.4582023094024135
4,1.5,4,5,AMJ,28.102265666666664,0.37613201306678196
1,1.5,5,6,MJJ,27.982030666666667,0.4963825073098843
2,1.5,5,6,MJJ,27.915851999999997,0.4929528565475862
3,1.5,5,6,MJJ,27.850972333333335,0.4568586864116087
4,1.5,5,6,MJJ,27.797517000000003,0.5084045498217239
1,1.5,6,7,JJA,27.393524666666668,0.6452170444947124
2,1.5,6,7,JJA,27.301538,0.754202510133793
3,1.5,6,7,JJA,27.303875,0.6553892095982762
4,1.5,6,7,JJA,27.313756666666666,0.6250559601126443
1,1.5,7,8,JAS,26.905876,1.1080893617834484
2,1.5,7,8,JAS,26.860962333333337,1.1968207285357473
3,1.5,7,8,JAS,26.789271333333332,0.9931583066464376
4,1.5,7,8,JAS,26.788774666666665,1.116969808005058
1,1.5,8,9,ASO,26.366899999999998,1.6230529325655172
2,1.5,8,9,ASO,26.356789666666668,1.4514573038309209
3,1.5,8,9,ASO,26.392012666666666,1.3800215218409193
4,1.5,8,9,ASO,26.377994333333334,1.271561473252988
1,1.5,9,10,SON,26.270058,1.850775658582069
2,1.5,9,10,SON,26.330332666666667,1.7071682271305735
3,1.5,9,10,SON,26.301132666666668,1.8162504425512653
4,1.5,9,10,SON,26.424522333333336,1.64438031872885
1,1.5,10,11,OND,26.299318333333336,2.2119342726350566
2,1.5,10,11,OND,26.307774333333334,2.3276109352736793
3,1.5,10,11,OND,26.324432666666667,2.1705431593581594
4,1.5,10,11,OND,26.367227333333336,2.319042298151265
1,1.5,11,12,NDJ,26.116076,2.8300668671420683
2,1.5,11,12,NDJ,26.249587666666667,2.694416178480575
3,1.5,11,12,NDJ,26.252083666666667,2.575945842430919
4,1.5,11,12,NDJ,26.306346,2.528237589728276
1,1.5,12,1,DJF,26.033433,2.869219291725169
2,1.5,12,1,DJF,26.210999333333334,2.548843574530576
3,1.5,12,1,DJF,26.184676333333336,2.7419655668033345
4,1.5,12,1,DJF,26.172157000000002,2.5471447083182777
1,2.5,1,3,FMA,26.614813,1.8747767113044826
2,2.5,1,3,FMA,26.695260333333334,1.5171573087067816
3,2.5,1,3,FMA,26.799910666666666,1.245079353868505
4,2.5,1,3,FMA,26.975887333333333,1.2553200090064374
1,2.5,2,4,MAM,27.401239999999998,1.073414204875862
2,2.5,2,4,MAM,27.48605,0.8993720525655173
3,2.5,2,4,MAM,27.684537666666664,0.8781854338736788
4,2.5,2,4,MAM,27.524717333333335,0.7980588787374706
1,2.5,3,5,AMJ,27.989583333333332,0.9147598446712645
2,2.5,3,5,AMJ,28.029360999999998,0.6922838064782761
3,2.5,3,5,AMJ,28.023595666666665,0.6785666702116093
4,2.5,3,5,AMJ,28.171108333333333,0.5924545671522986
1,2.5,4,6,MJJ,28.156583,0.7383818702493107
2,2.5,4,6,MJJ,28.056291666666667,0.7865348979385058
3,2.5,4,6,MJJ,28.036476999999998,0.6396687156768964
4,2.5,4,6,MJJ,27.990583,0.5637626932631034
1,2.5,5,7,JJA,27.634205333333334,0.7467442980050565
2,2.5,5,7,JJA,27.607774,0.7509021423696558
3,2.5,5,7,JJA,27.489735,0.7870197828879314
4,2.5,5,7,JJA,27.42106,0.8443105761517246
1,2.5,6,8,JAS,27.100393666666665,1.065443901906781
2,2.5,6,8,JAS,26.978646,1.3296781805765518
3,2.5,6,8,JAS,26.981929666666666,1.0372901276929882
4,2.5,6,8,JAS,27.00582166666667,1.0375267053178174
1,2.5,7,9,ASO,26.802266999999997,1.6306381949044844
2,2.5,7,9,ASO,26.716497333333333,1.7476588639788517
3,2.5,7,9,ASO,26.601310666666667,1.4685185421236777
4,2.5,7,9,ASO,26.618164666666665,1.7650795760740232
1,2.5,8,10,SON,26.388498333333335,2.1126812321729878
2,2.5,8,10,SON,26.340281333333333,1.958704908874025
3,2.5,8,10,SON,26.40902133333333,1.9415989613774718
4,2.5,8,10,SON,26.321533,1.756108084366552
1,2.5,9,11,OND,26.265638666666668,2.2930539757912634
2,2.5,9,11,OND,26.310029333333333,2.0759170587581606
3,2.5,9,11,OND,26.192967333333332,2.3300544466547124
4,2.5,9,11,OND,26.343109333333334,2.1591710773236783
