L,START,TARGET,SZN,MEAN_SST_NASA_GEOSS2S,VAR_SST_NASA_GEOSS2S
1.5,1,2,JFM,26.588317037037037,1.7236102324754978
1.5,2,3,FMA,27.163239615384615,1.1325330350438478
1.5,3,4,MAM,27.802340384615384,0.716365177651846
1.5,4,5,AMJ,28.187722307692304,0.47814440180246104
1.5,5,6,MJJ,27.91718346153846,0.4850290769675383
1.5,6,7,JJA,27.365403846153846,0.7096542962326151
1.5,7,8,JAS,26.88157846153846,1.1823229542535372
1.5,8,9,ASO,26.46721923076923,1.4769908775353837
1.5,9,10,SON,26.45106923076923,1.7954345081113843
1.5,10,11,OND,26.471458076923078,2.178921090288153
1.5,11,12,NDJ,26.377944615384614,2.5391174885698446
1.5,12,1,DJF,26.296755,2.5593838787539993
2.5,1,3,FMA,26.83538925925926,1.459978911476354
2.5,2,4,MAM,27.58590192307692,0.9440530834561541
2.5,3,5,AMJ,28.052195,0.6564647383140003
2.5,4,6,MJJ,28.112845384615387,0.5744734079698464
2.5,5,7,JJA,27.59060076923077,0.7701573942713845
2.5,6,8,JAS,27.06979076923077,1.1755082339113843
2.5,7,9,ASO,26.752761923076925,1.7353681628721533
2.5,8,10,SON,26.485814615384616,1.9258879001618487
2.5,9,11,OND,26.415394615384614,2.209356372185845
2.5,10,12,NDJ,26.265850384615383,2.609043869259847
2.5,11,1,DJF,26.086929230769233,2.817529008855384
2.5,12,2,JFM,26.18045692307692,2.5388475188301545
3.5,1,4,MAM,27.200807037037038,1.1023333462985758
3.5,2,5,AMJ,27.823787692307693,0.7307331900504618
3.5,3,6,MJJ,27.958214230769233,0.6574150508173839
3.5,4,7,JJA,27.78100730769231,0.8270302439724604
3.5,5,8,JAS,27.285703076923078,1.1889760678861534
3.5,6,9,ASO,26.977347692307692,1.722715167506462
3.5,7,10,SON,26.86349346153846,2.2038272608235396
3.5,8,11,OND,26.60478423076923,2.314603872201384
3.5,9,12,NDJ,26.304886153846155,2.4195200252966145
3.5,10,1,DJF,26.012660769230767,2.703423237799383
3.5,11,2,JFM,25.976656923076924,2.591695902654154
3.5,12,3,FMA,26.388426923076924,2.064825009406155
4.5,1,5,AMJ,27.43617518518519,0.8213942192182333
4.5,2,6,MJJ,27.727598076923076,0.5567289834481531
4.5,3,7,JJA,27.63728846153846,0.8571517655575387
4.5,4,8,JAS,27.479115769230766,1.1944601219533844
4.5,5,9,ASO,27.212388846153846,1.672062425426616
4.5,6,10,SON,27.059530384615382,2.2767285294438464
4.5,7,11,OND,26.97838423076923,2.659571532057384
4.5,8,12,NDJ,26.538151153846155,2.6949769192346156
4.5,9,1,DJF,26.112504615384616,2.4898404557138454
4.5,10,2,JFM,25.899939615384614,2.557262311883847
4.5,11,3,FMA,26.220971923076924,2.0399732637761545
4.5,12,4,MAM,26.771638461538462,1.4675478351895388
5.5,1,6,MJJ,27.40770111111111,0.6649228514333332
5.5,2,7,JJA,27.40954,0.5878071869039992
5.5,3,8,JAS,27.341265384615383,1.2154639170018464
5.5,4,9,ASO,27.435668461538462,1.6565639293015375
5.5,5,10,SON,27.319256153846155,2.1757350407766154
5.5,6,11,OND,27.151725769230772,2.815012109409383
5.5,7,12,NDJ,26.912457307692307,3.066381561276462
5.5,8,1,DJF,26.347361923076924,2.981153061104154
5.5,9,2,JFM,26.0612,2.327588751039999
5.5,10,3,FMA,26.09681269230769,2.1682654163404584
5.5,11,4,MAM,26.642528076923078,1.491959562144155
5.5,12,5,AMJ,27.068126153846155,1.0344550704326152
6.5,1,7,JJA,27.216966296296295,0.6751867068088327
6.5,2,8,JAS,27.12969846153846,0.7922386291015385
6.5,3,9,ASO,27.294961153846153,1.5954916675306154
6.5,4,10,SON,27.594171538461538,2.151903459493539
6.5,5,11,OND,27.405996153846154,2.6393551795046166
6.5,6,12,NDJ,27.072331153846157,3.2740180810426147
6.5,7,1,DJF,26.69450846153846,3.3400398561175364
6.5,8,2,JFM,26.283469615384618,2.9424526188998454
6.5,9,3,FMA,26.303223076923075,1.9555304506461544
6.5,10,4,MAM,26.47159423076923,1.6799894298413836
6.5,11,5,AMJ,26.95593115384615,1.0628801135786152
6.5,12,6,MJJ,27.107670384615385,0.7522023123958469
7.5,1,8,JAS,27.05537,0.7304788397769227
7.5,2,9,ASO,27.094073461538464,1.0185433391595384
7.5,3,10,SON,27.43705153846154,2.0103623275815385
7.5,4,11,OND,27.736743076923077,2.6763734862781545
7.5,5,12,NDJ,27.27287192307692,3.101000696680152
7.5,6,1,DJF,26.849152692307694,3.56784246275646
7.5,7,2,JFM,26.595746153846157,3.2690222376006135
7.5,8,3,FMA,26.50924807692308,2.5822119503281526
7.5,9,4,MAM,26.682771923076924,1.5015920386641541
7.5,10,5,AMJ,26.78121269230769,1.2352707779324639
7.5,11,6,MJJ,27.006970000000003,0.7127221673440001
7.5,12,7,JJA,26.986492692307692,0.6499223101484602
