L,START,TARGET,SZN,MEAN_SST_NASA_GEOSS2S,VAR_SST_NASA_GEOSS2S
1.5,1,2,JFM,26.541165333333332,1.6341125261912641
1.5,2,3,FMA,27.122570333333332,1.0135441146378175
1.5,3,4,MAM,27.798589,0.6901594055679309
1.5,4,5,AMJ,28.156844666666665,0.4776285562602295
1.5,5,6,MJJ,27.886592666666665,0.4589539292822994
1.5,6,7,JJA,27.328174,0.6397452477834478
1.5,7,8,JAS,26.836221333333334,1.0666426377705736
1.5,8,9,ASO,26.373423666666667,1.3946741339964364
1.5,9,10,SON,26.331511666666664,1.714174411931609
1.5,10,11,OND,26.324688,2.2117891689062072
1.5,11,12,NDJ,26.231023333333333,2.623982190505745
1.5,12,1,DJF,26.150315666666664,2.6332182487564366
2.5,1,3,FMA,26.771468666666667,1.396850574074024
2.5,2,4,MAM,27.524135666666666,0.8633085759081606
2.5,3,5,AMJ,28.053410666666664,0.6586592200478162
2.5,4,6,MJJ,28.059984333333333,0.606428508342644
2.5,5,7,JJA,27.538193333333332,0.7190610060643678
2.5,6,8,JAS,27.016698,1.0595603166924137
2.5,7,9,ASO,26.684559999999998,1.5814256221724137
2.5,8,10,SON,26.364833666666666,1.8727401011688514
2.5,9,11,OND,26.277936,2.137371565983447
2.5,10,12,NDJ,26.0884,2.6747145769586207
2.5,11,1,DJF,25.910135,2.931488065398274
2.5,12,2,JFM,26.015287,2.646634041807931
3.5,1,4,MAM,27.125204999999998,1.0836662781155173
3.5,2,5,AMJ,27.75123766666667,0.6923964339012644
3.5,3,6,MJJ,27.970349333333335,0.6920772488202294
3.5,4,7,JJA,27.720004333333335,0.860986070121953
3.5,5,8,JAS,27.223326999999998,1.0925240341665512
3.5,6,9,ASO,26.925685333333334,1.5434126865843678
3.5,7,10,SON,26.784250666666665,2.016589357165058
3.5,8,11,OND,26.470461,2.2674927068299993
3.5,9,12,NDJ,26.157230000000002,2.3445422751862064
3.5,10,1,DJF,25.840062,2.7154621577820692
3.5,11,2,JFM,25.792184000000002,2.6709927691834485
3.5,12,3,FMA,26.228941333333335,2.148031240529196
4.5,1,5,AMJ,27.35795166666667,0.8352256771660916
4.5,2,6,MJJ,27.662417,0.546622393442413
4.5,3,7,JJA,27.665526666666665,0.9053100453816098
4.5,4,8,JAS,27.419534666666667,1.1876576650188508
4.5,5,9,ASO,27.142616333333333,1.5232943164102304
4.5,6,10,SON,27.011617333333334,2.036841689627127
4.5,7,11,OND,26.885042,2.443882949333793
4.5,8,12,NDJ,26.401280999999997,2.6121508350851737
4.5,9,1,DJF,25.964419666666668,2.3824706095205745
4.5,10,2,JFM,25.751421333333333,2.489576458708507
4.5,11,3,FMA,26.03705366666667,2.0882429003688503
4.5,12,4,MAM,26.622975,1.534609970494827
5.5,1,6,MJJ,27.33795,0.6750269778758619
5.5,2,7,JJA,27.362840333333335,0.5746041140102297
5.5,3,8,JAS,27.379783999999997,1.2628204484179315
5.5,4,9,ASO,27.379414666666666,1.6003585927016082
5.5,5,10,SON,27.242892333333334,1.9825637602047126
5.5,6,11,OND,27.100530666666668,2.5269895124960913
5.5,7,12,NDJ,26.797781999999998,2.829081953257931
5.5,8,1,DJF,26.214839333333334,2.8387907695857475
5.5,9,2,JFM,25.927308333333333,2.1827700662074703
5.5,10,3,FMA,25.966634,2.082894451224826
5.5,11,4,MAM,26.466189,1.5370742041127576
5.5,12,5,AMJ,26.934026333333335,1.095210724686092
6.5,1,7,JJA,27.153227333333334,0.6730937796478165
6.5,2,8,JAS,27.09693766666667,0.762274409508161
6.5,3,9,ASO,27.33717933333333,1.6499516791857471
6.5,4,10,SON,27.536627666666668,2.06535119377023
6.5,5,11,OND,27.327178666666665,2.4064265484602307
6.5,6,12,NDJ,27.011308333333332,2.9567547066212634
6.5,7,1,DJF,26.568329666666667,3.065063838472298
6.5,8,2,JFM,26.161884333333333,2.755924300804713
6.5,9,3,FMA,26.187798666666666,1.810284994625747
6.5,10,4,MAM,26.357996,1.6039920824731029
6.5,11,5,AMJ,26.800576999999997,1.099577539980345
6.5,12,6,MJJ,26.986500333333332,0.8089216594929882
7.5,1,8,JAS,26.988955666666666,0.7278988604805747
7.5,2,9,ASO,27.065156666666667,0.9748134456367815
7.5,3,10,SON,27.484685333333335,2.0728890293498847
7.5,4,11,OND,27.677757333333332,2.558764033034024
7.5,5,12,NDJ,27.198630666666666,2.8106803454409186
7.5,6,1,DJF,26.782791999999997,3.2221677772855157
7.5,7,2,JFM,26.471143333333334,2.9703624061264353
7.5,8,3,FMA,26.401063,2.3906443909320685
7.5,9,4,MAM,26.590334666666667,1.3776206085498852
7.5,10,5,AMJ,26.68081833333333,1.1833173570626443
7.5,11,6,MJJ,26.873905333333333,0.749481957032643
7.5,12,7,JJA,26.871118666666668,0.6958950829360916
