L,MON,SZN,TAR,LDC_SST_NASA_GEOSS2S,OBS_NINO3.4_L3,BIAS,BIAS_ABS
5.5,1991-01-01,MJJ,1991-06-15,26.80483,28.166666666666668,-1.3618366666666688,1.3618366666666688
4.5,1991-02-01,MJJ,1991-06-15,28.29128,28.166666666666668,0.12461333333333258,0.12461333333333258
3.5,1991-03-01,MJJ,1991-06-15,27.79006,28.166666666666668,-0.3766066666666674,0.3766066666666674
2.5,1991-04-01,MJJ,1991-06-15,27.81774,28.166666666666668,-0.3489266666666673,0.3489266666666673
1.5,1991-05-01,MJJ,1991-06-15,28.02165,28.166666666666668,-0.1450166666666668,0.1450166666666668
7.5,1994-02-01,ASO,1994-09-15,27.09845,27.35,-0.2515500000000017,0.2515500000000017
6.5,1994-03-01,ASO,1994-09-15,26.64098,27.35,-0.7090200000000024,0.7090200000000024
5.5,1994-04-01,ASO,1994-09-15,27.64729,27.35,0.2972900000000003,0.2972900000000003
4.5,1994-05-01,ASO,1994-09-15,27.49224,27.35,0.14223999999999748,0.14223999999999748
3.5,1994-06-01,ASO,1994-09-15,27.32557,27.35,-0.024430000000002394,0.024430000000002394
2.5,1994-07-01,ASO,1994-09-15,26.73433,27.35,-0.6156700000000015,0.6156700000000015
1.5,1994-08-01,ASO,1994-09-15,26.29405,27.35,-1.0559500000000028,1.0559500000000028
7.5,1996-10-01,AMJ,1997-05-15,26.84907,28.459999999999997,-1.6109299999999962,1.6109299999999962
6.5,1996-11-01,AMJ,1997-05-15,26.82809,28.459999999999997,-1.6319099999999978,1.6319099999999978
5.5,1996-12-01,AMJ,1997-05-15,27.16565,28.459999999999997,-1.294349999999998,1.294349999999998
4.5,1997-01-01,AMJ,1997-05-15,28.04129,28.459999999999997,-0.41870999999999725,0.41870999999999725
3.5,1997-02-01,AMJ,1997-05-15,27.82337,28.459999999999997,-0.6366299999999967,0.6366299999999967
2.5,1997-03-01,AMJ,1997-05-15,28.47516,28.459999999999997,0.015160000000001617,0.015160000000001617
1.5,1997-04-01,AMJ,1997-05-15,28.69616,28.459999999999997,0.2361600000000017,0.2361600000000017
7.5,2001-11-01,MJJ,2002-06-15,27.58541,28.236666666666668,-0.6512566666666686,0.6512566666666686
6.5,2001-12-01,MJJ,2002-06-15,28.06873,28.236666666666668,-0.1679366666666695,0.1679366666666695
5.5,2002-01-01,MJJ,2002-06-15,27.55053,28.236666666666668,-0.6861366666666697,0.6861366666666697
4.5,2002-02-01,MJJ,2002-06-15,28.74876,28.236666666666668,0.5120933333333326,0.5120933333333326
3.5,2002-03-01,MJJ,2002-06-15,28.6382,28.236666666666668,0.4015333333333331,0.4015333333333331
2.5,2002-04-01,MJJ,2002-06-15,28.45882,28.236666666666668,0.2221533333333312,0.2221533333333312
