L,MON,SZN,TAR,LDC_SST_NCEP_CFSv2,OBS_NINO3.4_L3,BIAS,BIAS_ABS
8.5,1994-12-01,JAS,1995-08-15,25.92269,26.396666666666665,-0.4739766666666654,0.4739766666666654
7.5,1995-01-01,JAS,1995-08-15,25.74463,26.396666666666665,-0.6520366666666639,0.6520366666666639
6.5,1995-02-01,JAS,1995-08-15,26.06417,26.396666666666665,-0.332496666666664,0.332496666666664
5.5,1995-03-01,JAS,1995-08-15,25.42188,26.396666666666665,-0.9747866666666631,0.9747866666666631
4.5,1995-04-01,JAS,1995-08-15,25.15189,26.396666666666665,-1.244776666666663,1.244776666666663
3.5,1995-05-01,JAS,1995-08-15,24.82329,26.396666666666665,-1.5733766666666646,1.5733766666666646
2.5,1995-06-01,JAS,1995-08-15,24.71249,26.396666666666665,-1.6841766666666658,1.6841766666666658
1.5,1995-07-01,JAS,1995-08-15,25.17053,26.396666666666665,-1.2261366666666653,1.2261366666666653
8.5,1997-11-01,JJA,1998-07-15,26.59485,26.403333333333336,0.191516666666665,0.191516666666665
7.5,1997-12-01,JJA,1998-07-15,26.56129,26.403333333333336,0.15795666666666364,0.15795666666666364
6.5,1998-01-01,JJA,1998-07-15,26.45861,26.403333333333336,0.0552766666666642,0.0552766666666642
5.5,1998-02-01,JJA,1998-07-15,26.05511,26.403333333333336,-0.3482233333333369,0.3482233333333369
4.5,1998-03-01,JJA,1998-07-15,26.30591,26.403333333333336,-0.0974233333333352,0.0974233333333352
3.5,1998-04-01,JJA,1998-07-15,26.50249,26.403333333333336,0.09915666666666567,0.09915666666666567
2.5,1998-05-01,JJA,1998-07-15,25.63471,26.403333333333336,-0.7686233333333377,0.7686233333333377
1.5,1998-06-01,JJA,1998-07-15,24.67616,26.403333333333336,-1.7271733333333366,1.7271733333333366
8.5,2005-03-01,OND,2005-11-15,26.47242,26.146666666666665,0.3257533333333349,0.3257533333333349
7.5,2005-04-01,OND,2005-11-15,26.58748,26.146666666666665,0.4408133333333346,0.4408133333333346
6.5,2005-05-01,OND,2005-11-15,25.78521,26.146666666666665,-0.3614566666666654,0.3614566666666654
5.5,2005-06-01,OND,2005-11-15,25.49044,26.146666666666665,-0.6562266666666652,0.6562266666666652
4.5,2005-07-01,OND,2005-11-15,25.43045,26.146666666666665,-0.7162166666666643,0.7162166666666643
3.5,2005-08-01,OND,2005-11-15,25.69253,26.146666666666665,-0.4541366666666633,0.4541366666666633
2.5,2005-09-01,OND,2005-11-15,26.02653,26.146666666666665,-0.12013666666666367,0.12013666666666367
1.5,2005-10-01,OND,2005-11-15,26.46849,26.146666666666665,0.32182333333333446,0.32182333333333446
8.5,2006-10-01,MJJ,2007-06-15,28.01185,27.180000000000003,0.8318499999999958,0.8318499999999958
7.5,2006-11-01,MJJ,2007-06-15,27.90443,27.180000000000003,0.7244299999999981,0.7244299999999981
6.5,2006-12-01,MJJ,2007-06-15,27.80893,27.180000000000003,0.6289299999999969,0.6289299999999969
5.5,2007-01-01,MJJ,2007-06-15,27.85787,27.180000000000003,0.6778699999999951,0.6778699999999951
4.5,2007-02-01,MJJ,2007-06-15,27.56858,27.180000000000003,0.3885799999999975,0.3885799999999975
3.5,2007-03-01,MJJ,2007-06-15,27.81715,27.180000000000003,0.6371499999999983,0.6371499999999983
2.5,2007-04-01,MJJ,2007-06-15,27.77975,27.180000000000003,0.5997499999999967,0.5997499999999967
1.5,2007-05-01,MJJ,2007-06-15,27.19558,27.180000000000003,0.015579999999996375,0.015579999999996375
8.5,2008-03-01,OND,2008-11-15,26.73385,26.12,0.6138499999999993,0.6138499999999993
7.5,2008-04-01,OND,2008-11-15,26.98946,26.12,0.8694600000000001,0.8694600000000001
