M,L,START,TARGET,SZN,MEAN_SST_NCEP_CFSv2,VAR_SST_NCEP_CFSv2
1,1.5,1,2,JFM,26.834687,0.8419626159182766
2,1.5,1,2,JFM,26.876216,0.905005698086896
3,1.5,1,2,JFM,26.892546666666664,0.7393389751264366
4,1.5,1,2,JFM,26.838767333333333,0.8553491449788515
5,1.5,1,2,JFM,26.90345,1.0125209540965527
6,1.5,1,2,JFM,26.87169833333333,0.9312922305247121
7,1.5,1,2,JFM,26.876314333333333,0.7710082446460926
8,1.5,1,2,JFM,26.876451999999997,0.8559874180993107
9,1.5,1,2,JFM,26.915506999999998,0.7605364538631029
10,1.5,1,2,JFM,26.808359333333332,0.8139293312064372
11,1.5,1,2,JFM,26.909190666666667,0.8379633901098853
12,1.5,1,2,JFM,26.931714333333332,0.7273856719633337
13,1.5,1,2,JFM,26.863131333333335,0.7723924672809187
14,1.5,1,2,JFM,26.898665333333334,0.656450212508505
15,1.5,1,2,JFM,26.931064,0.7182950674455174
16,1.5,1,2,JFM,26.911551333333332,0.6801969593429888
17,1.5,1,2,JFM,26.834279666666664,0.8244975066033338
18,1.5,1,2,JFM,26.818853333333333,0.7824140171126442
19,1.5,1,2,JFM,26.844344999999997,0.7286354921568965
20,1.5,1,2,JFM,26.863476,0.763477729528276
21,1.5,1,2,JFM,26.844883,0.8575582550286223
22,1.5,1,2,JFM,26.822047666666666,0.8308542285633331
23,1.5,1,2,JFM,26.824086333333334,0.8482198021619525
24,1.5,1,2,JFM,26.810432666666667,0.8282163396891953
1,1.5,2,3,FMA,27.149770999999998,0.6650956525541383
2,1.5,2,3,FMA,27.127357,0.6246546383941383
3,1.5,2,3,FMA,27.119531666666667,0.6026779623040235
4,1.5,2,3,FMA,27.150503,0.6535149808975862
5,1.5,2,3,FMA,27.229495666666665,0.6365262718047119
6,1.5,2,3,FMA,27.199836666666666,0.5935867204367847
7,1.5,2,3,FMA,27.218060666666666,0.5999753245029883
8,1.5,2,3,FMA,27.212169,0.5032915073886195
9,1.5,2,3,FMA,27.156211,0.5184064219472415
10,1.5,2,3,FMA,27.20198733333333,0.5648313280478164
11,1.5,2,3,FMA,27.231385333333332,0.5782402193291954
12,1.5,2,3,FMA,27.193046666666664,0.5268170646988493
13,1.5,2,3,FMA,27.185053999999997,0.428740146073104
14,1.5,2,3,FMA,27.211554,0.49230167115586254
15,1.5,2,3,FMA,27.22067666666667,0.526752274822989
16,1.5,2,3,FMA,27.268094333333334,0.4766215569012643
17,1.5,2,3,FMA,27.214396,0.5203988733558614
18,1.5,2,3,FMA,27.250271666666666,0.5035731559660925
19,1.5,2,3,FMA,27.264710666666666,0.5453736034616107
20,1.5,2,3,FMA,27.280050333333335,0.5211798670654012
21,1.5,2,3,FMA,27.286516333333335,0.4856237243550575
22,1.5,2,3,FMA,27.282853,0.523718220035516
23,1.5,2,3,FMA,27.291153666666666,0.4899780589481604
24,1.5,2,3,FMA,27.31969133333333,0.4293443924050572
1,1.5,3,4,MAM,27.876068,0.3659731871544846
2,1.5,3,4,MAM,27.82822666666667,0.3865241740712649
3,1.5,3,4,MAM,27.903141666666667,0.44383908837298913
4,1.5,3,4,MAM,27.885187,0.4105642315389662
5,1.5,3,4,MAM,27.926719666666667,0.4172364639688507
6,1.5,3,4,MAM,27.892837666666665,0.3827413107633327
7,1.5,3,4,MAM,27.978582666666668,0.39803223801333365
8,1.5,3,4,MAM,27.904478666666666,0.3605753369429899
9,1.5,3,4,MAM,27.955133999999997,0.3971318282937927
10,1.5,3,4,MAM,28.009635,0.3545129120258625
11,1.5,3,4,MAM,28.018796333333334,0.4067588936585054
12,1.5,3,4,MAM,28.002379333333334,0.4157946959719535
13,1.5,3,4,MAM,27.960181666666664,0.49011508622816136
14,1.5,3,4,MAM,27.96246066666667,0.5014405019719539
15,1.5,3,4,MAM,27.982702,0.4340251421544821
16,1.5,3,4,MAM,28.025101,0.44934587693344824
17,1.5,3,4,MAM,28.036585333333335,0.5065960748947143
18,1.5,3,4,MAM,28.015020666666665,0.45215297075126337
19,1.5,3,4,MAM,28.013736666666667,0.4308258914022999
20,1.5,3,4,MAM,28.050191666666667,0.4291294035798849
21,1.5,3,4,MAM,28.031616666666665,0.38603466336092085
22,1.5,3,4,MAM,28.035491333333333,0.39638636308091935
23,1.5,3,4,MAM,28.022456,0.40590432250069003
24,1.5,3,4,MAM,28.020908666666667,0.3730389843429871
1,1.5,4,5,AMJ,28.358986666666667,0.4662551307816092
2,1.5,4,5,AMJ,28.337089666666667,0.40088259677574706
3,1.5,4,5,AMJ,28.335065,0.37094475337758775
4,1.5,4,5,AMJ,28.411877333333333,0.3639834535995405
5,1.5,4,5,AMJ,28.30899133333333,0.37239570416367684
6,1.5,4,5,AMJ,28.31874966666667,0.2956643737826431
7,1.5,4,5,AMJ,28.309792666666667,0.2852176815029885
8,1.5,4,5,AMJ,28.267559,0.316712864809309
9,1.5,4,5,AMJ,28.338619333333334,0.28071144650298785
10,1.5,4,5,AMJ,28.319123666666666,0.3610642397274702
11,1.5,4,5,AMJ,28.327592,0.33095826336827533
12,1.5,4,5,AMJ,28.31844733333333,0.3712154751236784
13,1.5,4,5,AMJ,28.223181,0.34528606026448255
14,1.5,4,5,AMJ,28.22530533333333,0.3120392213016082
15,1.5,4,5,AMJ,28.197836,0.3749029431627584
16,1.5,4,5,AMJ,28.216192999999997,0.31264655197344837
17,1.5,4,5,AMJ,28.185156333333335,0.2840322386791955
18,1.5,4,5,AMJ,28.166576333333335,0.3123657279343673
19,1.5,4,5,AMJ,28.209344333333334,0.2879711364805745
20,1.5,4,5,AMJ,28.231155333333334,0.3011019313222988
21,1.5,4,5,AMJ,28.171522333333332,0.3479956732322979
22,1.5,4,5,AMJ,28.144534,0.27905603374206833
23,1.5,4,5,AMJ,28.161423333333335,0.2707111555333328
24,1.5,4,5,AMJ,28.224053,0.2927828394286214
