L,START,TARGET,SZN,MEAN_SST_NCEP_CFSv2,VAR_SST_NCEP_CFSv2,MEAN_SST_NCEP_CFSv2_ONETWO,VAR_SST_NCEP_CFSv2_ONETWO,MEAN_SST_NCEP_CFSv2_THREE,VAR_SST_NCEP_CFSv2_THREE,MEAN_SST_NCEP_CFSv2_FOUR,VAR_SST_NCEP_CFSv2_FOUR
1.5,1,2,JFM,26.866738,0.8059786752517529,26.395818666666667,0.4098397414395399,26.337465,0.8376956623086209,28.272041333333338,0.3900095939360921
1.5,2,3,FMA,27.219349333333337,0.5421343182021696,26.773921,0.2744407408437929,26.889961333333336,0.5520571357498842,28.397574,0.2899914271489675
1.5,3,4,MAM,27.972401666666663,0.4164449850824188,26.529146,0.4580820317903446,27.502822666666667,0.4080275872409201,28.97179433333333,0.2503796226805742
1.5,4,5,AMJ,28.262840666666666,0.330704062357107,25.516843,0.8787391624700002,27.458723666666668,0.3658165249619537,29.336630666666668,0.1618307563029887
1.5,5,6,MJJ,27.570028666666666,0.37241053031910437,24.132756333333337,0.932746398065402,26.461734999999997,0.4611365306327593,28.975813666666667,0.1758331376516096
1.5,6,7,JJA,26.603209,0.6196143592833,23.237535333333337,0.6816732694326441,25.381858,0.6672898845820691,28.357167,0.3179918176010354
1.5,7,8,JAS,26.149263,0.950240225064316,22.82455633333333,0.6093312385550596,24.869099333333335,0.9024346143098844,28.103039333333335,0.522664633047816
1.5,8,9,ASO,25.929753666666667,1.1583782739135104,22.724635,0.5065332918396556,24.636073666666668,1.010761381279194,28.040361,0.6575122118782736
1.5,9,10,SON,26.258545,1.3304743905190468,23.067535333333336,0.5091853966671258,24.871690333333333,1.1618597240722992,28.41618233333333,0.6491353772460924
1.5,10,11,OND,26.706216,1.3701145823260197,23.731894,0.6556779629765516,25.267696666666662,1.3106907584298857,28.778185333333333,0.4573366511154033
1.5,11,12,NDJ,26.90832,1.45624581520352,24.54024,0.8315660306275857,25.57935966666667,1.46901460238954,28.836395666666665,0.4278750411771267
