L,MON,SZN,TAR,LDC_SST_NCEP_CFSv2,OBS_NINO3.4_L3,BIAS,BIAS_ABS
5.5,1991-01-01,MJJ,1991-06-15,27.67657,28.166666666666668,-0.4900966666666662,0.4900966666666662
4.5,1991-02-01,MJJ,1991-06-15,27.671,28.166666666666668,-0.4956666666666685,0.4956666666666685
3.5,1991-03-01,MJJ,1991-06-15,28.07285,28.166666666666668,-0.09381666666666888,0.09381666666666888
2.5,1991-04-01,MJJ,1991-06-15,27.76292,28.166666666666668,-0.4037466666666667,0.4037466666666667
1.5,1991-05-01,MJJ,1991-06-15,27.56317,28.166666666666668,-0.6034966666666683,0.6034966666666683
8.5,1994-01-01,ASO,1994-09-15,25.61512,27.35,-1.7348800000000004,1.7348800000000004
7.5,1994-02-01,ASO,1994-09-15,25.691,27.35,-1.6590000000000025,1.6590000000000025
6.5,1994-03-01,ASO,1994-09-15,25.5499,27.35,-1.8001000000000005,1.8001000000000005
5.5,1994-04-01,ASO,1994-09-15,25.90413,27.35,-1.4458700000000029,1.4458700000000029
4.5,1994-05-01,ASO,1994-09-15,25.4527,27.35,-1.8973000000000013,1.8973000000000013
3.5,1994-06-01,ASO,1994-09-15,25.26321,27.35,-2.0867900000000006,2.0867900000000006
2.5,1994-07-01,ASO,1994-09-15,25.38283,27.35,-1.967170000000003,1.967170000000003
1.5,1994-08-01,ASO,1994-09-15,25.82304,27.35,-1.5269600000000025,1.5269600000000025
8.5,1996-09-01,AMJ,1997-05-15,28.13961,28.459999999999997,-0.3203899999999962,0.3203899999999962
7.5,1996-10-01,AMJ,1997-05-15,28.25508,28.459999999999997,-0.20491999999999777,0.20491999999999777
6.5,1996-11-01,AMJ,1997-05-15,28.37244,28.459999999999997,-0.08755999999999631,0.08755999999999631
5.5,1996-12-01,AMJ,1997-05-15,28.21422,28.459999999999997,-0.24577999999999633,0.24577999999999633
4.5,1997-01-01,AMJ,1997-05-15,28.06308,28.459999999999997,-0.39691999999999794,0.39691999999999794
3.5,1997-02-01,AMJ,1997-05-15,27.81341,28.459999999999997,-0.6465899999999962,0.6465899999999962
2.5,1997-03-01,AMJ,1997-05-15,28.22084,28.459999999999997,-0.23915999999999826,0.23915999999999826
1.5,1997-04-01,AMJ,1997-05-15,28.39189,28.459999999999997,-0.06810999999999723,0.06810999999999723
8.5,2001-10-01,MJJ,2002-06-15,28.47744,28.236666666666668,0.24077333333333328,0.24077333333333328
7.5,2001-11-01,MJJ,2002-06-15,28.31837,28.236666666666668,0.08170333333333346,0.08170333333333346
6.5,2001-12-01,MJJ,2002-06-15,28.18962,28.236666666666668,-0.04704666666666668,0.04704666666666668
5.5,2002-01-01,MJJ,2002-06-15,27.79572,28.236666666666668,-0.4409466666666688,0.4409466666666688
4.5,2002-02-01,MJJ,2002-06-15,28.37327,28.236666666666668,0.1366033333333334,0.1366033333333334
3.5,2002-03-01,MJJ,2002-06-15,28.84203,28.236666666666668,0.605363333333333,0.605363333333333
2.5,2002-04-01,MJJ,2002-06-15,28.38545,28.236666666666668,0.1487833333333306,0.1487833333333306
1.5,2002-05-01,MJJ,2002-06-15,28.01057,28.236666666666668,-0.22609666666666683,0.22609666666666683
8.5,2003-11-01,JJA,2004-07-15,27.45578,27.753333333333337,-0.29755333333333667,0.29755333333333667
7.5,2003-12-01,JJA,2004-07-15,27.54885,27.753333333333337,-0.2044833333333358,0.2044833333333358
6.5,2004-01-01,JJA,2004-07-15,27.39894,27.753333333333337,-0.3543933333333378,0.3543933333333378
5.5,2004-02-01,JJA,2004-07-15,27.58505,27.753333333333337,-0.16828333333333845,0.16828333333333845
