M,L,START,TARGET,SZN,MEAN_SST_GEM52_NEMO,VAR_SST_GEM52_NEMO
1,1.5,1,2,JFM,26.04467000000002,1.4065930290689759
2,1.5,1,2,JFM,26.05151000000003,1.3262733167931045
3,1.5,1,2,JFM,26.09625666666669,1.2844871811609149
4,1.5,1,2,JFM,25.995270000000026,1.4143362083793076
5,1.5,1,2,JFM,26.020743333333357,1.3545813708160868
6,1.5,1,2,JFM,26.04300000000002,1.3076245958620698
7,1.5,1,2,JFM,26.072523333333358,1.3178150335747145
8,1.5,1,2,JFM,26.010746666666684,1.2832964832643647
9,1.5,1,2,JFM,26.00988666666669,1.3488221149884871
10,1.5,1,2,JFM,26.07378333333336,1.347162787643679
11,1.5,1,2,JFM,25.916503333333356,1.3793050630919523
12,1.5,1,2,JFM,26.00109000000002,1.3704018126551694
13,1.5,1,2,JFM,25.955836666666688,1.3654215513678145
14,1.5,1,2,JFM,25.929286666666687,1.4123383005057448
15,1.5,1,2,JFM,25.93514333333336,1.4246463542643713
16,1.5,1,2,JFM,25.94211666666669,1.355850533160927
17,1.5,1,2,JFM,25.90148333333336,1.2947383076436827
18,1.5,1,2,JFM,25.979576666666684,1.427626911505746
19,1.5,1,2,JFM,26.02015333333335,1.3785904211954045
20,1.5,1,2,JFM,25.970276666666688,1.18376270460919
1,1.5,2,3,FMA,26.416903333333355,0.9684140624023034
2,1.5,2,3,FMA,26.449916666666688,0.9552807628160914
3,1.5,2,3,FMA,26.441033333333362,0.9810443181609172
4,1.5,2,3,FMA,26.40043333333336,1.1478304140229922
5,1.5,2,3,FMA,26.40610666666669,1.0029213102988441
6,1.5,2,3,FMA,26.453280000000017,0.9131182168275878
7,1.5,2,3,FMA,26.438713333333354,0.9888629701609165
8,1.5,2,3,FMA,26.469903333333356,0.9935661037816141
9,1.5,2,3,FMA,26.44377333333335,0.9451082634023
10,1.5,2,3,FMA,26.4415666666667,1.0240494485057348
11,1.5,2,3,FMA,26.359620000000017,1.0657570120000042
12,1.5,2,3,FMA,26.272056666666685,1.0935747494367904
13,1.5,2,3,FMA,26.339643333333353,1.034456862540225
14,1.5,2,3,FMA,26.302730000000018,1.1496605828620656
15,1.5,2,3,FMA,26.346726666666687,1.0571440240919467
16,1.5,2,3,FMA,26.30462666666669,1.1573166454712638
17,1.5,2,3,FMA,26.332616666666688,1.0817286800574692
18,1.5,2,3,FMA,26.356406666666693,0.9184332806436761
19,1.5,2,3,FMA,26.266616666666685,0.943442026954029
20,1.5,2,3,FMA,26.321096666666683,1.0612100492988579
1,1.5,3,4,MAM,26.78867666666669,0.6879239397816025
2,1.5,3,4,MAM,26.749056666666693,0.6465566446091938
3,1.5,3,4,MAM,26.68713666666669,0.6078888906781628
4,1.5,3,4,MAM,26.745823333333355,0.5905517646092026
5,1.5,3,4,MAM,26.748513333333356,0.6485385860229869
6,1.5,3,4,MAM,26.787943333333352,0.5477313659885039
7,1.5,3,4,MAM,26.81659333333335,0.7102319337471197
8,1.5,3,4,MAM,26.835843333333354,0.6150166480574647
9,1.5,3,4,MAM,26.70027000000002,0.8342303194137866
10,1.5,3,4,MAM,26.72673000000002,0.6502990973448303
11,1.5,3,4,MAM,26.650720000000025,0.7104993775172382
12,1.5,3,4,MAM,26.71432000000003,0.7558217995862095
13,1.5,3,4,MAM,26.70006666666669,0.649075134022985
14,1.5,3,4,MAM,26.66961000000002,0.6998194326551651
15,1.5,3,4,MAM,26.63401000000002,0.8029064823103522
16,1.5,3,4,MAM,26.695230000000024,0.7615077256206869
17,1.5,3,4,MAM,26.64425333333336,0.7758723867126371
18,1.5,3,4,MAM,26.736786666666685,0.7649272239540263
19,1.5,3,4,MAM,26.673820000000017,0.7554142264827653
20,1.5,3,4,MAM,26.65906000000003,0.7548520617931053
1,1.5,4,5,AMJ,26.860550000000025,0.448592862586202
2,1.5,4,5,AMJ,26.90935333333335,0.42850055636781437
3,1.5,4,5,AMJ,26.956256666666686,0.4446605777126395
4,1.5,4,5,AMJ,26.903756666666695,0.46875250391954554
5,1.5,4,5,AMJ,26.92411000000002,0.38277537334482725
6,1.5,4,5,AMJ,26.905593333333353,0.42628420478161116
7,1.5,4,5,AMJ,26.84333333333335,0.5002811574712569
8,1.5,4,5,AMJ,26.89602333333336,0.5208625466781672
9,1.5,4,5,AMJ,26.88266000000002,0.4302967459310435
10,1.5,4,5,AMJ,26.904470000000014,0.43988889182758684
11,1.5,4,5,AMJ,26.852556666666693,0.4676808052988494
12,1.5,4,5,AMJ,26.78616666666669,0.4380695374712731
13,1.5,4,5,AMJ,26.861090000000022,0.4390898981724202
14,1.5,4,5,AMJ,26.767116666666688,0.4515040952298869
15,1.5,4,5,AMJ,26.854643333333353,0.4755603266781629
16,1.5,4,5,AMJ,26.84113000000002,0.38977551734482657
17,1.5,4,5,AMJ,26.833150000000014,0.479881808103442
18,1.5,4,5,AMJ,26.772033333333358,0.43544961747126415
19,1.5,4,5,AMJ,26.92405000000003,0.45993088672413923
20,1.5,4,5,AMJ,26.876633333333356,0.4300725464367794
1,1.5,5,6,MJJ,26.600893333333357,0.5712567247816074
2,1.5,5,6,MJJ,26.63758333333335,0.6150660593678151
3,1.5,5,6,MJJ,26.642990000000022,0.5906510664482699
4,1.5,5,6,MJJ,26.60334333333336,0.7213752487471222
5,1.5,5,6,MJJ,26.60671000000002,0.5173076367931133
6,1.5,5,6,MJJ,26.65179000000002,0.5579562988620739
7,1.5,5,6,MJJ,26.59886666666669,0.709081452643683
8,1.5,5,6,MJJ,26.610650000000017,0.5581618839655238
9,1.5,5,6,MJJ,26.718303333333356,0.5795182741264435
10,1.5,5,6,MJJ,26.63450666666669,0.5936483840919518
11,1.5,5,6,MJJ,26.508763333333363,0.6812411361954006
12,1.5,5,6,MJJ,26.485396666666688,0.587315328609191
13,1.5,5,6,MJJ,26.506930000000025,0.6617235580344853
14,1.5,5,6,MJJ,26.619166666666693,0.5983465236781607
15,1.5,5,6,MJJ,26.499903333333357,0.6829676465402295
16,1.5,5,6,MJJ,26.488410000000023,0.6394800505862073
17,1.5,5,6,MJJ,26.586933333333356,0.505840280229874
18,1.5,5,6,MJJ,26.549176666666686,0.6281284218505688
19,1.5,5,6,MJJ,26.572003333333363,0.6224122927471224
20,1.5,5,6,MJJ,26.58788666666669,0.6153284591264417
1,1.5,6,7,JJA,26.132776666666686,0.866152181850569
2,1.5,6,7,JJA,26.174483333333352,0.8540206986781671
3,1.5,6,7,JJA,26.11463333333336,0.9445175740229923
4,1.5,6,7,JJA,26.08440666666669,0.9473140696091993
5,1.5,6,7,JJA,26.190493333333354,0.90257956754024
6,1.5,6,7,JJA,26.15343666666669,0.8612065672298921
7,1.5,6,7,JJA,26.11676000000002,1.0312459383448205
8,1.5,6,7,JJA,26.167990000000025,0.9448265809310289
9,1.5,6,7,JJA,26.130726666666696,0.9363017551264383
10,1.5,6,7,JJA,26.089086666666685,0.8443184274023007
11,1.5,6,7,JJA,26.043400000000023,0.823317443448281
12,1.5,6,7,JJA,26.031223333333354,0.8772786763333313
13,1.5,6,7,JJA,26.034240000000025,0.8093818624827503
14,1.5,6,7,JJA,26.07652333333336,0.8203911149540275
15,1.5,6,7,JJA,26.102183333333354,0.8882496283333393
16,1.5,6,7,JJA,26.020213333333356,0.9085318908505686
17,1.5,6,7,JJA,26.17634666666669,0.7971966129195508
18,1.5,6,7,JJA,25.986613333333352,0.7395815411954082
19,1.5,6,7,JJA,26.01068666666669,0.8525536901609156
20,1.5,6,7,JJA,26.01840000000002,0.8045213400000016
1,1.5,7,8,JAS,25.89199333333335,1.0891438020229856
2,1.5,7,8,JAS,25.87594000000002,1.1581655659310424
3,1.5,7,8,JAS,25.914626666666685,1.0982631220229855
4,1.5,7,8,JAS,25.841153333333352,1.1799256501609192
5,1.5,7,8,JAS,25.85079000000002,1.0235724216206934
6,1.5,7,8,JAS,25.870726666666688,1.0920151537471288
7,1.5,7,8,JAS,25.982096666666685,1.003546712747128
8,1.5,7,8,JAS,25.971886666666688,1.004039801195388
9,1.5,7,8,JAS,25.85929333333336,1.1558864771954052
10,1.5,7,8,JAS,25.94071000000002,1.0561274623103474
11,1.5,7,8,JAS,25.850106666666694,0.9564312358160906
12,1.5,7,8,JAS,25.917343333333356,1.0896939439195326
13,1.5,7,8,JAS,25.83075666666669,1.1475735384022951
14,1.5,7,8,JAS,25.866696666666687,1.0434346961953962
15,1.5,7,8,JAS,25.88390666666669,1.0428479613333421
16,1.5,7,8,JAS,25.854460000000024,1.0339402507586304
17,1.5,7,8,JAS,25.765936666666686,1.1713655789540305
18,1.5,7,8,JAS,25.829220000000024,1.1663237857931086
19,1.5,7,8,JAS,25.83304333333336,1.0286786204712577
20,1.5,7,8,JAS,25.887920000000022,0.9866009016551736
1,1.5,8,9,ASO,25.70213000000002,1.310833823551718
2,1.5,8,9,ASO,25.69769333333336,1.3180106013333246
3,1.5,8,9,ASO,25.67011000000003,1.3203168671379326
4,1.5,8,9,ASO,25.738076666666693,1.2381461735747157
5,1.5,8,9,ASO,25.595580000000027,1.2965366037241381
6,1.5,8,9,ASO,25.753916666666683,1.190813286954032
7,1.5,8,9,ASO,25.70749333333335,1.3585134840919644
8,1.5,8,9,ASO,25.684100000000022,1.212471991724142
9,1.5,8,9,ASO,25.67997666666669,1.3290910315057494
10,1.5,8,9,ASO,25.68026333333336,1.34461849964368
11,1.5,8,9,ASO,25.682630000000024,1.3020404049310224
12,1.5,8,9,ASO,25.646476666666683,1.3057280728850542
13,1.5,8,9,ASO,25.621826666666696,1.3475223178850442
14,1.5,8,9,ASO,25.606720000000028,1.3264126651034402
15,1.5,8,9,ASO,25.63693000000002,1.2817557407930895
16,1.5,8,9,ASO,25.634960000000024,1.3406152135172391
17,1.5,8,9,ASO,25.698720000000034,1.3488540844138006
18,1.5,8,9,ASO,25.662140000000022,1.264434732137927
19,1.5,8,9,ASO,25.685073333333357,1.3057370337471386
20,1.5,8,9,ASO,25.687690000000025,1.2586186367931065
1,1.5,9,10,SON,25.78039333333335,1.5087844758160822
2,1.5,9,10,SON,25.802023333333352,1.5277994128850585
3,1.5,9,10,SON,25.812170000000023,1.4866188242413867
4,1.5,9,10,SON,25.721056666666687,1.6559424501264373
5,1.5,9,10,SON,25.726130000000023,1.6255647145862144
6,1.5,9,10,SON,25.75868666666669,1.5703057701609164
7,1.5,9,10,SON,25.79519333333336,1.6487604702988607
8,1.5,9,10,SON,25.801000000000027,1.542098360000002
9,1.5,9,10,SON,25.747743333333357,1.6031564666781597
10,1.5,9,10,SON,25.800780000000028,1.563601842344826
11,1.5,9,10,SON,25.727286666666693,1.5873529660229924
12,1.5,9,10,SON,25.69449333333336,1.6820518013333383
13,1.5,9,10,SON,25.657983333333352,1.703455080057473
14,1.5,9,10,SON,25.69583333333335,1.5912223464367772
15,1.5,9,10,SON,25.620476666666686,1.770034048747123
16,1.5,9,10,SON,25.614273333333358,1.545625461333338
17,1.5,9,10,SON,25.630513333333358,1.5725352984367673
18,1.5,9,10,SON,25.649333333333352,1.549450076091954
19,1.5,9,10,SON,25.654130000000023,1.5149283601034451
20,1.5,9,10,SON,25.666036666666688,1.7421735499885083
1,1.5,10,11,OND,25.837576666666692,2.0035372901264257
2,1.5,10,11,OND,25.84886000000002,1.9062698679999854
3,1.5,10,11,OND,25.82073000000002,1.9934430483793102
4,1.5,10,11,OND,25.79770333333336,2.1024620479195564
5,1.5,10,11,OND,25.831136666666687,2.0207804803333382
6,1.5,10,11,OND,25.888040000000025,2.0086372762758526
7,1.5,10,11,OND,25.806660000000022,2.0118676017930865
8,1.5,10,11,OND,25.847786666666693,1.8827403729195358
9,1.5,10,11,OND,25.809050000000017,1.8905490736206823
10,1.5,10,11,OND,25.805696666666687,2.0654879644712705
11,1.5,10,11,OND,25.782210000000024,1.8856240602413754
12,1.5,10,11,OND,25.771046666666688,1.9177845777471305
13,1.5,10,11,OND,25.693963333333354,1.901938014126444
14,1.5,10,11,OND,25.738180000000025,1.9684712299310232
15,1.5,10,11,OND,25.736413333333356,1.8346090060229812
16,1.5,10,11,OND,25.747080000000015,2.0172938147586215
17,1.5,10,11,OND,25.712483333333353,2.043986811781619
18,1.5,10,11,OND,25.76604666666669,1.9517364398160928
19,1.5,10,11,OND,25.688453333333353,2.0602782860229905
20,1.5,10,11,OND,25.73005000000002,1.8922769963792974
1,1.5,11,12,NDJ,25.83305333333335,2.0602707480919658
2,1.5,11,12,NDJ,25.886400000000016,2.008423402758615
3,1.5,11,12,NDJ,25.87923666666669,2.084417590678158
4,1.5,11,12,NDJ,25.84745000000002,2.083369321896554
5,1.5,11,12,NDJ,25.772983333333354,2.0385817655747105
6,1.5,11,12,NDJ,25.855270000000022,2.0863695773448345
7,1.5,11,12,NDJ,25.841723333333356,2.1744730452988694
8,1.5,11,12,NDJ,25.86381333333336,2.041219192229897
9,1.5,11,12,NDJ,25.860416666666687,2.0312049179885032
10,1.5,11,12,NDJ,25.82394666666669,2.250856160505757
11,1.5,11,12,NDJ,25.73451000000002,2.0322029705862086
12,1.5,11,12,NDJ,25.76060000000002,2.0499722579310404
13,1.5,11,12,NDJ,25.753456666666693,2.0821975301264346
14,1.5,11,12,NDJ,25.796833333333357,2.0416700257471216
15,1.5,11,12,NDJ,25.75213666666669,2.1851658982643714
16,1.5,11,12,NDJ,25.83711000000002,2.0203827374827563
17,1.5,11,12,NDJ,25.745200000000025,1.9812577806896472
18,1.5,11,12,NDJ,25.831256666666686,1.9810152949540112
19,1.5,11,12,NDJ,25.796783333333355,1.979295832471273
20,1.5,11,12,NDJ,25.747086666666693,1.9459856942988343
1,1.5,12,1,DJF,25.818366666666687,1.870840118850579
2,1.5,12,1,DJF,25.82155333333336,1.9327848784367974
3,1.5,12,1,DJF,25.835550000000023,1.9809510632758507
4,1.5,12,1,DJF,25.839766666666694,1.8956434554023052
5,1.5,12,1,DJF,25.85123666666669,1.8314388934367882
6,1.5,12,1,DJF,25.78913333333336,2.1589079195402396
7,1.5,12,1,DJF,25.888786666666693,1.8502634108505749
8,1.5,12,1,DJF,25.83415000000003,2.0146492363793214
9,1.5,12,1,DJF,25.807423333333357,1.9438340301264265
10,1.5,12,1,DJF,25.80756000000002,1.9366749997241273
11,1.5,12,1,DJF,25.729310000000023,1.8885160029999954
12,1.5,12,1,DJF,25.772030000000026,1.921927732517239
13,1.5,12,1,DJF,25.849210000000024,2.0343949643793175
14,1.5,12,1,DJF,25.84198666666669,1.8176141253333422
15,1.5,12,1,DJF,25.797340000000023,1.9686400742069023
16,1.5,12,1,DJF,25.755503333333355,1.9934339196436843
17,1.5,12,1,DJF,25.80895333333336,2.0449811439540295
