L,START,TARGET,SZN,MEAN_SST_GEM52_NEMO,VAR_SST_GEM52_NEMO,MEAN_SST_GEM52_NEMO_ONETWO,VAR_SST_GEM52_NEMO_ONETWO,MEAN_SST_GEM52_NEMO_THREE,VAR_SST_GEM52_NEMO_THREE,MEAN_SST_GEM52_NEMO_FOUR,VAR_SST_GEM52_NEMO_FOUR
1.5,1,2,JFM,25.99848666666669,1.3491837040775854,25.64591666666669,0.4375078738505706,26.575790000000023,0.7007612595517183,27.602993333333355,0.8170833302988502
1.5,2,3,FMA,26.37819666666669,1.0241459891867815,25.99170333333336,0.471538069298861,27.23355333333335,0.4170699880919542,27.753910000000023,0.6757698326551694
1.5,3,4,MAM,26.718220000000024,0.6984832520454012,25.457513333333356,0.7691311191264374,27.580443333333353,0.2118473149540281,27.99392666666669,0.5016645516781615
1.5,4,5,AMJ,26.86773333333336,0.44789552297758684,24.48818333333336,0.786043935229883,27.402646666666683,0.1919215087816103,28.19885333333336,0.3452542191264392
1.5,5,6,MJJ,26.58550666666668,0.6118403363712643,23.551083333333356,0.8847786855747095,26.76828333333336,0.2469300931609238,28.189570000000025,0.3355007083793109
1.5,6,7,JJA,26.09273333333336,0.872674358070691,22.78293666666669,0.9461523589540308,26.150643333333353,0.3166092508160898,28.028786666666687,0.4550696239540234
1.5,7,8,JAS,25.875926666666693,1.0763788341126441,22.448346666666684,0.8953791742988504,25.73313666666669,0.4429590437816019,28.000420000000023,0.6123950595862042
1.5,8,9,ASO,25.673623333333353,1.300053563272413,22.383690000000023,0.8573340030000026,25.342536666666692,0.5725279403333366,27.882280000000023,0.7924333526896528
1.5,9,10,SON,25.717770000000023,1.599573088784483,22.68863333333336,0.7556081857471298,25.194366666666692,0.7451185147126524,27.885253333333356,0.9992465522298783
1.5,10,11,OND,25.78296333333335,1.967988713033331,23.136773333333355,0.7761576171954112,25.21120000000003,0.9882145234482724,27.95373333333335,1.027130647126436
1.5,11,12,NDJ,25.81096333333335,2.057916587245978,23.750703333333355,0.8182486727471162,25.460380000000026,1.205168483034477,27.911006666666687,1.0307789061609172
1.5,12,1,DJF,25.81173000000002,1.942135187228739,24.65032666666669,0.6543192406436812,25.90382666666669,1.0986504516781623,27.70895333333336,1.0307850460229837
2.5,1,3,FMA,25.941503333333355,1.1254154213942553,25.92079666666669,0.4316906334367811,27.126670000000026,0.4119328525172386,27.35168000000002,0.678419357517235
2.5,2,4,MAM,26.241583333333356,0.8680286146413781,25.28981000000002,0.6168129498965524,27.459780000000023,0.2421779168275852,27.59994000000002,0.539424801793112
2.5,3,5,AMJ,26.348040000000022,0.6831045738942538,24.29156666666669,0.9342070188505758,27.364403333333357,0.1443013679195401,27.79585000000002,0.4225091460344842
2.5,4,6,MJJ,26.181323333333353,0.6133504599000001,23.40053333333335,0.7108904540229877,26.817633333333355,0.1695510850574704,27.82590333333336,0.369643926540231
2.5,5,7,JJA,25.81074000000002,0.8878463173097704,22.757296666666686,0.766986135505745,26.131250000000023,0.2584535081034488,27.714843333333352,0.4498493025402258
2.5,6,8,JAS,25.419403333333356,1.1251729563913806,22.42025333333335,0.7937399246436778,25.706076666666693,0.3171916708160934,27.538540000000022,0.6440016245517259
