L,MON,SZN,TAR,LDC_SST_GEM52_NEMO,OBS_NINO3.4_L3,BIAS,BIAS_ABS
5.5,1991-01-01,MJJ,1991-06-15,25.537000000000035,28.166666666666668,-2.6296666666666333,2.6296666666666333
4.5,1991-02-01,MJJ,1991-06-15,26.054300000000012,28.166666666666668,-2.112366666666656,2.112366666666656
3.5,1991-03-01,MJJ,1991-06-15,26.5634,28.166666666666668,-1.6032666666666664,1.6032666666666664
2.5,1991-04-01,MJJ,1991-06-15,26.750200000000007,28.166666666666668,-1.4164666666666612,1.4164666666666612
1.5,1991-05-01,MJJ,1991-06-15,27.499300000000005,28.166666666666668,-0.6673666666666627,0.6673666666666627
10.5,1993-11-01,ASO,1994-09-15,22.688500000000033,27.35,-4.661499999999968,4.661499999999968
9.5,1993-12-01,ASO,1994-09-15,22.85390000000001,27.35,-4.496099999999991,4.496099999999991
8.5,1994-01-01,ASO,1994-09-15,23.21840000000003,27.35,-4.13159999999997,4.13159999999997
7.5,1994-02-01,ASO,1994-09-15,23.3956,27.35,-3.9543999999999997,3.9543999999999997
6.5,1994-03-01,ASO,1994-09-15,23.55880000000002,27.35,-3.791199999999982,3.791199999999982
5.5,1994-04-01,ASO,1994-09-15,23.926199999999994,27.35,-3.423800000000007,3.423800000000007
4.5,1994-05-01,ASO,1994-09-15,24.386300000000006,27.35,-2.963699999999996,2.963699999999996
3.5,1994-06-01,ASO,1994-09-15,24.90070000000003,27.35,-2.4492999999999725,2.4492999999999725
2.5,1994-07-01,ASO,1994-09-15,25.348100000000045,27.35,-2.0018999999999565,2.0018999999999565
1.5,1994-08-01,ASO,1994-09-15,25.801500000000033,27.35,-1.5484999999999687,1.5484999999999687
10.5,1996-07-01,AMJ,1997-05-15,24.96520000000004,28.459999999999997,-3.494799999999959,3.494799999999959
9.5,1996-08-01,AMJ,1997-05-15,25.437900000000013,28.459999999999997,-3.022099999999984,3.022099999999984
8.5,1996-09-01,AMJ,1997-05-15,25.36250000000001,28.459999999999997,-3.097499999999986,3.097499999999986
7.5,1996-10-01,AMJ,1997-05-15,25.72380000000004,28.459999999999997,-2.7361999999999576,2.7361999999999576
6.5,1996-11-01,AMJ,1997-05-15,25.677200000000028,28.459999999999997,-2.7827999999999697,2.7827999999999697
5.5,1996-12-01,AMJ,1997-05-15,25.78460000000001,28.459999999999997,-2.6753999999999856,2.6753999999999856
4.5,1997-01-01,AMJ,1997-05-15,26.126000000000033,28.459999999999997,-2.333999999999964,2.333999999999964
3.5,1997-02-01,AMJ,1997-05-15,26.555300000000045,28.459999999999997,-1.904699999999952,1.904699999999952
2.5,1997-03-01,AMJ,1997-05-15,27.23610000000002,28.459999999999997,-1.2238999999999756,1.2238999999999756
1.5,1997-04-01,AMJ,1997-05-15,27.490700000000004,28.459999999999997,-0.9692999999999934,0.9692999999999934
