MON,NINO3.4,runningAvg,SZN,NINO3.4_L3,VARIANCE_L3
1,26.51225806451613,,DJF,26.648666666666667,1.2309874329501898
2,26.752333333333336,26.849197132616485,JFM,26.859888888888886,0.9111467305236267
3,27.283,27.284666666666666,FMA,27.284666666666666,0.5699843678160934
4,27.818666666666665,27.67833333333333,MAM,27.678333333333335,0.33843199233716514
5,27.933333333333334,27.826222222222224,AMJ,27.82622222222222,0.25674998722860765
6,27.726666666666667,27.65111111111111,MJJ,27.65111111111111,0.28124546615581214
7,27.293333333333333,27.291666666666668,JJA,27.291666666666668,0.40116532567049756
8,26.855,26.95566666666667,JAS,26.95566666666667,0.5764384291187745
9,26.718666666666664,26.763333333333332,ASO,26.763333333333332,0.7979563218390798
10,26.716333333333335,26.712555555555554,SON,26.712555555555557,1.0575989910600267
11,26.70266666666667,26.676440860215052,OND,26.672666666666665,1.3042064367816073
12,26.61032258064516,,NDJ,26.59888888888889,1.4023098339719038
