YR,MON,DAY,SZN,OBS_NINO3.4_L3,OBS_ANOM_L3,OBS_PHASE,obs_group
1991,1,15,DJF,27.016666666666666,0.38666666666666666,neutral,1
1991,2,15,JFM,27.14,0.27999999999999997,neutral,1
1991,3,15,FMA,27.46666666666667,0.18000000000000002,neutral,1
1991,4,15,MAM,27.843333333333334,0.16,neutral,1
1991,5,15,AMJ,28.153333333333332,0.32333333333333336,neutral,1
1991,6,15,MJJ,28.166666666666668,0.5133333333333333,warm,2
1991,7,15,JJA,27.94333333333333,0.6533333333333333,warm,2
1991,8,15,JAS,27.573333333333334,0.62,warm,2
1991,9,15,ASO,27.416666666666668,0.6533333333333333,warm,2
1991,10,15,SON,27.540000000000003,0.8266666666666665,warm,2
1991,11,15,OND,27.923333333333332,1.25,warm,2
1991,12,15,NDJ,28.189999999999998,1.5766666666666669,warm,2
1992,1,15,DJF,28.400000000000002,1.7699999999999998,warm,2
1992,2,15,JFM,28.52333333333333,1.6666666666666667,warm,2
1992,3,15,FMA,28.736666666666668,1.4533333333333331,warm,2
1992,4,15,MAM,28.886666666666667,1.2066666666666666,warm,2
1992,5,15,AMJ,28.766666666666666,0.9400000000000001,warm,2
1992,6,15,MJJ,28.263333333333335,0.6133333333333334,warm,2
1992,7,15,JJA,27.573333333333334,0.2833333333333333,neutral,3
1992,8,15,JAS,27.023333333333337,0.07,neutral,3
1992,9,15,ASO,26.66,-0.103333333,neutral,3
1992,10,15,SON,26.49666666666667,-0.213333333,neutral,3
1992,11,15,OND,26.426666666666666,-0.243333333,neutral,3
1992,12,15,NDJ,26.516666666666666,-0.096666667,neutral,3
1993,1,15,DJF,26.763333333333332,0.13333333333333333,neutral,3
1993,2,15,JFM,27.173333333333336,0.31333333333333335,neutral,3
1993,3,15,FMA,27.74666666666667,0.4633333333333334,neutral,4
1993,4,15,MAM,28.263333333333335,0.5866666666666667,neutral,4
1993,5,15,AMJ,28.400000000000002,0.5733333333333334,neutral,4
1993,6,15,MJJ,28.103333333333335,0.45333333333333337,neutral,4
1993,7,15,JJA,27.529999999999998,0.23666666666666666,neutral,5
1993,8,15,JAS,27.19333333333333,0.23666666666666666,neutral,5
1993,9,15,ASO,26.94333333333333,0.18000000000000002,neutral,5
1993,10,15,SON,26.850000000000005,0.13666666666666666,neutral,5
1993,11,15,OND,26.746666666666666,0.073333333,neutral,5
1993,12,15,NDJ,26.703333333333333,0.086666667,neutral,5
1994,1,15,DJF,26.736666666666668,0.10666666666666667,neutral,5
1994,2,15,JFM,26.94666666666667,0.09,neutral,5
1994,3,15,FMA,27.426666666666666,0.14333333333333334,neutral,5
1994,4,15,MAM,27.903333333333332,0.22666666666666668,neutral,5
1994,5,15,AMJ,28.12,0.2966666666666667,neutral,5
1994,6,15,MJJ,27.939999999999998,0.29000000000000004,neutral,5
1994,7,15,JJA,27.653333333333336,0.36333333333333334,neutral,5
1994,8,15,JAS,27.37333333333333,0.4166666666666667,neutral,5
1994,9,15,ASO,27.349999999999998,0.5866666666666668,warm,6
1994,10,15,SON,27.49333333333333,0.7799999999999999,warm,6
1994,11,15,OND,27.709999999999997,1.0366666666666668,warm,6
1994,12,15,NDJ,27.74333333333333,1.1266666666666667,warm,6
1995,1,15,DJF,27.636666666666667,1,warm,6
1995,2,15,JFM,27.603333333333335,0.7366666666666667,warm,6
1995,3,15,FMA,27.78,0.49,warm,6
1995,4,15,MAM,27.89,0.21,neutral,7
1995,5,15,AMJ,27.83666666666667,0.010000000000000009,neutral,7
1995,6,15,MJJ,27.496666666666666,-0.153333333,neutral,7
1995,7,15,JJA,26.96666666666667,-0.326666667,neutral,7
1995,8,15,JAS,26.396666666666665,-0.56,cold,8
1995,9,15,ASO,25.983333333333334,-0.783333333,cold,8
1995,10,15,SON,25.77333333333333,-0.94,cold,8
1995,11,15,OND,25.69666666666667,-0.976666667,cold,8
1995,12,15,NDJ,25.646666666666665,-0.97,cold,8
1996,1,15,DJF,25.743333333333336,-0.89,cold,8
1996,2,15,JFM,26.083333333333332,-0.776666667,cold,8
1996,3,15,FMA,26.636666666666667,-0.646666667,cold,8
1996,4,15,MAM,27.19,-0.486666667,cold,8
1996,5,15,AMJ,27.396666666666665,-0.43,neutral,9
1996,6,15,MJJ,27.23,-0.42,neutral,9
1996,7,15,JJA,26.926666666666666,-0.366666667,neutral,9
1996,8,15,JAS,26.586666666666662,-0.37,neutral,9
1996,9,15,ASO,26.393333333333334,-0.37,neutral,9
1996,10,15,SON,26.276666666666667,-0.433333333,neutral,9
1996,11,15,OND,26.169999999999998,-0.496666667,neutral,10
1996,12,15,NDJ,26.083333333333332,-0.526666667,neutral,10
1997,1,15,DJF,26.113333333333333,-0.513333333,neutral,10
1997,2,15,JFM,26.47666666666667,-0.383333333,neutral,11
1997,3,15,FMA,27.13333333333333,-0.153333333,neutral,11
1997,4,15,MAM,27.866666666666664,0.18333333333333326,neutral,11
1997,5,15,AMJ,28.459999999999997,0.63,warm,12
1997,6,15,MJJ,28.75333333333333,1.0966666666666667,warm,12
1997,7,15,JJA,28.81,1.5133333333333334,warm,12
1997,8,15,JAS,28.820000000000004,1.86,warm,12
1997,9,15,ASO,28.893333333333334,2.1266666666666665,warm,12
1997,10,15,SON,29.01666666666667,2.3000000000000003,warm,12
1997,11,15,OND,29.03,2.3533333333333335,warm,12
1997,12,15,NDJ,28.98,2.36,warm,12
1998,1,15,DJF,28.866666666666664,2.2333333333333334,warm,12
1998,2,15,JFM,28.776666666666667,1.9166666666666667,warm,12
1998,3,15,FMA,28.666666666666668,1.3833333333333335,warm,12
1998,4,15,MAM,28.576666666666668,0.8966666666666666,warm,12
